TEAM,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
Atlanta Hawks,82.0,60.0,22.0,240.6,102.5,19.8,45.4,35.6,41.7,10.9,36.7,17.4,62.2,4.3,40.9,7.1,52.7,52.7
Boston Celtics,82.0,40.0,42.0,242.4,101.4,16.4,44.0,29.1,37.7,17.1,36.4,21.6,60.2,5.4,42.2,7.1,53.3,48.9
Brooklyn Nets,82.0,38.0,44.0,243.1,98.0,18.1,45.4,24.3,38.1,15.3,36.0,22.2,58.4,7.8,43.5,8.3,50.6,49.1
Charlotte Hornets,82.0,33.0,49.0,242.7,94.2,17.5,41.3,22.5,36.4,21.0,36.8,13.7,55.8,8.8,44.7,5.2,49.1,45.6
Chicago Bulls,82.0,50.0,32.0,242.4,100.8,19.2,45.6,26.8,39.3,15.0,35.8,21.2,55.7,8.5,43.2,6.3,45.2,48.9
Cleveland Cavaliers,81.0,53.0,28.0,241.2,103.3,17.5,44.0,26.6,38.0,18.9,39.2,20.7,59.8,7.0,40.8,5.1,53.7,52.0
Dallas Mavericks,82.0,50.0,32.0,242.4,105.2,20.1,45.1,29.8,38.9,17.3,38.1,18.7,66.7,5.4,49.2,7.1,53.9,51.5
Denver Nuggets,82.0,30.0,52.0,242.4,101.5,17.5,43.4,24.8,34.4,16.6,36.7,22.9,54.7,5.9,38.3,7.0,47.2,47.9
Detroit Pistons,82.0,32.0,50.0,241.8,98.5,16.6,40.4,24.3,36.4,15.8,36.0,21.8,56.8,8.9,41.9,5.6,55.9,48.2
Golden State Warriors,82.0,67.0,15.0,240.6,110.0,15.0,45.0,30.9,41.0,20.3,40.6,21.2,61.5,5.1,42.1,7.4,50.8,54.0
Houston Rockets,81.0,55.0,26.0,241.5,103.8,16.6,42.8,28.7,35.0,12.8,35.1,19.6,60.9,7.9,45.6,5.3,51.4,51.1
Indiana Pacers,82.0,38.0,44.0,242.1,97.3,13.8,41.8,30.8,39.6,13.7,36.4,20.5,57.9,9.2,42.7,6.2,45.9,48.4
Los Angeles Clippers,82.0,56.0,26.0,240.6,106.7,13.4,44.9,30.7,39.9,23.4,41.7,19.3,65.4,6.0,43.9,7.3,56.7,53.3
Los Angeles Lakers,82.0,21.0,61.0,243.1,98.5,15.8,41.1,22.9,37.4,21.1,35.4,21.7,59.4,7.7,43.2,8.2,47.1,47.3
Memphis Grizzlies,82.0,55.0,27.0,242.7,98.3,15.0,42.7,22.1,37.4,14.7,38.2,23.7,57.2,13.8,44.4,9.0,51.2,48.9
Miami Heat,81.0,36.0,45.0,240.6,94.6,17.4,45.7,24.5,37.3,14.7,37.3,19.6,62.7,7.7,46.6,6.7,50.6,49.9
Milwaukee Bucks,81.0,40.0,41.0,243.1,97.9,17.4,43.6,26.0,39.9,15.3,37.7,19.9,56.5,4.1,43.1,7.4,52.1,50.0
Minnesota Timberwolves,81.0,16.0,65.0,241.5,97.7,13.6,41.8,21.6,37.2,16.2,35.8,23.4,57.5,11.2,41.2,9.0,47.7,46.7
New Orleans Pelicans,82.0,45.0,37.0,241.2,99.4,20.7,44.4,26.3,41.4,13.2,34.7,21.7,59.5,5.9,45.8,7.2,50.2,50.1
New York Knicks,81.0,17.0,64.0,242.2,92.0,12.1,42.1,31.1,39.3,15.5,36.5,16.0,52.4,9.5,43.8,9.9,50.3,47.0
Oklahoma City Thunder,82.0,45.0,37.0,241.8,104.0,19.1,43.8,24.8,37.0,19.2,38.0,20.4,57.9,5.4,47.8,6.7,53.3,49.2
Orlando Magic,82.0,25.0,57.0,240.9,95.7,18.8,41.2,25.2,38.3,12.8,36.9,20.1,62.1,6.6,42.5,6.1,54.3,49.4
Philadelphia 76ers,82.0,18.0,64.0,241.5,92.0,19.9,40.1,26.8,33.8,8.7,28.6,17.6,56.5,3.8,35.9,4.5,42.5,45.9
Phoenix Suns,82.0,39.0,43.0,242.4,102.4,18.3,44.6,25.9,36.6,19.7,38.5,17.7,58.6,7.1,45.3,5.9,48.7,50.1
Portland Trail Blazers,82.0,51.0,31.0,242.1,102.8,14.1,46.7,31.1,39.0,20.6,37.8,17.1,59.3,10.2,45.5,6.3,48.4,50.8
Sacramento Kings,82.0,29.0,53.0,242.1,101.3,19.6,44.3,19.4,35.8,16.3,40.2,21.1,56.3,10.3,46.6,6.7,51.4,49.0
San Antonio Spurs,82.0,55.0,27.0,243.4,103.2,19.0,47.2,27.4,39.5,15.4,38.1,22.5,61.4,8.7,47.4,6.4,48.6,51.7
Toronto Raptors,82.0,49.0,33.0,242.1,104.0,20.0,45.6,22.6,38.4,21.4,36.4,20.3,62.2,5.6,45.4,5.3,54.4,50.8
Utah Jazz,82.0,38.0,44.0,240.3,95.1,15.6,38.3,24.9,36.5,13.4,35.2,22.9,64.6,4.7,42.8,7.8,48.6,49.4
Washington Wizards,82.0,46.0,36.0,243.4,98.5,12.8,44.8,26.9,39.3,16.1,36.6,21.2,59.1,8.0,41.4,7.9,51.6,49.9
