TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Sacramento Kings,82.0,61.0,21.0,48.2,38.1,86.7,44.0,4.7,14.0,33.7,16.0,21.5,74.4,13.0,31.9,44.9,22.4,15.2,7.7,4.7,4.6,22.3,19.0,97.0,-7.6
Los Angeles Lakers,82.0,58.0,24.0,48.2,35.0,82.6,42.4,4.9,15.4,31.7,19.2,25.3,76.1,12.4,30.8,43.2,20.0,14.0,7.2,4.3,5.8,23.0,22.2,94.1,-7.1
San Antonio Spurs,82.0,58.0,24.0,48.4,35.2,82.6,42.6,4.6,13.5,33.8,15.6,20.1,77.7,12.2,29.6,41.9,18.8,14.5,7.7,5.2,6.5,23.1,19.2,90.5,-6.2
Dallas Mavericks,82.0,57.0,25.0,48.5,37.7,83.5,45.2,5.5,15.8,35.0,20.0,26.6,75.1,13.0,31.7,44.7,22.7,14.1,7.2,4.6,4.8,21.8,22.5,101.0,-4.3
New Jersey Nets,82.0,52.0,30.0,48.4,34.9,81.3,42.9,5.0,14.3,34.8,17.4,23.0,75.3,12.2,30.7,42.9,19.1,16.1,8.2,5.4,6.0,20.3,21.1,92.0,-4.2
Detroit Pistons,82.0,50.0,32.0,48.0,35.7,79.8,44.7,4.4,12.1,36.2,16.5,21.8,75.5,12.1,30.6,42.7,20.0,15.5,7.9,4.1,6.9,22.9,20.7,92.2,-2.1
Minnesota Timberwolves,82.0,50.0,32.0,48.3,36.1,81.1,44.5,6.0,16.1,37.2,17.7,23.9,74.2,11.1,28.4,39.5,22.6,13.4,6.6,5.0,5.2,20.4,21.2,96.0,-3.4
Boston Celtics,82.0,49.0,33.0,48.4,34.1,80.2,42.5,6.3,18.4,34.0,19.7,25.5,77.1,11.6,34.2,45.9,22.0,16.3,7.6,5.8,3.6,21.1,21.7,94.1,-2.2
Portland Trail Blazers,82.0,49.0,33.0,48.4,36.0,79.4,45.3,5.7,15.7,36.3,16.0,21.6,74.1,10.9,28.4,39.2,23.7,14.7,7.5,5.0,4.5,20.1,19.7,93.7,-3.0
Seattle SuperSonics,82.0,45.0,37.0,48.4,36.2,80.5,44.9,5.8,16.8,34.4,16.6,22.5,73.9,13.3,28.4,41.7,22.3,15.3,6.9,4.9,4.4,19.8,21.1,94.7,-3.0
Charlotte Hornets,82.0,44.0,38.0,48.2,34.8,80.4,43.2,5.3,14.1,37.5,18.1,23.6,76.8,11.7,29.3,41.0,20.0,13.9,7.6,5.1,5.6,20.8,21.3,92.9,-1.0
Orlando Magic,82.0,44.0,38.0,48.4,38.0,83.3,45.6,5.0,14.2,35.2,17.9,24.3,73.7,13.3,32.1,45.4,23.5,15.7,8.0,4.7,4.7,21.2,20.7,98.9,-1.6
Utah Jazz,82.0,44.0,38.0,48.4,33.9,75.8,44.7,5.7,14.8,38.3,21.7,28.1,77.1,11.3,26.9,38.2,19.3,16.7,9.1,6.7,6.4,25.2,24.0,95.1,-0.9
