TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Denver Nuggets,46.0,31.0,15.0,3.3,2.2,5.4,40.4,0.4,1.9,20.2,1.8,2.4,73.9,0.6,1.8,2.4,1.2,0.9,0.6,0.4,0.3,2.0,1.6,6.6,-1.2
Philadelphia 76ers,45.0,30.0,15.0,3.7,2.7,6.4,42.1,0.9,2.5,34.5,2.0,2.7,74.6,1.0,2.4,3.4,1.2,0.8,0.6,0.3,0.6,2.6,1.9,8.3,-0.9
LA Clippers,43.0,27.0,16.0,3.6,2.7,6.7,39.8,0.7,2.8,25.0,1.7,2.0,82.6,1.1,2.2,3.3,1.4,1.1,0.5,0.4,0.4,2.4,1.6,7.7,-1.6
Portland Trail Blazers,42.0,25.0,17.0,3.4,2.5,6.3,39.6,0.7,2.5,27.9,2.2,2.8,78.6,1.0,2.2,3.2,1.2,0.7,0.3,0.4,0.4,2.1,2.1,7.9,-0.8
Brooklyn Nets,44.0,24.0,20.0,4.2,3.2,7.7,41.3,1.0,2.8,33.6,2.5,3.2,79.3,1.3,2.7,4.0,1.5,1.0,0.5,0.6,0.5,2.4,2.6,9.8,0.0
Houston Rockets,41.0,24.0,17.0,3.6,2.6,5.9,45.0,0.8,2.4,32.0,2.1,2.9,73.7,0.8,2.3,3.1,1.4,0.8,0.4,0.3,0.5,2.4,2.1,8.1,-0.2
Sacramento Kings,49.0,24.0,25.0,3.3,2.7,6.0,44.4,0.7,2.1,33.7,2.1,2.6,81.3,0.9,2.4,3.3,1.2,1.1,0.4,0.6,0.3,1.9,1.8,8.1,0.4
San Antonio Spurs,40.0,24.0,16.0,4.0,3.2,7.0,45.2,0.9,2.9,31.0,1.6,2.1,73.8,0.9,2.9,3.8,1.5,0.8,0.5,0.5,0.4,1.9,1.6,8.8,-0.8
Boston Celtics,42.0,23.0,19.0,3.5,3.0,6.3,47.0,1.0,2.6,37.8,2.0,2.6,76.1,1.0,2.3,3.3,1.6,1.1,0.4,0.2,0.4,2.0,1.9,8.9,-0.7
Indiana Pacers,41.0,23.0,18.0,3.0,2.1,5.3,39.9,0.8,2.3,34.4,1.3,1.7,75.4,0.8,1.8,2.6,1.3,0.7,0.5,0.3,0.4,1.5,1.4,6.3,-0.8
Toronto Raptors,38.0,23.0,15.0,4.6,3.1,7.2,43.4,0.8,2.6,32.0,2.2,2.9,73.2,1.0,2.8,3.8,1.8,1.5,0.5,0.3,0.6,2.3,2.6,9.2,-1.1
Milwaukee Bucks,36.0,22.0,14.0,3.8,3.0,6.5,46.4,1.1,2.7,39.2,2.0,2.6,74.7,0.7,2.4,3.1,1.5,1.1,0.4,0.4,0.5,2.0,2.0,9.0,-0.4
Oklahoma City Thunder,46.0,22.0,24.0,3.8,2.9,6.6,44.7,0.7,2.2,30.3,2.3,3.1,75.2,1.0,2.5,3.5,1.4,1.2,0.5,0.5,0.5,2.5,2.2,8.8,-0.1
Orlando Magic,47.0,22.0,25.0,3.5,2.4,5.7,42.6,0.7,2.1,32.3,1.7,2.4,72.3,0.5,2.5,3.0,1.3,0.9,0.7,0.4,0.3,2.0,1.7,7.3,-0.1
