TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Dallas Mavericks,38.0,32.0,6.0,154.0,112.6,86.3,26.2,43.0,1.29,11.4,36.1,71.7,54.7,11.7,46.9,56.3,97.65,78.1
Detroit Pistons,52.0,30.0,22.0,214.0,116.1,102.7,13.4,49.1,2.24,14.1,39.3,68.8,53.0,8.7,49.0,55.2,95.28,57.5
New Orleans/Oklahoma City Hornets,49.0,28.0,21.0,211.0,102.2,100.0,2.2,44.2,1.03,11.1,35.2,75.4,54.7,14.3,45.3,52.1,93.58,52.9
Phoenix Suns,45.0,28.0,17.0,176.0,109.8,105.9,4.0,62.2,1.79,16.1,31.3,60.9,45.8,12.2,50.3,57.4,101.25,58.0
Cleveland Cavaliers,48.0,27.0,21.0,208.0,109.1,99.3,9.8,58.0,1.67,14.7,36.2,71.0,52.3,12.1,47.6,53.8,97.14,55.3
Houston Rockets,48.0,26.0,22.0,160.0,104.2,110.8,-6.7,57.3,1.47,13.5,29.9,69.0,49.1,12.0,46.2,55.1,103.36,47.3
Utah Jazz,46.0,26.0,20.0,189.0,121.7,113.0,8.8,58.3,1.9,16.9,37.0,66.7,52.4,12.3,54.2,61.2,97.41,54.8
Denver Nuggets,46.0,24.0,22.0,164.0,97.7,104.5,-6.8,56.7,1.48,12.9,32.8,64.7,48.8,11.6,42.3,50.2,99.64,48.2
Los Angeles Lakers,48.0,24.0,24.0,227.0,106.9,108.3,-1.4,53.5,1.31,12.7,31.0,61.5,46.5,12.7,47.2,55.8,98.62,48.6
Chicago Bulls,43.0,23.0,20.0,153.0,101.8,92.3,9.5,52.5,1.33,12.3,30.4,65.2,48.7,11.9,43.3,53.1,105.18,59.6
Miami Heat,38.0,23.0,15.0,182.0,110.8,100.0,10.8,51.6,1.33,13.1,33.9,64.6,49.7,13.0,49.3,56.4,97.53,58.5
Minnesota Timberwolves,48.0,23.0,25.0,242.0,101.1,106.5,-5.4,57.0,1.49,14.0,28.7,64.6,47.6,12.3,44.1,52.4,93.03,45.9
Toronto Raptors,39.0,23.0,16.0,138.0,108.1,102.4,5.7,49.5,1.74,12.3,28.0,64.1,45.8,9.1,47.1,55.6,102.55,56.2
New Jersey Nets,48.0,22.0,26.0,194.0,103.5,113.3,-9.8,58.1,1.27,13.6,29.2,73.5,50.5,13.8,47.8,56.6,104.94,44.9
New York Knicks,49.0,22.0,27.0,224.0,112.6,109.2,3.4,44.4,1.0,11.8,40.2,66.9,54.5,15.6,49.9,57.8,94.53,52.1
Portland Trail Blazers,42.0,22.0,20.0,205.0,117.1,115.1,2.0,40.1,1.42,10.9,42.9,67.9,55.0,10.4,47.9,57.0,96.92,52.4
Golden State Warriors,39.0,20.0,19.0,137.0,99.6,105.2,-5.5,47.9,0.92,11.9,40.6,66.2,53.0,17.5,45.0,50.5,100.6,41.6
Los Angeles Clippers,39.0,20.0,19.0,132.0,106.7,110.4,-3.7,51.1,1.28,12.4,33.6,62.9,48.9,12.6,44.8,56.1,102.36,50.0
Philadelphia 76ers,38.0,20.0,18.0,184.0,112.5,101.1,11.4,55.0,1.54,14.0,34.3,63.6,50.6,11.9,47.9,57.9,99.08,63.5
San Antonio Spurs,40.0,20.0,20.0,136.0,105.9,105.4,0.5,56.3,1.26,13.5,36.8,72.6,53.8,14.4,48.0,54.2,96.38,51.1
Washington Wizards,47.0,20.0,27.0,198.0,105.5,116.5,-11.0,50.0,1.16,10.6,29.2,66.2,47.4,11.5,43.3,55.4,108.41,38.5
Atlanta Hawks,38.0,19.0,19.0,161.0,100.9,106.5,-5.6,50.0,1.41,12.4,31.3,61.2,46.4,11.7,44.4,51.3,95.18,47.7
Charlotte Bobcats,39.0,19.0,20.0,195.0,100.8,105.6,-4.8,45.2,1.14,11.3,38.8,68.2,52.1,13.6,43.0,48.7,91.59,42.9
Indiana Pacers,41.0,18.0,23.0,149.0,102.2,105.6,-3.4,56.4,1.24,13.0,39.2,63.2,51.1,14.4,43.8,52.4,103.29,50.9
Orlando Magic,42.0,18.0,24.0,167.0,87.1,99.7,-12.6,48.2,0.72,9.6,35.1,69.0,51.1,17.5,36.2,45.2,95.42,32.2
Seattle SuperSonics,47.0,18.0,29.0,198.0,109.1,106.8,2.3,50.4,1.5,12.6,36.8,66.2,51.1,11.4,45.7,53.6,95.0,47.0
Milwaukee Bucks,44.0,17.0,27.0,179.0,99.4,108.4,-9.0,47.8,1.0,11.8,27.8,60.3,44.8,15.0,45.3,53.5,99.1,38.0
Sacramento Kings,44.0,17.0,27.0,167.0,97.0,112.0,-15.1,60.2,1.44,12.9,23.0,68.2,44.8,11.4,41.4,52.1,105.92,37.5
Boston Celtics,53.0,16.0,37.0,196.0,99.2,100.5,-1.3,47.6,1.07,12.0,29.4,61.8,46.9,14.2,44.6,53.6,96.38,49.8
Memphis Grizzlies,42.0,15.0,27.0,213.0,105.0,111.8,-6.7,51.4,1.35,13.1,34.1,62.7,48.4,12.9,46.8,53.1,97.0,42.6
