,t1_general_traditional_WIN%,t2_general_traditional_WIN%,t1_general_traditional_PTS,t2_general_traditional_PTS,t1_general_traditional_BLK,t2_general_traditional_BLK,t1_general_traditional_+/-,t2_general_traditional_+/-,t1_general_advanced_NetRtg,t2_general_advanced_NetRtg,t1_general_advanced_PIE,t2_general_advanced_PIE,t1_general_opponent_Opponent's 3 Point Field Goal Percentage,t2_general_opponent_Opponent's 3 Point Field Goal Percentage,t1_general_opponent_Opponent's Steals,t2_general_opponent_Opponent's Steals,t1_clutch-traditional_Personal Fouls,t2_clutch-traditional_Personal Fouls,t1_clutch-advanced_Offensive Rebounding Percentage,t2_clutch-advanced_Offensive Rebounding Percentage,t1_clutch-advanced_Pace,t2_clutch-advanced_Pace,t1_clutch-advanced_Player Impact Estimate,t2_clutch-advanced_Player Impact Estimate,t1_seed,t2_seed,t1_general_traditional_FT%,t2_general_traditional_FT%,t1_general_advanced_DefRtg,t2_general_advanced_DefRtg,t1_general_advanced_POSS,t2_general_advanced_POSS,t1_general_defense_OPP_PTS_2ND_CHANCE,t2_general_defense_OPP_PTS_2ND_CHANCE,t1_clutch-traditional_Field Goal Percentage,t2_clutch-traditional_Field Goal Percentage,t1_clutch-traditional_Assists,t2_clutch-traditional_Assists
92,64.60000000000001,53.7,104.5,105.1,5.6,4.6,4.3,0.8,4.5,0.8,53.3,49.3,33.8,37.1,7.1,7.7,2.5,1.9,25.6,31.3,102.64,107.23,56.9,49.9,4.0,5.0,69.2,75.4,102.7,106.8,7995.0,8012.0,13.8,12.4,45.9,41.0,1.5,1.1
93,59.8,64.60000000000001,114.5,114.7,5.2,5.0,3.4,4.2,3.4,4.2,50.6,52.1,35.6,35.9,8.2,7.4,2.2,2.1,37.9,40.3,104.64,105.69,50.7,55.8,6.0,3.0,71.3,81.4,106.5,109.5,8549.0,8269.0,12.5,13.7,38.2,42.3,1.3,1.4
94,69.5,69.5,100.2,101.5,4.3,5.1,4.2,6.1,4.4,6.3,53.8,54.1,34.3,33.5,7.6,7.1,1.7,2.1,35.1,41.7,98.86,96.34,73.1,54.0,3.0,2.0,77.7,77.9,104.1,103.3,7581.0,7594.0,12.6,13.8,48.1,42.6,1.3,1.4
95,68.30000000000001,67.10000000000001,100.6,101.7,6.0,5.3,3.4,5.8,3.5,5.7,53.2,54.0,35.4,35.5,7.5,8.1,2.6,3.2,33.9,30.4,100.92,94.49,58.9,55.4,2.0,3.0,68.3,77.1,103.6,98.5,7710.0,8010.0,13.5,13.5,44.4,36.2,1.3,1.5
96,76.7,45.2,118.7,107.3,5.9,5.4,10.1,-1.0,9.4,-1.3,56.2,49.6,35.5,36.4,7.4,7.0,1.9,2.1,38.1,26.7,112.01,106.24,64.8,42.8,1.0,8.0,74.2,77.4,102.5,109.2,7739.0,7255.0,11.3,11.2,42.3,39.8,1.4,1.6
97,61.0,73.2,100.4,95.8,5.7,6.5,2.3,5.4,2.2,5.8,52.0,54.9,38.0,33.9,7.9,8.1,2.5,2.2,37.4,31.9,97.86,94.98,58.6,54.3,5.0,1.0,73.4,72.5,103.4,98.1,7797.0,7558.0,13.8,14.0,45.4,45.3,1.6,1.3
98,60.6,62.1,97.5,95.0,4.8,5.2,2.6,2.0,2.7,2.2,51.7,51.4,36.5,34.5,6.0,7.8,3.4,2.1,29.9,34.4,101.65,101.41,51.0,60.8,5.0,4.0,68.0,75.9,104.8,100.6,5989.0,6099.0,12.9,12.5,41.6,44.2,1.5,1.3
99,65.9,75.6,102.2,105.4,4.5,5.1,4.8,7.7,5.1,8.1,53.9,55.5,36.2,35.3,8.1,7.7,2.2,1.8,29.8,27.4,92.78,97.52,54.0,63.7,2.0,1.0,76.0,78.5,105.0,101.4,7615.0,7887.0,13.3,12.7,43.0,49.0,1.3,2.1
100,57.3,54.900000000000006,94.5,100.5,4.5,4.2,1.1,-0.3,1.4,-0.4,49.8,48.5,33.4,36.4,8.4,7.1,2.3,2.2,32.8,32.1,99.98,100.88,59.6,52.1,4.0,5.0,75.0,72.5,99.1,105.9,7707.0,7816.0,12.6,14.8,40.1,42.6,1.4,1.1
101,61.0,69.5,99.2,101.7,4.9,4.9,3.7,4.7,3.7,4.9,54.0,52.9,34.2,32.8,7.0,7.0,1.8,2.6,30.4,35.5,92.15,94.87,61.2,50.1,4.0,1.0,74.6,76.5,103.2,102.7,7609.0,7749.0,12.8,12.9,43.2,40.0,1.4,1.0
