TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Indiana Pacers,44.0,31.0,13.0,4.1,2.2,6.0,36.5,0.3,1.4,25.0,2.0,2.6,77.0,1.0,2.9,3.9,1.3,1.5,0.4,0.6,0.4,2.8,2.1,6.7,-2.4
Los Angeles Lakers,41.0,31.0,10.0,4.5,2.3,6.9,33.9,0.3,2.0,17.1,2.9,3.6,80.5,1.1,3.2,4.3,1.2,1.4,0.4,0.4,0.5,3.4,2.5,8.0,-2.3
Portland Trail Blazers,50.0,28.0,22.0,4.6,3.0,7.0,43.4,0.7,2.0,35.0,2.1,2.8,73.6,1.0,2.4,3.3,1.8,1.2,0.7,0.3,0.6,2.2,2.2,8.8,0.2
Memphis Grizzlies,48.0,27.0,21.0,3.9,2.4,6.3,38.6,0.5,1.5,29.7,2.4,3.1,78.4,1.1,2.5,3.7,1.2,1.3,0.4,0.3,0.5,2.8,2.3,7.8,-0.9
Minnesota Timberwolves,42.0,27.0,15.0,4.1,2.3,6.1,38.0,0.3,1.3,21.4,3.0,3.9,76.2,1.0,2.6,3.7,1.3,0.9,0.4,0.4,0.5,3.0,2.5,7.9,-1.6
Sacramento Kings,43.0,26.0,17.0,4.2,2.6,6.9,37.5,0.5,1.7,27.4,2.7,3.7,73.8,1.5,3.2,4.6,1.5,1.1,0.4,0.5,0.3,3.0,2.5,8.4,-0.7
Detroit Pistons,45.0,25.0,20.0,4.2,2.6,6.5,39.6,0.4,1.6,25.0,2.3,2.9,78.8,1.0,2.6,3.5,1.3,1.1,0.7,0.4,0.6,2.6,2.3,7.9,-1.0
New Orleans Hornets,48.0,25.0,23.0,4.2,2.3,6.1,37.7,0.5,1.8,26.7,2.6,3.5,74.3,1.1,2.6,3.6,1.4,1.3,0.6,0.6,0.5,2.3,2.6,7.6,-0.1
Milwaukee Bucks,53.0,24.0,29.0,3.7,2.3,5.8,39.8,0.5,1.7,31.1,2.8,3.6,77.4,0.7,2.7,3.4,1.3,0.9,0.7,0.5,0.4,2.4,2.3,7.9,0.3
New York Knicks,41.0,24.0,17.0,4.8,2.6,7.5,34.1,0.6,2.1,30.6,3.3,4.4,74.9,1.5,2.9,4.3,1.4,1.3,0.8,0.5,0.5,3.2,3.0,9.0,-1.3
