TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Miami Heat,82.0,66.0,16.0,48.5,103.2,30.4,67.8,8.7,5.4,15.7,14.7,11.9,39.9
Oklahoma City Thunder,82.0,60.0,22.0,48.4,101.2,33.2,70.2,8.3,7.6,16.7,13.6,12.5,40.7
San Antonio Spurs,82.0,58.0,24.0,48.5,100.3,33.2,71.5,8.5,5.4,16.4,12.5,14.2,40.0
Denver Nuggets,82.0,57.0,25.0,48.5,104.2,31.7,67.5,9.3,6.5,17.3,14.8,12.2,40.7
Los Angeles Clippers,82.0,56.0,26.0,48.1,102.8,30.2,69.7,9.6,5.6,16.0,13.0,12.3,37.2
Memphis Grizzlies,82.0,56.0,26.0,48.3,99.1,29.8,70.2,8.6,5.3,14.9,11.9,12.4,38.0
New York Knicks,82.0,54.0,28.0,48.1,105.4,29.7,70.8,8.2,3.6,13.5,12.4,12.1,39.7
Brooklyn Nets,82.0,49.0,33.0,48.4,104.8,30.0,70.1,7.3,4.8,16.9,12.4,13.9,43.4
Indiana Pacers,81.0,49.0,32.0,48.4,99.0,33.0,70.1,7.2,6.3,16.0,12.9,10.1,35.5
Golden State Warriors,82.0,47.0,35.0,48.3,104.2,34.2,71.2,6.9,4.2,17.3,13.9,13.8,40.4
Chicago Bulls,82.0,45.0,37.0,48.4,101.9,30.7,69.9,7.2,5.1,15.4,12.7,13.1,39.3
Houston Rockets,82.0,45.0,37.0,48.2,105.3,32.3,71.0,8.3,4.4,18.4,12.6,14.2,41.9
Los Angeles Lakers,82.0,45.0,37.0,48.2,105.9,33.3,70.2,7.0,5.2,16.7,13.8,15.9,44.1
Atlanta Hawks,82.0,44.0,38.0,48.4,103.4,31.6,70.1,8.1,4.5,16.7,13.2,12.0,41.0
Utah Jazz,82.0,43.0,39.0,48.5,105.6,30.0,69.7,8.4,6.3,16.9,12.5,13.4,42.6
Boston Celtics,81.0,41.0,40.0,49.0,102.6,31.3,69.0,8.2,4.5,16.9,14.2,12.1,42.7
Dallas Mavericks,82.0,41.0,41.0,48.7,105.4,32.6,69.8,7.9,5.5,17.1,13.6,14.0,41.1
Milwaukee Bucks,82.0,38.0,44.0,48.4,104.2,30.9,67.8,8.4,6.7,16.8,14.6,15.1,46.2
Philadelphia 76ers,82.0,34.0,48.0,48.2,104.7,30.4,69.5,7.4,4.7,14.5,12.2,12.5,40.2
Toronto Raptors,82.0,34.0,48.0,48.7,106.4,29.6,68.8,7.3,4.8,15.5,13.1,11.9,42.5
Portland Trail Blazers,82.0,33.0,49.0,48.4,107.9,30.2,70.2,6.6,4.3,17.2,13.4,14.6,47.4
Minnesota Timberwolves,82.0,31.0,51.0,48.1,104.0,30.2,70.2,8.5,4.7,16.5,12.7,14.0,42.3
Detroit Pistons,82.0,29.0,53.0,48.3,107.2,30.0,69.5,7.0,4.9,17.8,13.5,13.5,42.9
Washington Wizards,82.0,29.0,53.0,48.4,101.6,32.3,70.6,7.3,4.6,16.8,12.6,12.0,38.1
Sacramento Kings,82.0,28.0,54.0,48.4,110.0,29.1,67.3,8.2,4.2,17.6,14.2,16.7,45.2
New Orleans Hornets,82.0,27.0,55.0,48.2,108.9,29.6,70.5,6.3,5.4,17.3,12.8,13.2,43.2
Phoenix Suns,82.0,25.0,57.0,48.3,106.9,29.9,68.7,8.0,5.3,18.6,13.5,14.9,45.6
Cleveland Cavaliers,82.0,24.0,58.0,48.1,108.2,28.8,69.5,7.9,4.1,16.2,13.6,13.1,42.5
Charlotte Bobcats,82.0,21.0,61.0,48.3,110.3,29.1,67.9,7.2,5.8,17.0,14.0,13.8,43.9
Orlando Magic,82.0,20.0,62.0,48.2,108.4,31.9,70.7,6.4,4.4,16.8,12.7,12.6,42.8
