TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Brooklyn Nets,40.0,27.0,13.0,144.0,115.5,106.0,9.5,49.1,1.47,13.3,25.4,70.6,48.8,11.6,53.9,62.6,107.85,57.3
Philadelphia 76ers,34.0,25.0,9.0,136.0,108.5,97.5,11.0,51.1,0.92,12.3,38.5,65.6,53.4,17.7,50.5,59.1,101.78,63.8
Phoenix Suns,37.0,25.0,12.0,160.0,111.8,110.7,1.0,46.3,1.97,12.5,32.4,69.5,49.1,8.5,48.5,54.9,98.61,50.3
Portland Trail Blazers,37.0,24.0,13.0,137.0,126.7,99.3,27.4,48.9,2.83,15.2,33.8,73.8,52.7,7.3,55.7,61.1,105.77,63.6
Sacramento Kings,42.0,22.0,20.0,148.0,109.0,114.1,-5.1,40.5,1.23,11.5,28.3,65.4,46.5,12.0,51.3,56.9,108.59,43.6
Los Angeles Lakers,35.0,21.0,14.0,140.0,112.1,100.4,11.7,53.4,1.88,15.4,33.8,74.8,52.4,11.4,51.9,55.6,95.56,57.3
Indiana Pacers,40.0,20.0,20.0,168.0,99.4,102.2,-2.8,56.3,1.34,15.4,20.1,72.0,46.9,14.8,51.1,55.7,103.3,48.4
New York Knicks,36.0,20.0,16.0,162.0,108.0,95.5,12.5,49.1,1.54,13.0,25.1,75.3,50.4,10.9,49.6,56.0,99.65,58.3
Memphis Grizzlies,38.0,19.0,19.0,141.0,105.5,111.7,-6.2,54.3,1.5,13.8,31.1,69.4,49.2,12.4,47.6,54.0,104.55,47.7
Washington Wizards,39.0,19.0,20.0,169.0,113.2,108.7,4.5,45.8,1.59,13.0,29.1,76.6,53.6,10.6,51.1,58.4,110.54,51.6
Atlanta Hawks,36.0,18.0,18.0,129.0,114.2,116.7,-2.5,55.6,2.04,15.9,22.9,76.5,49.8,10.1,55.5,61.2,102.14,46.6
Charlotte Hornets,31.0,18.0,13.0,105.0,122.3,100.5,21.9,58.0,1.96,16.5,35.5,72.6,54.0,11.6,56.7,61.8,101.25,60.9
Dallas Mavericks,33.0,18.0,15.0,101.0,114.4,120.7,-6.3,50.6,2.11,14.2,27.5,67.0,47.6,8.8,53.1,59.4,102.49,47.9
Denver Nuggets,31.0,18.0,13.0,145.0,116.1,108.3,7.8,51.6,1.8,15.7,26.9,68.3,48.5,11.5,56.6,62.2,100.11,56.6
Miami Heat,34.0,18.0,16.0,121.0,95.3,102.4,-7.1,61.3,1.39,13.6,30.5,67.4,49.6,12.9,42.3,50.8,99.79,50.7
Minnesota Timberwolves,39.0,18.0,21.0,142.0,106.3,116.5,-10.2,65.7,1.6,16.5,27.6,69.7,48.4,14.0,49.4,56.4,106.2,41.3
Boston Celtics,43.0,17.0,26.0,151.0,101.5,111.3,-9.8,44.3,1.27,11.2,26.7,70.0,48.7,11.1,47.1,53.7,109.13,42.8
New Orleans Pelicans,39.0,17.0,22.0,158.0,106.6,102.6,4.1,53.4,1.37,13.0,34.6,74.0,53.9,12.7,47.5,55.2,107.33,54.0
Utah Jazz,30.0,17.0,13.0,90.0,117.8,107.4,10.4,51.3,1.86,14.2,33.3,66.3,49.2,10.4,53.2,59.2,103.49,57.9
Golden State Warriors,32.0,16.0,16.0,112.0,114.1,119.8,-5.7,55.8,1.77,15.8,35.4,67.2,50.6,12.4,51.8,56.5,104.36,46.2
LA Clippers,34.0,16.0,18.0,86.0,112.3,117.8,-5.5,50.0,1.55,12.7,32.6,62.9,49.2,10.7,51.0,59.4,107.69,45.6
Oklahoma City Thunder,30.0,16.0,14.0,105.0,101.7,103.1,-1.4,42.3,0.83,10.4,27.9,72.8,50.7,15.7,47.7,55.4,104.21,49.6
San Antonio Spurs,38.0,16.0,22.0,168.0,107.3,111.7,-4.4,42.4,1.47,12.2,25.0,69.0,47.5,10.5,48.2,55.9,98.98,48.3
Chicago Bulls,35.0,14.0,21.0,125.0,107.3,114.7,-7.4,49.5,1.2,13.1,31.5,76.1,54.2,14.3,51.1,58.1,110.38,48.2
Milwaukee Bucks,28.0,13.0,15.0,98.0,107.0,105.4,1.6,47.4,1.13,13.1,23.0,72.6,49.8,14.9,53.0,58.5,106.52,52.0
Orlando Magic,30.0,13.0,17.0,97.0,105.7,104.0,1.7,58.9,1.48,15.5,28.6,69.4,51.1,13.9,50.6,56.8,106.68,51.1
Cleveland Cavaliers,26.0,11.0,15.0,106.0,98.7,110.2,-11.6,50.0,0.92,12.2,24.8,70.5,47.6,16.9,49.7,56.0,101.49,42.5
Toronto Raptors,39.0,11.0,28.0,116.0,100.0,116.9,-16.9,61.3,1.69,14.6,25.2,71.4,44.6,11.4,46.8,52.6,107.37,33.5
Detroit Pistons,32.0,7.0,25.0,122.0,106.6,124.3,-17.7,51.7,1.29,12.7,37.9,67.2,52.0,13.6,47.1,53.1,102.53,37.1
Houston Rockets,24.0,7.0,17.0,80.0,101.8,113.8,-12.0,41.3,0.83,8.8,28.7,65.6,47.4,13.5,41.6,52.6,108.12,38.0
