TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Golden State Warriors,34.0,30.0,4.0,88.2,4.2,10.6,3.3,7.1,46.5,1.1,3.0,35.9,2.9,3.5,82.5,1.1,3.4,4.5,1.9,1.1,0.6,0.5,0.4,2.2,2.8,3.2
San Antonio Spurs,30.0,21.0,9.0,70.0,3.5,8.3,2.9,6.3,45.8,0.4,1.4,30.2,2.1,2.7,75.6,1.1,2.4,3.5,1.6,0.9,0.4,0.6,0.4,1.4,1.9,1.8
Toronto Raptors,51.0,32.0,19.0,62.7,3.3,8.0,2.4,5.6,42.0,0.5,1.5,35.4,2.7,3.5,79.0,0.7,2.3,3.0,0.9,0.7,0.5,0.3,0.5,2.4,2.3,1.1
Detroit Pistons,42.0,25.0,17.0,59.5,4.1,9.3,2.9,6.7,42.4,0.6,2.0,31.7,3.0,4.5,67.0,0.9,2.8,3.8,1.0,1.0,0.5,0.3,0.5,2.2,3.2,1.3
LA Clippers,42.0,25.0,17.0,59.5,4.0,9.7,2.8,6.1,45.9,0.8,2.2,37.2,3.3,4.3,75.3,0.8,2.5,3.3,1.5,0.8,0.5,0.6,0.2,2.5,2.9,0.5
Memphis Grizzlies,44.0,26.0,18.0,59.1,3.9,8.9,2.7,6.7,41.0,0.6,1.7,35.1,2.9,3.8,75.1,1.2,2.5,3.7,1.4,0.9,0.7,0.4,0.6,2.0,2.4,1.3
Chicago Bulls,46.0,27.0,19.0,58.7,4.6,9.1,2.8,7.2,39.2,0.6,1.9,31.4,2.9,3.6,81.3,0.8,3.2,4.0,1.1,1.3,0.4,0.8,0.4,2.5,2.5,-0.5
Miami Heat,43.0,25.0,18.0,58.1,4.1,9.7,3.2,7.0,45.2,0.6,1.7,32.4,2.8,3.8,73.5,1.0,2.9,3.9,1.7,0.7,0.6,0.6,0.4,2.1,2.7,1.4
Cleveland Cavaliers,33.0,19.0,14.0,57.6,4.3,9.4,2.8,7.0,39.7,0.7,2.8,25.0,3.2,4.2,75.9,1.1,3.1,4.2,1.3,1.0,0.5,0.4,0.7,2.5,2.7,0.3
Houston Rockets,49.0,28.0,21.0,57.1,4.0,8.9,2.5,6.2,40.6,0.9,3.0,30.8,3.0,4.1,72.4,0.9,2.9,3.8,1.3,0.9,0.6,0.4,0.3,2.1,2.9,0.8
Indiana Pacers,53.0,30.0,23.0,56.6,4.0,8.6,2.8,6.9,40.3,0.6,2.0,31.1,2.5,3.5,69.7,0.9,2.5,3.5,1.4,1.0,0.7,0.5,0.5,2.2,2.5,0.0
Portland Trail Blazers,42.0,23.0,19.0,54.8,3.3,8.1,2.5,6.1,41.0,0.6,2.2,25.8,2.5,3.1,81.7,0.7,2.2,2.9,1.1,0.6,0.5,0.5,0.5,1.9,2.1,0.1
Atlanta Hawks,44.0,24.0,20.0,54.5,3.8,8.6,2.8,6.8,40.8,0.6,2.0,30.7,2.5,3.0,81.2,1.0,2.6,3.6,1.6,0.8,0.5,0.5,0.6,2.2,2.3,0.6
Boston Celtics,46.0,25.0,21.0,54.3,3.4,8.8,2.8,6.3,44.6,0.7,2.1,30.6,2.5,3.1,81.1,0.7,2.4,3.2,1.6,0.8,0.5,0.4,0.4,2.5,2.0,0.3
Charlotte Hornets,42.0,22.0,20.0,52.4,3.7,8.7,2.6,6.7,39.4,0.8,2.6,30.6,2.6,3.2,82.1,1.2,2.9,4.0,1.2,0.8,0.3,0.4,0.6,1.8,2.4,1.3
Dallas Mavericks,49.0,25.0,24.0,51.0,4.6,10.4,3.4,7.6,45.2,1.2,3.2,36.1,2.4,2.9,82.6,0.6,3.1,3.7,1.9,0.7,0.6,0.4,0.4,2.1,2.4,1.2
Milwaukee Bucks,40.0,20.0,20.0,50.0,4.0,8.4,2.6,5.9,44.4,0.5,1.4,31.6,2.8,3.8,72.8,0.8,2.8,3.6,1.4,1.3,0.7,0.7,0.4,2.5,2.7,-0.2
Oklahoma City Thunder,44.0,22.0,22.0,50.0,3.9,8.9,3.0,7.3,40.9,0.5,2.1,24.5,2.5,3.0,83.1,1.3,2.8,4.1,1.2,1.0,0.5,0.7,0.5,2.4,2.0,-0.5
Denver Nuggets,52.0,25.0,27.0,48.1,3.7,7.3,2.3,6.1,37.9,0.4,1.8,20.4,2.3,2.9,77.1,0.8,2.8,3.6,1.1,0.9,0.4,0.3,0.6,2.2,2.3,-0.4
Washington Wizards,34.0,16.0,18.0,47.1,3.8,9.0,2.8,7.0,39.7,0.7,2.5,28.6,2.7,3.5,77.5,0.9,2.7,3.6,1.5,1.1,0.7,0.3,0.2,2.4,2.1,0.0
Orlando Magic,44.0,19.0,25.0,43.2,4.5,9.1,3.1,8.2,37.6,0.8,2.5,31.5,2.1,2.7,80.3,1.1,3.4,4.5,1.7,1.3,0.6,0.4,0.9,2.9,2.2,-0.3
Sacramento Kings,43.0,18.0,25.0,41.9,3.5,7.4,2.4,6.0,40.0,0.5,1.7,28.4,2.1,2.9,71.8,1.0,2.3,3.3,1.4,1.2,0.6,0.3,0.2,2.5,2.3,-1.1
Minnesota Timberwolves,50.0,20.0,30.0,40.0,4.1,8.8,2.6,6.7,39.1,0.4,1.8,20.5,3.2,4.0,79.6,1.2,2.9,4.1,1.5,1.2,0.4,0.4,0.6,2.7,2.5,-0.8
New Orleans Pelicans,46.0,18.0,28.0,39.1,3.7,8.3,2.5,5.6,43.8,0.7,2.3,29.8,2.8,3.2,85.8,0.6,2.4,2.9,1.5,1.2,0.5,0.3,0.4,2.4,2.2,-0.8
Brooklyn Nets,41.0,15.0,26.0,36.6,3.4,7.2,2.3,5.7,40.3,0.4,1.3,27.8,2.2,2.8,78.4,0.8,2.4,3.2,1.2,1.0,0.5,0.3,0.3,2.1,1.7,-0.8
New York Knicks,41.0,15.0,26.0,36.6,4.0,8.7,2.7,6.8,40.1,0.6,2.3,26.6,2.6,3.0,89.3,0.9,2.8,3.6,1.3,1.1,0.4,0.6,0.4,2.7,2.0,-1.0
Los Angeles Lakers,33.0,11.0,22.0,33.3,3.5,8.1,2.5,6.1,41.8,0.8,2.0,37.9,2.2,2.9,77.1,1.1,2.1,3.1,0.9,0.7,0.4,0.3,0.2,2.2,2.0,-0.7
Utah Jazz,42.0,14.0,28.0,33.3,4.9,10.1,3.4,8.1,41.8,0.7,2.5,29.5,2.6,3.7,69.9,1.2,2.7,3.9,1.4,1.3,0.5,0.6,0.5,3.0,2.2,-2.2
Phoenix Suns,39.0,12.0,27.0,30.8,3.2,6.3,2.0,5.6,35.9,0.4,2.0,21.5,1.8,2.3,78.0,1.1,1.9,3.0,0.9,1.1,0.4,0.3,0.4,2.4,1.5,-2.5
Philadelphia 76ers,35.0,5.0,30.0,14.3,3.8,6.2,2.1,6.1,34.9,0.5,2.1,25.7,1.4,2.3,62.0,0.7,2.4,3.1,1.2,1.2,0.3,0.3,0.4,3.0,1.6,-3.6
