TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Cleveland Cavaliers,45.0,30.0,15.0,3.4,2.4,5.7,41.1,0.7,2.4,29.0,1.6,2.2,75.3,0.6,2.3,2.9,1.3,0.7,0.4,0.2,0.5,2.2,1.8,7.0,-1.7
New Orleans Pelicans,50.0,30.0,20.0,4.5,3.0,7.8,39.2,1.0,2.9,33.3,2.2,2.6,81.8,1.1,2.9,4.0,1.7,1.3,0.6,0.4,0.7,2.4,1.8,9.2,-1.2
Boston Celtics,46.0,29.0,17.0,3.9,3.0,7.1,41.8,0.7,2.7,27.0,2.4,3.1,78.7,1.0,2.7,3.7,1.2,0.9,0.6,0.5,0.3,1.8,2.0,9.1,-0.1
Miami Heat,53.0,29.0,24.0,4.3,3.0,7.5,39.8,0.7,2.6,27.9,2.2,3.0,73.4,1.3,2.4,3.7,1.4,1.1,0.7,0.5,0.4,2.2,2.4,8.9,-0.8
Indiana Pacers,44.0,26.0,18.0,3.5,2.2,5.7,38.9,0.7,2.4,30.8,1.8,2.4,73.6,0.8,2.2,3.0,1.0,1.2,0.5,0.4,0.4,2.0,1.8,7.0,-1.5
Milwaukee Bucks,47.0,26.0,21.0,3.8,2.5,6.5,39.1,0.8,2.6,31.7,2.3,3.1,75.0,1.0,2.6,3.6,1.3,1.2,0.7,0.4,0.6,2.2,2.3,8.2,-0.4
Philadelphia 76ers,45.0,26.0,19.0,3.3,2.2,5.8,37.0,0.7,2.2,32.0,2.2,2.9,74.6,0.9,2.0,2.9,1.0,0.9,0.7,0.3,0.5,2.6,1.7,7.2,-1.2
Houston Rockets,35.0,25.0,10.0,3.1,2.1,4.7,45.7,0.3,1.6,21.4,1.6,2.4,65.5,0.6,1.9,2.5,0.9,0.9,0.2,0.3,0.4,2.3,1.7,6.2,-2.0
Portland Trail Blazers,45.0,25.0,20.0,3.9,2.9,6.9,41.3,0.7,2.4,29.2,2.0,2.8,70.4,1.0,3.0,4.0,1.2,1.1,0.6,0.6,0.5,2.4,2.0,8.4,-0.2
Toronto Raptors,44.0,25.0,19.0,3.7,2.7,6.1,43.5,0.8,2.2,37.5,2.1,2.7,78.3,0.8,2.6,3.4,1.5,1.1,0.5,0.3,0.3,2.6,1.8,8.3,-0.5
