TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Phoenix Suns,42.0,33.0,9.0,78.6,3.1,9.0,3.0,5.2,57.8,0.7,1.7,43.1,2.3,3.0,76.2,0.5,2.4,2.9,1.9,0.7,0.4,0.3,0.1,1.9,2.0,2.5
Memphis Grizzlies,32.0,21.0,11.0,65.6,3.9,9.5,3.0,7.3,41.2,0.8,2.5,31.3,2.7,3.3,80.4,1.4,2.4,3.8,1.2,1.1,0.7,0.7,0.6,2.0,2.3,1.4
Washington Wizards,40.0,25.0,15.0,62.5,4.0,9.5,3.2,6.9,45.5,1.2,3.1,37.1,2.1,2.6,81.4,0.9,3.0,3.9,2.0,1.2,0.4,0.6,0.3,1.9,2.0,1.4
Chicago Bulls,41.0,25.0,16.0,61.0,3.4,9.0,2.9,6.0,48.4,0.4,1.5,27.0,2.9,3.3,87.3,0.8,2.6,3.4,1.1,0.7,0.4,0.2,0.2,1.9,2.2,1.4
Miami Heat,38.0,23.0,15.0,60.5,3.5,7.4,2.2,5.4,40.6,0.9,2.5,36.2,2.1,2.6,78.0,0.6,2.3,3.0,1.1,1.1,0.4,0.4,0.3,1.9,2.2,0.5
Milwaukee Bucks,41.0,24.0,17.0,58.5,3.0,7.4,2.4,5.1,47.1,0.8,2.1,37.2,1.8,2.4,77.3,0.7,2.3,3.0,1.1,0.8,0.5,0.3,0.3,1.7,1.4,1.0
Dallas Mavericks,38.0,22.0,16.0,57.9,3.4,7.2,2.5,5.6,44.9,0.7,2.6,28.6,1.4,1.9,74.6,0.7,1.7,2.3,1.3,0.8,0.4,0.2,0.1,1.7,1.7,-0.3
Toronto Raptors,45.0,26.0,19.0,57.8,4.0,9.1,3.0,7.4,40.8,1.0,2.8,33.9,2.2,3.0,73.7,1.5,2.8,4.3,1.4,0.7,0.8,0.6,0.4,1.8,2.2,0.9
Denver Nuggets,40.0,23.0,17.0,57.5,4.0,8.7,2.8,6.6,42.3,0.6,2.4,23.4,2.5,3.2,79.5,1.0,2.6,3.6,1.6,0.9,0.5,0.3,0.4,2.0,2.4,0.2
LA Clippers,42.0,24.0,18.0,57.1,3.5,9.2,2.9,5.9,49.6,1.1,2.5,45.6,2.2,2.9,76.9,0.7,2.3,3.0,1.6,0.7,0.4,0.4,0.3,1.7,2.1,0.9
