TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Memphis Grizzlies,49.0,33.0,16.0,3.4,1.9,5.3,35.0,0.4,1.8,22.5,1.5,1.9,77.9,0.7,1.9,2.6,1.0,0.9,0.4,0.2,0.3,2.3,1.4,5.6,-2.2
Portland Trail Blazers,47.0,30.0,17.0,4.2,3.3,7.7,42.4,0.7,1.8,37.2,1.9,2.6,72.6,1.3,2.9,4.2,1.5,1.1,0.7,0.3,0.5,3.2,1.8,9.1,-1.9
Toronto Raptors,54.0,28.0,26.0,3.9,2.2,5.7,38.4,0.6,1.7,36.2,2.5,3.4,73.7,0.6,2.6,3.2,1.2,1.1,0.4,0.4,0.2,2.5,2.6,7.5,-0.6
Los Angeles Clippers,43.0,27.0,16.0,3.5,2.2,5.7,37.8,0.4,1.5,28.6,2.7,3.5,78.5,0.9,2.4,3.3,1.2,0.9,0.3,0.2,0.4,2.4,2.2,7.5,-1.3
Charlotte Bobcats,48.0,26.0,22.0,4.4,2.8,7.3,38.0,0.7,2.3,31.3,2.3,3.0,76.2,0.9,3.3,4.2,1.4,0.7,0.5,0.5,0.4,2.4,2.3,8.5,0.0
Dallas Mavericks,48.0,26.0,22.0,3.8,2.5,6.4,38.2,0.6,2.0,30.9,2.3,3.0,78.9,1.0,2.7,3.7,1.3,0.8,0.5,0.2,0.5,2.3,1.9,7.9,-1.3
Indiana Pacers,37.0,26.0,11.0,3.8,2.3,6.1,37.3,0.6,2.0,31.1,2.5,3.0,82.7,0.7,2.4,3.1,1.1,0.9,0.4,0.2,0.5,2.5,2.1,7.6,-1.4
Phoenix Suns,50.0,26.0,24.0,3.6,2.3,6.0,39.0,0.6,1.7,33.3,2.3,3.1,75.8,1.0,2.5,3.5,1.1,1.1,0.6,0.3,0.3,2.0,2.2,7.6,0.2
New Orleans Pelicans,50.0,25.0,25.0,4.1,3.0,7.1,42.2,0.6,2.2,25.2,2.6,3.2,79.5,1.3,2.7,3.9,1.2,1.0,0.6,0.8,0.5,2.0,2.3,9.1,0.2
Oklahoma City Thunder,43.0,25.0,18.0,3.9,2.6,6.4,40.0,0.6,1.9,30.5,2.7,3.9,70.7,0.8,2.9,3.7,1.2,1.1,0.5,0.2,0.5,2.1,2.3,8.4,-0.2
Golden State Warriors,43.0,24.0,19.0,4.7,2.9,7.9,37.1,0.7,2.5,26.9,3.0,3.7,80.9,1.4,3.0,4.4,1.4,1.3,0.6,0.5,0.5,2.0,2.7,9.5,-0.3
Houston Rockets,42.0,24.0,18.0,3.9,2.4,7.0,34.8,0.7,2.2,31.2,2.4,3.0,79.4,1.3,2.0,3.3,1.2,0.9,0.4,0.4,0.4,2.9,2.2,7.9,-1.5
Miami Heat,43.0,24.0,19.0,4.4,2.8,6.9,40.6,0.7,2.0,33.3,2.3,3.0,75.8,0.8,2.8,3.7,1.4,1.0,0.6,0.3,0.4,2.3,2.2,8.5,-0.6
Chicago Bulls,37.0,23.0,14.0,4.5,2.4,6.8,35.2,0.5,1.9,28.6,1.9,2.5,78.3,1.1,2.9,4.1,1.3,1.6,0.7,0.5,0.5,2.7,2.0,7.2,-1.2
Denver Nuggets,43.0,22.0,21.0,3.5,2.4,5.6,42.3,0.5,1.5,30.3,2.9,3.8,77.8,1.0,2.5,3.4,1.3,0.8,0.5,0.4,0.4,2.3,2.4,8.1,0.4
San Antonio Spurs,30.0,22.0,8.0,3.8,2.7,6.4,42.0,0.7,2.1,33.9,1.8,2.5,72.0,0.9,2.5,3.4,1.2,0.9,0.5,0.2,0.5,2.3,1.8,7.9,-1.7
Atlanta Hawks,49.0,21.0,28.0,4.0,2.7,6.6,41.7,0.5,1.8,28.4,2.8,3.6,76.7,0.9,2.7,3.6,1.2,1.2,0.7,0.4,0.3,2.5,2.6,8.7,-0.2
Washington Wizards,46.0,21.0,25.0,5.3,3.3,8.5,38.9,0.8,2.5,31.3,3.5,4.4,78.3,1.5,4.0,5.5,1.8,1.6,0.8,0.5,0.6,2.5,2.9,10.9,0.9
Brooklyn Nets,38.0,20.0,18.0,4.5,2.9,7.2,40.4,0.8,2.4,32.3,2.9,3.8,75.3,1.0,3.4,4.4,1.4,1.3,0.5,0.3,0.4,2.7,2.8,9.5,0.0
Cleveland Cavaliers,42.0,19.0,23.0,4.2,2.8,7.1,39.4,0.7,2.0,36.5,2.7,3.3,81.2,1.0,2.9,3.9,1.8,1.1,0.5,0.6,0.4,2.2,2.3,9.0,0.1
Utah Jazz,40.0,19.0,21.0,3.7,2.7,6.0,44.4,0.9,2.1,41.7,3.2,3.7,85.8,0.9,2.1,3.0,1.5,0.8,0.7,0.3,0.3,2.0,2.6,9.4,1.0
New York Knicks,39.0,17.0,22.0,4.4,2.8,6.7,41.8,0.7,2.0,35.1,2.6,3.4,77.4,1.1,2.8,3.8,1.2,1.4,0.5,0.3,0.6,2.2,2.5,9.0,0.6
Los Angeles Lakers,38.0,16.0,22.0,3.1,2.1,5.3,39.9,0.4,1.4,30.9,2.3,3.0,76.1,0.8,2.1,2.9,1.0,0.7,0.5,0.4,0.3,1.8,1.8,7.0,0.3
Minnesota Timberwolves,41.0,16.0,25.0,3.9,3.4,7.0,49.3,0.9,2.3,38.3,2.9,3.5,83.8,1.2,2.9,4.1,1.6,1.3,0.6,0.5,0.1,2.5,2.5,10.7,2.2
Boston Celtics,49.0,15.0,34.0,3.6,2.5,5.6,44.9,0.5,1.6,34.2,3.1,3.8,81.7,0.7,2.9,3.5,1.4,0.9,0.6,0.3,0.6,1.7,2.6,8.7,2.0
Detroit Pistons,39.0,15.0,24.0,3.5,2.3,5.5,41.3,0.5,1.8,30.0,2.1,2.7,77.4,1.1,2.3,3.5,1.3,0.9,0.4,0.6,0.5,2.0,1.9,7.2,0.8
Sacramento Kings,42.0,15.0,27.0,3.9,3.0,6.6,44.8,0.8,2.2,34.4,2.7,3.7,73.5,1.0,2.3,3.3,1.8,1.0,0.6,0.5,0.3,2.3,2.5,9.4,1.3
Orlando Magic,42.0,14.0,28.0,4.4,3.2,7.5,43.5,0.7,2.1,33.3,2.9,3.5,81.6,1.1,2.9,4.0,1.7,1.1,0.5,0.6,0.3,2.2,2.9,10.0,2.0
Philadelphia 76ers,34.0,14.0,20.0,4.0,2.9,7.6,38.1,0.8,2.6,31.8,2.5,3.3,75.7,1.3,2.4,3.7,1.6,1.3,0.7,0.6,0.4,2.3,2.2,9.1,0.2
Milwaukee Bucks,40.0,10.0,30.0,4.3,3.2,7.7,41.7,1.0,2.8,35.1,2.6,3.3,79.5,1.2,3.0,4.2,1.8,1.1,0.6,0.8,0.5,2.3,2.6,10.1,2.4
