TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
San Antonio Spurs,39.0,29.0,10.0,74.4,3.9,8.7,2.5,5.8,43.2,0.3,1.1,31.7,3.4,4.6,72.4,0.9,3.1,4.0,1.2,1.1,0.6,0.5,0.4,2.1,2.8,1.3
Dallas Mavericks,44.0,32.0,12.0,72.7,4.2,9.3,2.7,6.6,41.1,0.4,1.5,29.2,3.4,4.5,74.9,1.2,2.6,3.8,1.2,0.7,0.5,0.7,0.5,2.2,3.3,1.4
Detroit Pistons,39.0,28.0,11.0,71.8,4.2,9.4,3.1,7.1,42.8,0.7,2.1,36.3,2.5,3.6,70.7,1.5,2.3,3.8,1.6,0.7,0.7,0.5,0.4,1.9,2.5,1.5
New Jersey Nets,45.0,28.0,17.0,62.2,3.2,7.6,2.0,5.4,37.9,0.4,1.4,30.6,3.1,3.8,80.3,1.3,2.0,3.3,1.2,0.5,0.5,0.3,0.3,2.1,2.6,0.7
Utah Jazz,41.0,25.0,16.0,61.0,4.0,8.9,2.5,6.0,41.2,0.6,1.4,42.1,3.3,4.4,76.5,1.2,2.9,4.0,1.7,1.2,0.3,0.7,0.2,2.8,2.7,0.2
Cleveland Cavaliers,52.0,30.0,22.0,57.7,3.7,8.9,2.6,5.4,48.1,0.5,1.4,34.7,3.2,4.4,72.1,0.8,2.5,3.3,1.3,0.8,0.3,0.4,0.4,2.5,2.7,0.6
Los Angeles Clippers,40.0,23.0,17.0,57.5,3.7,8.5,2.8,5.7,48.7,0.6,1.1,48.9,2.4,3.0,82.2,0.7,2.8,3.5,1.7,0.7,0.4,0.6,0.4,2.2,1.9,1.4
New Orleans/Oklahoma City Hornets,47.0,26.0,21.0,55.3,3.4,7.3,2.1,5.2,40.6,0.3,0.9,27.3,2.8,3.4,82.9,1.0,2.0,3.0,1.0,0.6,0.4,0.3,0.4,1.4,2.4,0.4
Chicago Bulls,53.0,29.0,24.0,54.7,4.1,9.8,3.1,7.0,43.7,0.7,1.7,38.5,3.0,3.8,78.9,0.9,3.0,3.9,1.6,0.8,0.5,0.4,0.4,2.6,2.9,1.4
Memphis Grizzlies,44.0,24.0,20.0,54.5,4.2,9.1,2.7,6.6,40.2,0.8,2.0,39.8,3.0,3.8,79.4,0.9,2.7,3.6,1.5,1.0,0.5,0.5,0.6,2.4,2.6,1.3
Denver Nuggets,41.0,22.0,19.0,53.7,4.7,9.7,2.9,6.8,41.9,0.4,1.3,32.1,3.5,4.5,78.0,1.1,2.8,3.9,1.6,1.3,0.6,0.6,0.5,2.3,3.0,-0.2
Sacramento Kings,40.0,21.0,19.0,52.5,4.0,8.1,2.2,6.3,35.2,0.6,1.8,33.8,3.0,3.8,79.6,1.2,2.7,3.8,1.3,1.1,0.5,0.2,0.6,2.3,2.7,0.2
Miami Heat,42.0,22.0,20.0,52.4,3.5,8.0,2.5,5.6,45.3,0.5,1.7,29.6,2.5,3.4,73.0,1.0,2.1,3.1,1.3,0.7,0.4,0.2,0.2,1.9,2.3,0.0
Seattle SuperSonics,44.0,23.0,21.0,52.3,4.0,9.2,3.1,6.6,46.9,0.8,2.5,31.5,2.2,2.6,84.5,1.1,2.0,3.1,1.6,1.4,0.6,0.4,0.2,2.6,2.1,0.0
Philadelphia 76ers,46.0,24.0,22.0,52.2,4.2,8.3,2.5,6.8,36.3,0.4,1.6,25.0,3.0,4.1,72.7,0.8,3.0,3.8,1.2,1.1,0.8,0.6,0.5,2.4,2.7,-0.4
Milwaukee Bucks,54.0,28.0,26.0,51.9,3.7,7.9,2.6,5.9,43.3,0.4,1.1,35.5,2.4,3.3,72.9,0.9,2.7,3.6,1.4,0.8,0.4,0.3,0.4,2.3,2.4,0.6
Phoenix Suns,43.0,22.0,21.0,51.2,4.2,9.3,3.2,7.1,44.4,0.7,2.1,33.0,2.2,2.7,82.1,0.8,2.6,3.4,1.7,0.9,0.5,0.3,0.3,2.6,2.4,0.5
Washington Wizards,48.0,22.0,26.0,45.8,3.8,8.4,2.5,6.3,39.5,0.4,1.5,27.8,3.0,3.9,77.5,1.0,2.3,3.3,0.9,1.0,0.7,0.3,0.4,2.4,2.5,-0.3
Los Angeles Lakers,41.0,18.0,23.0,43.9,4.4,9.3,2.9,6.8,42.9,0.6,1.9,30.8,2.9,3.8,77.3,1.1,2.4,3.6,1.4,0.9,0.5,0.3,0.4,2.8,2.5,-0.3
Portland Trail Blazers,39.0,17.0,22.0,43.6,4.1,7.9,2.6,6.6,39.0,0.3,1.4,22.6,2.4,3.4,69.4,1.0,2.6,3.6,1.2,1.2,0.3,0.5,0.5,3.1,2.2,-1.3
Orlando Magic,43.0,18.0,25.0,41.9,4.4,8.9,3.0,7.2,42.2,0.4,1.4,30.5,2.4,3.3,73.6,1.2,2.7,3.9,1.4,1.1,0.3,0.3,0.6,3.3,2.3,-0.6
Golden State Warriors,51.0,21.0,30.0,41.2,3.7,7.7,2.5,6.4,38.8,0.7,2.5,28.1,2.1,3.1,68.2,1.2,2.0,3.2,1.2,0.8,0.6,0.3,0.4,3.1,2.4,-1.2
Indiana Pacers,47.0,19.0,28.0,40.4,3.3,6.5,2.0,5.2,37.7,0.3,1.3,25.8,2.2,3.1,72.4,1.0,2.0,3.0,0.9,1.0,0.6,0.4,0.3,2.0,2.0,-0.4
Atlanta Hawks,52.0,21.0,31.0,40.4,4.5,8.8,3.1,7.0,43.7,0.6,1.8,33.7,2.1,3.0,70.5,1.2,2.6,3.9,1.6,1.3,0.4,0.4,0.4,3.2,2.2,-1.3
Houston Rockets,45.0,18.0,27.0,40.0,4.1,7.8,2.4,5.7,42.4,0.5,1.4,36.1,2.5,3.1,81.2,0.7,2.5,3.2,1.3,1.2,0.6,0.3,0.3,2.7,2.1,-0.5
New York Knicks,41.0,16.0,25.0,39.0,4.4,9.8,3.1,7.3,43.3,0.3,1.1,25.5,3.2,4.5,70.3,1.2,2.8,4.0,1.2,1.3,0.5,0.2,0.5,3.2,2.9,-1.0
Minnesota Timberwolves,54.0,21.0,33.0,38.9,3.7,7.6,2.6,6.2,42.2,0.3,1.3,20.3,2.1,2.8,75.3,0.9,2.3,3.1,1.4,1.0,0.5,0.5,0.4,2.0,2.0,-1.0
Charlotte Bobcats,45.0,17.0,28.0,37.8,4.1,8.3,2.9,6.7,43.4,0.3,1.5,19.4,2.2,3.1,69.3,1.2,2.4,3.5,1.6,0.8,0.6,0.4,0.3,2.6,2.3,-0.1
