general_traditional_Team,general_traditional_GP,general_traditional_W,general_traditional_L,general_traditional_WIN%,general_traditional_Min,general_traditional_PTS,general_traditional_FGM,general_traditional_FGA,general_traditional_FG%,general_traditional_3PM,general_traditional_3PA,general_traditional_3P%,general_traditional_FTM,general_traditional_FTA,general_traditional_FT%,general_traditional_OREB,general_traditional_DREB,general_traditional_REB,general_traditional_AST,general_traditional_TOV,general_traditional_STL,general_traditional_BLK,general_traditional_BLKA,general_traditional_PF,general_traditional_PFD,general_traditional_+/-,general_advanced_TEAM,general_advanced_GP,general_advanced_W,general_advanced_L,general_advanced_MIN,general_advanced_OffRtg,general_advanced_DefRtg,general_advanced_NetRtg,general_advanced_AST%,general_advanced_AST/TO,general_advanced_AST,general_advanced_OREB%,general_advanced_DREB%,general_advanced_REB%,general_advanced_TOV%,general_advanced_eFG%,general_advanced_TS%,general_advanced_PACE,general_advanced_PIE,general_advanced_POSS,general_defense_TEAM,general_defense_GP,general_defense_W,general_defense_L,general_defense_MIN,general_defense_DEF RTG,general_defense_DREB,general_defense_DREB%,general_defense_STL,general_defense_BLK,general_defense_OPP PTS,general_defense_OPP PTS.1,general_defense_OPP PTS.2,general_defense_OPP PTS.3,general_opponent_TEAM,general_opponent_Games Played,general_opponent_Wins,general_opponent_Losses,general_opponent_Minutes Played,general_opponent_Opponent's Field Goals Made,general_opponent_Opponent's Field Goals Attempted,general_opponent_Opponent's Field Goal Percentage,general_opponent_Opponent's 3 Point Field Goals Made,general_opponent_Opponent's 3 Point Field Goals Attempted,general_opponent_Opponent's 3 Point Field Goal Percentage,general_opponent_Opponent's Free Throws Made,general_opponent_Opponent's Free Throws Attempted,general_opponent_Opponent's Free Throw Percentage,general_opponent_Opponent's Offensive Rebounds,general_opponent_Opponent's Defensive Rebounds,general_opponent_Opponent's Rebounds,general_opponent_Opponent's Assists,general_opponent_Opponent's Turnovers,general_opponent_Opponent's Steals,general_opponent_Opponent's Blocks,general_opponent_Opponent's Blocked Field Goal Attempts,general_opponent_Opponent's Personal Fouls,general_opponent_Opponent's Personal Fouls Drawn,general_opponent_Opponent's Points,general_opponent_Plus-Minus,clutch-traditional_TEAM,clutch-traditional_Games Played,clutch-traditional_Wins,clutch-traditional_Losses,clutch-traditional_Win Percentage,clutch-traditional_Minutes Played,clutch-traditional_Points,clutch-traditional_Field Goals Made,clutch-traditional_Field Goals Attempted,clutch-traditional_Field Goal Percentage,clutch-traditional_3 Point Field Goals Made,clutch-traditional_3 Point Field Goals Attempted,clutch-traditional_3 Point Field Goal Percentage,clutch-traditional_Free Throws Made,clutch-traditional_Free Throws Attempted,clutch-traditional_Free Throw Percentage,clutch-traditional_Offensive Rebounds,clutch-traditional_Defensive Rebounds,clutch-traditional_Rebounds,clutch-traditional_Assists,clutch-traditional_Turnovers,clutch-traditional_Steals,clutch-traditional_Blocks,clutch-traditional_Blocks Against,clutch-traditional_Personal Fouls,clutch-traditional_Personal Fouls Drawn,clutch-traditional_Plus-Minus,clutch-advanced_TEAM,clutch-advanced_Games Played,clutch-advanced_Wins,clutch-advanced_Losses,clutch-advanced_Minutes Played,clutch-advanced_Offensive Rating,clutch-advanced_Defensive Rating,clutch-advanced_Net Rating,clutch-advanced_Assist Percentage,clutch-advanced_Assist to Turnover Ratio,clutch-advanced_Assist Ratio,clutch-advanced_Offensive Rebounding Percentage,clutch-advanced_Defensive Rebounding Percentage,clutch-advanced_Rebounding Percentage,clutch-advanced_Turnover Ratio,clutch-advanced_Effective Field Goal Percentage,clutch-advanced_True Shooting Percentage,clutch-advanced_Pace,clutch-advanced_Player Impact Estimate,clutch-opponent_TEAM,clutch-opponent_Games Played,clutch-opponent_Wins,clutch-opponent_Losses,clutch-opponent_Minutes Played,clutch-opponent_Opponent's Field Goals Made,clutch-opponent_Opponent's Field Goals Attempted,clutch-opponent_Opponent's Field Goal Percentage,clutch-opponent_Opponent's 3 Point Field Goals Made,clutch-opponent_Opponent's 3 Point Field Goals Attempted,clutch-opponent_Opponent's 3 Point Field Goal Percentage,clutch-opponent_Opponent's Free Throws Made,clutch-opponent_Opponent's Free Throws Attempted,clutch-opponent_Opponent's Free Throw Percentage,clutch-opponent_Opponent's Offensive Rebounds,clutch-opponent_Opponent's Defensive Rebounds,clutch-opponent_Opponent's Rebounds,clutch-opponent_Opponent's Assists,clutch-opponent_Opponent's Turnovers,clutch-opponent_Opponent's Steals,clutch-opponent_Opponent's Blocks,clutch-opponent_Opponent's Blocked Field Goal Attempts,clutch-opponent_Opponent's Personal Fouls,clutch-opponent_Opponent's Personal Fouls Drawn,clutch-opponent_Opponent's Points,clutch-opponent_Plus-Minus
Sacramento Kings,82.0,61.0,21.0,0.744,48.2,104.6,39.8,85.4,46.7,5.2,14.1,36.7,19.7,26.3,75.1,12.4,33.0,45.3,23.9,13.8,9.0,4.6,4.7,19.0,0.1,7.6,Sacramento Kings,82.0,61.0,21.0,3951.0,107.9,99.7,8.1,60.0,1.74,17.7,30.6,69.0,50.2,14.2,49.7,53.9,96.74,55.2,7951.0,Sacramento Kings,82.0,61.0,21.0,48.2,99.7,33.0,69.0,9.0,4.6,14.4,14.5,12.8,41.5,Sacramento Kings,82.0,61.0,21.0,48.2,38.1,86.7,44.0,4.7,14.0,33.7,16.0,21.5,74.4,13.0,31.9,44.9,22.4,15.2,7.7,4.7,4.6,22.3,19.0,97.0,-7.6,Sacramento Kings,31.0,23.0,8.0,74.2,3.7,8.7,2.5,5.8,42.8,0.3,0.9,32.1,3.4,4.7,72.1,0.8,2.7,3.5,1.4,0.7,0.6,0.4,0.4,1.9,0.0,2.0,Sacramento Kings,31.0,23.0,8.0,115.0,106.3,91.6,14.7,54.5,1.91,12.8,28.2,68.5,48.8,8.7,45.3,55.0,99.8,70.6,Sacramento Kings,31.0,23.0,8.0,3.7,2.3,6.1,37.4,0.3,1.3,25.0,1.8,2.3,76.4,1.1,2.6,3.7,1.2,1.1,0.3,0.4,0.4,3.3,1.9,6.7,-2.0
Los Angeles Lakers,82.0,58.0,24.0,0.707,48.2,101.3,38.4,83.4,46.1,6.2,17.5,35.4,18.2,26.1,69.9,12.5,31.8,44.3,23.0,12.7,7.6,5.8,4.3,22.2,0.1,7.1,Los Angeles Lakers,82.0,58.0,24.0,3956.0,108.0,100.4,7.6,59.7,1.81,17.5,31.1,68.6,50.1,13.5,49.8,53.4,93.32,54.9,7691.0,Los Angeles Lakers,82.0,58.0,24.0,48.2,100.4,31.8,68.6,7.6,5.8,13.7,14.6,10.7,37.0,Los Angeles Lakers,82.0,58.0,24.0,48.2,35.0,82.6,42.4,4.9,15.4,31.7,19.2,25.3,76.1,12.4,30.8,43.2,20.0,14.0,7.2,4.3,5.8,23.0,22.2,94.1,-7.1,Los Angeles Lakers,39.0,23.0,16.0,59.0,3.9,8.6,2.4,5.7,42.0,0.7,1.8,41.4,3.0,4.4,69.0,1.0,2.5,3.5,1.4,0.9,0.7,0.4,0.6,2.5,0.1,0.8,Los Angeles Lakers,39.0,23.0,16.0,151.0,107.7,97.4,10.3,59.6,1.51,13.5,31.3,63.0,47.7,11.9,48.4,56.0,99.25,60.2,Los Angeles Lakers,39.0,23.0,16.0,3.9,2.3,6.3,36.6,0.4,1.7,25.8,2.8,3.6,77.1,1.4,2.4,3.8,1.2,1.2,0.4,0.6,0.4,2.9,2.5,7.8,-0.8
San Antonio Spurs,82.0,58.0,24.0,0.707,48.4,96.7,35.5,77.6,45.8,5.3,14.8,36.2,20.3,27.4,74.2,11.1,31.3,42.4,20.0,14.4,7.6,6.5,5.2,19.2,0.1,6.2,San Antonio Spurs,82.0,58.0,24.0,3971.0,105.4,98.5,6.9,56.4,1.39,16.0,30.1,68.5,50.1,15.7,49.2,53.9,91.06,55.4,7528.0,San Antonio Spurs,82.0,58.0,24.0,48.4,98.5,31.3,68.5,7.6,6.5,15.1,13.9,12.5,37.3,San Antonio Spurs,82.0,58.0,24.0,48.4,35.2,82.6,42.6,4.6,13.5,33.8,15.6,20.1,77.7,12.2,29.6,41.9,18.8,14.5,7.7,5.2,6.5,23.1,19.2,90.5,-6.2,San Antonio Spurs,44.0,25.0,19.0,56.8,4.1,7.8,2.1,5.9,35.9,0.4,1.5,28.1,3.2,4.3,74.2,0.8,2.7,3.5,1.1,1.0,0.4,0.6,0.5,2.3,0.0,-0.5,San Antonio Spurs,44.0,25.0,19.0,179.0,96.1,101.1,-5.0,52.7,1.07,10.8,24.7,71.2,47.8,12.8,39.4,50.4,96.87,46.9,San Antonio Spurs,44.0,25.0,19.0,4.1,2.7,6.6,40.8,0.3,1.4,24.6,2.7,3.3,80.7,0.9,2.9,3.8,1.2,0.8,0.5,0.5,0.6,3.1,2.3,8.4,0.5
Dallas Mavericks,82.0,57.0,25.0,0.695,48.5,105.2,39.0,84.5,46.2,7.6,20.1,37.8,19.6,24.3,80.6,11.2,31.3,42.5,22.1,12.1,7.1,4.8,4.6,22.5,0.1,4.3,Dallas Mavericks,82.0,57.0,25.0,3976.0,110.3,106.0,4.3,56.6,1.83,16.9,28.5,68.3,48.7,12.7,50.7,55.3,94.36,51.7,7823.0,Dallas Mavericks,82.0,57.0,25.0,48.5,106.0,31.3,68.3,7.1,4.8,14.2,15.1,13.6,43.5,Dallas Mavericks,82.0,57.0,25.0,48.5,37.7,83.5,45.2,5.5,15.8,35.0,20.0,26.6,75.1,13.0,31.7,44.7,22.7,14.1,7.2,4.6,4.8,21.8,22.5,101.0,-4.3,Dallas Mavericks,39.0,25.0,14.0,64.1,4.3,10.4,3.3,7.2,45.0,1.0,2.4,40.9,2.9,3.4,85.1,1.1,3.1,4.2,1.4,1.0,0.3,0.4,0.3,2.5,0.0,1.4,Dallas Mavericks,39.0,25.0,14.0,166.0,117.0,109.7,7.3,44.1,1.47,12.3,34.5,66.3,51.5,11.0,51.8,59.5,96.0,56.8,Dallas Mavericks,39.0,25.0,14.0,4.3,3.1,7.3,41.8,0.5,1.8,30.4,2.3,3.5,66.9,1.3,2.6,3.8,1.7,0.6,0.6,0.3,0.4,2.5,2.5,9.0,-1.4
New Jersey Nets,82.0,52.0,30.0,0.634,48.4,96.2,37.1,83.1,44.6,4.9,14.6,33.8,17.1,23.3,73.5,12.7,30.7,43.3,24.3,14.5,8.7,6.0,5.4,21.1,0.1,4.2,New Jersey Nets,82.0,52.0,30.0,3966.0,102.4,98.1,4.3,65.4,1.67,18.2,32.2,68.3,50.3,15.4,47.6,51.5,93.2,53.7,7707.0,New Jersey Nets,82.0,52.0,30.0,48.4,98.1,30.7,68.3,8.7,6.0,14.6,13.0,10.8,35.3,New Jersey Nets,82.0,52.0,30.0,48.4,34.9,81.3,42.9,5.0,14.3,34.8,17.4,23.0,75.3,12.2,30.7,42.9,19.1,16.1,8.2,5.4,6.0,20.3,21.1,92.0,-4.2,New Jersey Nets,41.0,23.0,18.0,56.1,4.3,8.7,2.9,7.5,38.2,0.5,1.8,26.0,2.5,3.4,73.2,1.6,2.9,4.5,1.5,1.1,0.6,0.8,0.6,2.8,0.0,0.1,New Jersey Nets,41.0,23.0,18.0,176.0,99.7,100.0,-0.3,52.5,1.32,12.6,37.1,61.5,49.2,13.2,41.3,48.1,96.74,49.4,New Jersey Nets,41.0,23.0,18.0,4.3,2.6,7.0,36.5,0.6,1.9,32.5,2.9,4.0,72.0,1.5,3.0,4.4,1.5,1.2,0.7,0.6,0.8,2.6,2.8,8.6,-0.1
Detroit Pistons,82.0,50.0,32.0,0.61,48.0,94.3,34.7,76.8,45.2,6.9,18.4,37.6,18.0,23.8,75.6,9.9,28.9,38.7,21.5,14.5,7.9,6.9,4.1,20.7,0.1,2.1,Detroit Pistons,82.0,50.0,32.0,3936.0,103.2,100.9,2.3,62.0,1.48,17.3,27.7,67.6,48.1,15.9,49.7,54.0,91.38,52.3,7495.0,Detroit Pistons,82.0,50.0,32.0,48.0,100.9,28.9,67.6,7.9,6.9,16.0,13.2,11.2,36.0,Detroit Pistons,82.0,50.0,32.0,48.0,35.7,79.8,44.7,4.4,12.1,36.2,16.5,21.8,75.5,12.1,30.6,42.7,20.0,15.5,7.9,4.1,6.9,22.9,20.7,92.2,-2.1,Detroit Pistons,50.0,30.0,20.0,60.0,3.6,7.6,2.1,5.5,37.8,0.5,1.8,29.3,2.9,3.7,77.4,0.9,2.1,3.0,1.2,1.1,0.6,0.5,0.3,2.1,0.0,0.8,Detroit Pistons,50.0,30.0,20.0,178.0,99.2,95.8,3.5,56.7,1.07,11.9,30.9,63.4,46.8,14.4,42.7,53.1,99.03,55.3,Detroit Pistons,50.0,30.0,20.0,3.6,2.0,5.3,37.2,0.3,0.9,27.7,2.6,3.2,80.0,0.9,2.4,3.3,0.8,1.1,0.7,0.3,0.5,2.3,2.1,6.8,-0.8
Minnesota Timberwolves,82.0,50.0,32.0,0.61,48.3,99.3,38.7,84.0,46.1,4.8,12.8,37.8,17.1,21.4,79.8,12.9,31.2,44.2,24.3,13.4,6.4,5.2,5.0,21.2,0.1,3.4,Minnesota Timberwolves,82.0,50.0,32.0,3961.0,107.5,104.1,3.4,62.8,1.82,18.4,34.3,70.3,52.4,14.5,49.0,53.2,91.72,52.9,7578.0,Minnesota Timberwolves,82.0,50.0,32.0,48.3,104.1,31.2,70.3,6.4,5.2,15.4,13.8,11.7,38.0,Minnesota Timberwolves,82.0,50.0,32.0,48.3,36.1,81.1,44.5,6.0,16.1,37.2,17.7,23.9,74.2,11.1,28.4,39.5,22.6,13.4,6.6,5.0,5.2,20.4,21.2,96.0,-3.4,Minnesota Timberwolves,41.0,22.0,19.0,53.7,3.7,7.5,2.3,6.0,38.1,0.3,1.4,23.7,2.6,3.2,81.1,1.0,2.4,3.4,1.4,1.0,0.4,0.5,0.4,2.2,0.0,-0.4,Minnesota Timberwolves,41.0,22.0,19.0,153.0,99.0,106.5,-7.5,60.6,1.43,13.5,35.5,67.3,51.1,12.8,40.9,50.6,97.08,47.4,Minnesota Timberwolves,41.0,22.0,19.0,3.7,2.6,6.0,42.7,0.4,1.4,30.4,2.4,3.1,77.3,0.9,2.3,3.1,1.5,0.9,0.4,0.4,0.5,2.1,2.2,8.0,0.4
Boston Celtics,82.0,49.0,33.0,0.598,48.4,96.4,34.8,82.1,42.4,8.5,23.7,35.9,18.3,23.9,76.4,10.9,31.3,42.2,21.0,13.6,9.7,3.6,5.8,21.7,0.0,2.2,Boston Celtics,82.0,49.0,33.0,3966.0,102.1,99.9,2.2,60.4,1.55,16.4,27.2,69.5,48.1,14.4,47.6,52.0,93.6,50.0,7738.0,Boston Celtics,82.0,49.0,33.0,48.4,99.9,31.3,69.5,9.7,3.6,14.9,13.6,12.6,30.9,Boston Celtics,82.0,49.0,33.0,48.4,34.1,80.2,42.5,6.3,18.4,34.0,19.7,25.5,77.1,11.6,34.2,45.9,22.0,16.3,7.6,5.8,3.6,21.1,21.7,94.1,-2.2,Boston Celtics,51.0,30.0,21.0,58.8,4.2,9.7,2.9,7.2,40.2,0.8,2.3,34.7,3.2,4.0,78.6,1.2,2.7,3.9,1.5,0.9,0.9,0.4,0.6,2.4,0.0,1.9,Boston Celtics,51.0,30.0,21.0,217.0,109.5,94.1,15.4,51.7,1.73,12.7,32.2,63.8,48.0,9.7,45.8,54.4,97.33,62.0,Boston Celtics,51.0,30.0,21.0,4.2,2.3,6.6,34.5,0.6,2.2,29.1,2.6,3.4,77.3,1.2,3.0,4.3,1.3,1.3,0.6,0.6,0.4,2.8,2.4,7.8,-1.9
Portland Trail Blazers,82.0,49.0,33.0,0.598,48.4,96.6,36.6,81.4,45.0,5.7,16.1,35.4,17.7,23.2,76.3,13.2,29.8,43.0,23.5,14.3,8.6,4.5,5.0,19.7,0.1,3.0,Portland Trail Blazers,82.0,49.0,33.0,3966.0,105.9,102.6,3.3,64.1,1.64,18.0,34.5,70.3,52.2,15.7,48.5,52.8,90.55,51.8,7482.0,Portland Trail Blazers,82.0,49.0,33.0,48.4,102.6,29.8,70.3,8.6,4.5,15.3,12.6,12.6,36.8,Portland Trail Blazers,82.0,49.0,33.0,48.4,36.0,79.4,45.3,5.7,15.7,36.3,16.0,21.6,74.1,10.9,28.4,39.2,23.7,14.7,7.5,5.0,4.5,20.1,19.7,93.7,-3.0,Portland Trail Blazers,45.0,27.0,18.0,60.0,3.7,8.9,2.6,6.2,42.4,0.9,2.2,39.0,2.8,3.8,73.4,1.3,2.0,3.2,1.4,0.8,0.5,0.5,0.4,2.2,0.0,1.1,Portland Trail Blazers,45.0,27.0,18.0,168.0,115.9,105.4,10.4,55.1,1.76,13.7,39.1,69.9,52.9,10.7,49.5,56.8,96.89,54.7,Portland Trail Blazers,45.0,27.0,18.0,3.7,2.5,5.6,45.2,0.6,1.5,37.7,2.2,2.8,78.6,0.7,2.3,3.0,1.4,1.1,0.4,0.4,0.5,2.7,2.2,7.8,-1.1
Seattle SuperSonics,82.0,45.0,37.0,0.549,48.4,97.7,38.2,81.5,46.9,6.0,15.8,37.8,15.4,20.4,75.5,11.8,28.5,40.3,23.5,13.7,8.5,4.4,4.9,21.1,0.1,3.0,Seattle SuperSonics,82.0,45.0,37.0,3966.0,107.3,104.1,3.3,61.5,1.71,18.3,32.0,65.6,49.0,15.1,50.5,54.0,90.35,52.2,7468.0,Seattle SuperSonics,82.0,45.0,37.0,48.4,104.1,28.5,65.6,8.5,4.4,15.3,14.7,13.1,38.5,Seattle SuperSonics,82.0,45.0,37.0,48.4,36.2,80.5,44.9,5.8,16.8,34.4,16.6,22.5,73.9,13.3,28.4,41.7,22.3,15.3,6.9,4.9,4.4,19.8,21.1,94.7,-3.0,Seattle SuperSonics,44.0,20.0,24.0,45.5,3.9,7.4,2.6,6.6,39.4,0.4,1.7,25.0,1.7,2.4,70.8,1.2,2.5,3.8,1.3,0.8,0.4,0.4,0.4,2.4,0.0,-0.4,Seattle SuperSonics,44.0,20.0,24.0,173.0,99.4,102.4,-3.0,50.4,1.61,13.0,35.3,65.2,49.9,11.0,42.6,47.8,91.02,46.9,Seattle SuperSonics,44.0,20.0,24.0,3.9,2.4,6.1,39.7,0.5,1.7,28.9,2.4,3.4,70.2,1.1,2.6,3.6,1.1,0.9,0.3,0.4,0.4,1.9,2.4,7.7,0.4
