TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Denver Nuggets,46.0,31.0,15.0,67.4,3.3,7.8,2.7,5.9,45.2,0.6,1.8,33.3,1.8,2.5,73.3,1.0,2.2,3.2,1.6,1.1,0.4,0.3,0.4,1.6,2.0,1.2
Philadelphia 76ers,45.0,30.0,15.0,66.7,3.7,9.2,2.7,6.0,44.8,0.8,2.4,34.9,3.0,4.0,75.0,0.9,2.7,3.6,1.5,1.2,0.5,0.6,0.3,1.9,2.6,0.9
LA Clippers,43.0,27.0,16.0,62.8,3.6,9.3,2.8,5.8,47.8,0.8,2.1,38.2,2.9,3.5,83.2,0.6,2.6,3.2,1.4,1.0,0.5,0.4,0.4,1.6,2.4,1.6
Milwaukee Bucks,36.0,22.0,14.0,61.1,3.8,9.5,3.3,6.9,46.8,0.9,2.7,35.1,2.0,2.9,69.5,1.1,2.6,3.7,1.8,1.2,0.7,0.5,0.4,2.0,2.0,0.4
Toronto Raptors,38.0,23.0,15.0,60.5,4.6,10.3,3.5,8.2,43.2,1.0,3.2,30.8,2.3,2.7,82.7,1.1,2.7,3.9,1.8,1.0,0.6,0.6,0.3,2.6,2.3,1.1
San Antonio Spurs,40.0,24.0,16.0,60.0,4.0,9.6,3.3,7.0,47.1,0.8,2.0,41.0,2.2,2.6,84.5,0.6,2.7,3.3,1.6,0.8,0.5,0.4,0.5,1.6,1.9,0.8
Portland Trail Blazers,42.0,25.0,17.0,59.5,3.4,8.7,2.8,6.7,42.3,0.8,2.4,31.7,2.3,3.0,77.4,1.1,2.5,3.6,1.4,0.7,0.4,0.4,0.4,2.1,2.1,0.8
Houston Rockets,41.0,24.0,17.0,58.5,3.6,8.3,2.2,5.8,38.7,0.9,3.3,27.4,2.9,3.7,80.0,1.0,2.2,3.2,0.9,0.8,0.4,0.5,0.3,2.1,2.4,0.2
Golden State Warriors,35.0,20.0,15.0,57.1,3.9,9.2,2.9,6.7,43.3,1.1,2.9,40.0,2.3,2.7,84.4,0.8,3.0,3.8,1.6,1.0,0.4,0.5,0.4,2.3,2.2,0.4
Indiana Pacers,41.0,23.0,18.0,56.1,3.0,7.1,2.5,5.0,49.5,0.7,1.7,40.0,1.4,1.8,80.6,0.6,2.1,2.7,1.3,0.9,0.4,0.4,0.3,1.4,1.5,0.8
