TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Cleveland Cavaliers,82.0,61.0,21.0,48.2,35.8,80.9,44.2,6.4,18.4,34.7,17.6,23.3,75.7,9.7,28.9,38.5,20.3,12.7,6.6,4.0,5.2,20.8,19.4,95.6,-6.5
Orlando Magic,82.0,59.0,23.0,48.1,36.0,82.2,43.8,6.4,17.5,36.3,16.8,22.3,75.4,9.8,30.3,40.0,18.9,12.8,6.7,3.5,5.6,22.2,19.9,95.3,-7.5
Los Angeles Lakers,82.0,57.0,25.0,48.4,37.2,83.4,44.6,6.3,19.3,32.8,16.2,21.7,75.0,11.1,31.0,42.2,21.9,14.1,7.0,4.4,4.9,21.2,19.4,97.0,-4.7
Dallas Mavericks,82.0,55.0,27.0,48.5,37.9,83.0,45.7,6.4,18.5,34.7,17.1,22.5,75.8,11.2,31.6,42.9,20.2,14.6,6.9,4.1,5.5,20.1,19.1,99.3,-2.7
Phoenix Suns,82.0,54.0,28.0,48.1,39.5,87.4,45.2,6.8,19.3,35.5,19.6,25.8,76.0,13.2,29.2,42.3,20.8,13.0,7.9,4.5,5.1,21.8,20.9,105.3,-4.9
Atlanta Hawks,82.0,53.0,29.0,48.4,37.2,80.8,46.0,5.9,17.0,34.5,16.8,22.6,74.5,11.2,30.1,41.4,21.0,13.8,6.2,4.4,5.0,19.3,19.9,97.0,-4.7
Denver Nuggets,82.0,53.0,29.0,48.2,37.7,82.5,45.6,6.4,18.3,34.9,20.7,26.9,76.8,11.6,30.6,42.3,21.0,15.1,7.0,5.3,5.1,23.7,22.5,102.4,-4.1
Utah Jazz,82.0,53.0,29.0,48.2,35.5,78.9,44.9,6.7,19.0,35.4,21.2,27.9,76.2,10.2,29.0,39.2,19.9,15.1,7.7,5.4,4.9,22.2,22.7,98.9,-5.3
Boston Celtics,82.0,50.0,32.0,48.2,35.1,77.9,45.1,5.7,16.8,34.2,19.6,26.2,74.6,10.6,29.5,40.1,19.3,15.6,7.0,4.7,4.9,21.7,22.1,95.6,-3.7
Oklahoma City Thunder,82.0,50.0,32.0,48.3,36.7,81.9,44.8,5.9,17.2,34.0,18.8,24.6,76.4,11.4,29.2,40.7,19.7,15.1,7.5,4.7,5.9,21.4,21.3,98.0,-3.5
Portland Trail Blazers,82.0,50.0,32.0,48.4,36.0,77.5,46.4,5.9,17.1,34.3,17.0,22.8,74.5,9.8,28.3,38.1,19.3,13.5,5.9,4.1,4.3,21.5,20.9,94.8,-3.3
