general_traditional_Team,general_traditional_GP,general_traditional_W,general_traditional_L,general_traditional_WIN%,general_traditional_Min,general_traditional_PTS,general_traditional_FGM,general_traditional_FGA,general_traditional_FG%,general_traditional_3PM,general_traditional_3PA,general_traditional_3P%,general_traditional_FTM,general_traditional_FTA,general_traditional_FT%,general_traditional_OREB,general_traditional_DREB,general_traditional_REB,general_traditional_AST,general_traditional_TOV,general_traditional_STL,general_traditional_BLK,general_traditional_BLKA,general_traditional_PF,general_traditional_PFD,general_traditional_+/-,general_advanced_TEAM,general_advanced_GP,general_advanced_W,general_advanced_L,general_advanced_MIN,general_advanced_OffRtg,general_advanced_DefRtg,general_advanced_NetRtg,general_advanced_AST%,general_advanced_AST/TO,general_advanced_AST,general_advanced_OREB%,general_advanced_DREB%,general_advanced_REB%,general_advanced_TOV%,general_advanced_eFG%,general_advanced_TS%,general_advanced_PACE,general_advanced_PIE,general_advanced_POSS,general_defense_TEAM,general_defense_GP,general_defense_W,general_defense_L,general_defense_MIN,general_defense_DEF RTG,general_defense_DREB,general_defense_DREB%,general_defense_STL,general_defense_BLK,general_defense_OPP PTS,general_defense_OPP PTS.1,general_defense_OPP PTS.2,general_defense_OPP PTS.3,general_opponent_TEAM,general_opponent_Games Played,general_opponent_Wins,general_opponent_Losses,general_opponent_Minutes Played,general_opponent_Opponent's Field Goals Made,general_opponent_Opponent's Field Goals Attempted,general_opponent_Opponent's Field Goal Percentage,general_opponent_Opponent's 3 Point Field Goals Made,general_opponent_Opponent's 3 Point Field Goals Attempted,general_opponent_Opponent's 3 Point Field Goal Percentage,general_opponent_Opponent's Free Throws Made,general_opponent_Opponent's Free Throws Attempted,general_opponent_Opponent's Free Throw Percentage,general_opponent_Opponent's Offensive Rebounds,general_opponent_Opponent's Defensive Rebounds,general_opponent_Opponent's Rebounds,general_opponent_Opponent's Assists,general_opponent_Opponent's Turnovers,general_opponent_Opponent's Steals,general_opponent_Opponent's Blocks,general_opponent_Opponent's Blocked Field Goal Attempts,general_opponent_Opponent's Personal Fouls,general_opponent_Opponent's Personal Fouls Drawn,general_opponent_Opponent's Points,general_opponent_Plus-Minus,clutch-traditional_TEAM,clutch-traditional_Games Played,clutch-traditional_Wins,clutch-traditional_Losses,clutch-traditional_Win Percentage,clutch-traditional_Minutes Played,clutch-traditional_Points,clutch-traditional_Field Goals Made,clutch-traditional_Field Goals Attempted,clutch-traditional_Field Goal Percentage,clutch-traditional_3 Point Field Goals Made,clutch-traditional_3 Point Field Goals Attempted,clutch-traditional_3 Point Field Goal Percentage,clutch-traditional_Free Throws Made,clutch-traditional_Free Throws Attempted,clutch-traditional_Free Throw Percentage,clutch-traditional_Offensive Rebounds,clutch-traditional_Defensive Rebounds,clutch-traditional_Rebounds,clutch-traditional_Assists,clutch-traditional_Turnovers,clutch-traditional_Steals,clutch-traditional_Blocks,clutch-traditional_Blocks Against,clutch-traditional_Personal Fouls,clutch-traditional_Personal Fouls Drawn,clutch-traditional_Plus-Minus,clutch-advanced_TEAM,clutch-advanced_Games Played,clutch-advanced_Wins,clutch-advanced_Losses,clutch-advanced_Minutes Played,clutch-advanced_Offensive Rating,clutch-advanced_Defensive Rating,clutch-advanced_Net Rating,clutch-advanced_Assist Percentage,clutch-advanced_Assist to Turnover Ratio,clutch-advanced_Assist Ratio,clutch-advanced_Offensive Rebounding Percentage,clutch-advanced_Defensive Rebounding Percentage,clutch-advanced_Rebounding Percentage,clutch-advanced_Turnover Ratio,clutch-advanced_Effective Field Goal Percentage,clutch-advanced_True Shooting Percentage,clutch-advanced_Pace,clutch-advanced_Player Impact Estimate,clutch-opponent_TEAM,clutch-opponent_Games Played,clutch-opponent_Wins,clutch-opponent_Losses,clutch-opponent_Minutes Played,clutch-opponent_Opponent's Field Goals Made,clutch-opponent_Opponent's Field Goals Attempted,clutch-opponent_Opponent's Field Goal Percentage,clutch-opponent_Opponent's 3 Point Field Goals Made,clutch-opponent_Opponent's 3 Point Field Goals Attempted,clutch-opponent_Opponent's 3 Point Field Goal Percentage,clutch-opponent_Opponent's Free Throws Made,clutch-opponent_Opponent's Free Throws Attempted,clutch-opponent_Opponent's Free Throw Percentage,clutch-opponent_Opponent's Offensive Rebounds,clutch-opponent_Opponent's Defensive Rebounds,clutch-opponent_Opponent's Rebounds,clutch-opponent_Opponent's Assists,clutch-opponent_Opponent's Turnovers,clutch-opponent_Opponent's Steals,clutch-opponent_Opponent's Blocks,clutch-opponent_Opponent's Blocked Field Goal Attempts,clutch-opponent_Opponent's Personal Fouls,clutch-opponent_Opponent's Personal Fouls Drawn,clutch-opponent_Opponent's Points,clutch-opponent_Plus-Minus
Phoenix Suns,82.0,62.0,20.0,0.756,48.2,110.4,40.9,85.6,47.7,9.7,24.7,39.3,19.0,25.4,74.8,11.8,32.3,44.1,23.5,13.7,7.0,5.5,4.2,19.1,0.0,7.1,Phoenix Suns,82.0,62.0,20.0,3956.0,112.7,105.7,7.0,57.5,1.71,17.4,30.4,65.6,49.0,14.0,53.4,57.1,97.35,54.6,8034.0,Phoenix Suns,82.0,62.0,20.0,48.2,105.7,32.3,65.6,7.0,5.5,15.9,17.4,12.0,43.2,Phoenix Suns,82.0,62.0,20.0,48.2,40.6,91.3,44.5,6.0,18.0,33.5,16.1,21.6,74.4,15.0,31.1,46.1,21.2,13.8,7.6,4.2,5.5,21.3,19.1,103.3,-7.1,Phoenix Suns,39.0,27.0,12.0,69.2,3.3,8.0,2.5,5.3,46.2,0.6,1.5,37.3,2.5,3.3,75.4,0.8,2.4,3.2,1.5,0.9,0.3,0.4,0.2,1.4,0.0,0.8,Phoenix Suns,39.0,27.0,12.0,130.0,112.2,102.9,9.3,60.4,1.71,15.7,28.7,70.7,51.1,12.2,51.4,58.8,101.43,59.0,Phoenix Suns,39.0,27.0,12.0,3.3,2.4,6.0,40.2,0.6,1.7,36.8,1.7,2.2,79.8,0.8,2.2,2.9,1.2,0.6,0.5,0.2,0.4,2.2,1.4,7.2,-0.8
Miami Heat,82.0,59.0,23.0,0.72,48.7,101.5,37.8,77.7,48.6,5.8,15.4,37.7,20.2,30.1,67.2,10.8,32.2,43.0,21.8,13.7,6.4,5.8,3.2,22.1,0.0,6.5,Miami Heat,82.0,59.0,23.0,3996.0,108.9,102.2,6.7,57.8,1.59,17.1,29.7,69.8,50.8,14.7,52.4,55.9,91.73,55.6,7647.0,Miami Heat,82.0,59.0,23.0,48.7,102.2,32.2,69.8,6.4,5.8,14.9,12.9,11.6,34.1,Miami Heat,82.0,59.0,23.0,48.7,34.9,81.8,42.7,5.4,15.5,34.8,19.8,26.0,76.0,11.2,29.2,40.5,19.8,13.2,7.5,3.2,5.8,24.6,22.1,95.0,-6.5,Miami Heat,42.0,25.0,17.0,59.5,4.8,11.1,3.7,7.9,47.1,0.8,2.0,38.4,2.9,4.5,65.8,1.4,3.3,4.7,1.9,1.2,0.5,0.6,0.3,2.7,0.0,1.8,Miami Heat,42.0,25.0,17.0,201.0,111.7,99.2,12.5,50.0,1.53,13.9,34.9,71.0,53.2,12.2,52.1,56.6,97.27,59.7,Miami Heat,42.0,25.0,17.0,4.8,2.7,7.3,37.5,0.7,1.9,35.8,3.1,3.9,80.0,1.0,3.0,4.0,1.4,1.2,0.7,0.3,0.6,3.0,2.7,9.3,-1.8
San Antonio Spurs,82.0,59.0,23.0,0.72,48.3,96.2,35.6,78.7,45.3,6.2,17.0,36.3,18.7,25.9,72.4,12.0,30.4,42.4,21.6,13.7,7.5,6.6,5.1,20.9,0.0,7.8,San Antonio Spurs,82.0,59.0,23.0,3961.0,106.1,97.8,8.3,60.6,1.57,17.1,32.1,69.7,51.0,15.1,49.2,53.4,89.96,56.5,7435.0,San Antonio Spurs,82.0,59.0,23.0,48.3,97.8,30.4,69.7,7.5,6.6,14.6,12.3,10.9,37.2,San Antonio Spurs,82.0,59.0,23.0,48.3,33.1,77.5,42.6,3.9,10.7,36.7,18.3,23.8,76.8,10.9,29.3,40.2,16.9,15.1,7.2,5.1,6.6,23.1,20.9,88.4,-7.8,San Antonio Spurs,32.0,16.0,16.0,50.0,4.6,10.3,3.0,7.1,42.1,0.7,1.7,40.0,3.6,4.7,77.2,1.4,2.7,4.1,1.4,1.2,0.5,0.5,0.4,2.9,0.0,-0.3,San Antonio Spurs,32.0,16.0,16.0,146.0,110.8,115.0,-4.2,47.9,1.24,11.7,38.9,61.8,50.2,12.5,46.9,56.0,97.24,49.2,San Antonio Spurs,32.0,16.0,16.0,4.6,3.3,7.5,44.8,0.7,1.6,44.0,3.2,4.0,79.7,1.1,2.7,3.8,1.7,1.3,0.8,0.4,0.5,3.3,2.9,10.6,0.3
Dallas Mavericks,82.0,58.0,24.0,0.707,48.1,102.5,37.3,81.6,45.7,5.6,15.5,36.4,22.3,28.2,78.9,12.1,30.9,42.9,19.6,13.4,8.6,5.6,4.9,22.3,0.0,5.7,Dallas Mavericks,82.0,58.0,24.0,3946.0,108.5,102.6,5.9,52.6,1.46,15.3,31.9,67.4,50.0,14.2,49.2,54.5,94.18,53.7,7749.0,Dallas Mavericks,82.0,58.0,24.0,48.1,102.6,30.9,67.4,8.6,5.6,15.0,14.6,13.7,39.8,Dallas Mavericks,82.0,58.0,24.0,48.1,35.9,81.9,43.8,5.5,16.7,33.0,19.5,25.9,75.4,13.1,30.1,43.2,20.9,15.6,7.1,4.9,5.6,23.2,22.3,96.8,-5.7,Dallas Mavericks,43.0,30.0,13.0,69.8,3.1,7.8,2.2,5.1,43.1,0.3,1.2,25.0,3.2,3.9,81.4,0.8,2.3,3.1,0.9,0.5,0.4,0.5,0.2,1.8,0.0,1.3,Dallas Mavericks,43.0,30.0,13.0,132.0,113.9,98.6,15.3,39.4,1.68,10.0,29.7,69.2,50.8,7.4,46.1,57.8,104.98,65.5,Dallas Mavericks,43.0,30.0,13.0,3.1,2.0,5.3,37.0,0.4,1.5,29.7,2.1,2.8,75.0,0.9,2.1,3.0,1.0,0.7,0.2,0.2,0.5,2.3,1.8,6.5,-1.3
Detroit Pistons,82.0,54.0,28.0,0.659,48.7,93.3,34.8,78.3,44.4,4.4,12.8,34.5,19.4,26.2,73.9,12.9,30.6,43.4,21.8,13.8,7.0,6.1,4.5,20.0,0.0,3.9,Detroit Pistons,82.0,54.0,28.0,3991.0,103.9,99.6,4.3,62.7,1.58,17.2,34.0,69.3,51.8,15.4,47.2,51.9,88.59,54.2,7364.0,Detroit Pistons,82.0,54.0,28.0,48.7,99.6,30.6,69.3,7.0,6.1,14.5,12.1,12.3,35.0,Detroit Pistons,82.0,54.0,28.0,48.7,34.0,79.2,43.0,5.0,14.8,33.8,16.4,21.8,75.1,11.3,28.3,39.6,19.7,13.8,7.4,4.5,6.1,22.6,20.0,89.5,-3.9,Detroit Pistons,40.0,25.0,15.0,62.5,4.7,9.4,2.9,7.7,37.9,0.6,2.0,29.1,3.1,4.0,77.2,1.3,3.1,4.4,1.5,1.1,0.8,0.7,0.5,2.7,0.0,1.0,Detroit Pistons,40.0,25.0,15.0,188.0,103.3,93.1,10.2,52.6,1.39,12.3,35.5,68.2,51.1,12.1,41.7,50.2,93.06,57.2,Detroit Pistons,40.0,25.0,15.0,4.7,2.6,7.0,36.7,0.5,1.7,29.4,2.8,3.7,77.4,0.9,3.0,3.9,1.5,1.2,0.5,0.5,0.7,2.9,2.7,8.5,-1.0
Seattle SuperSonics,82.0,52.0,30.0,0.634,48.2,98.9,35.1,79.2,44.4,8.1,22.2,36.5,20.5,26.0,79.0,12.7,28.2,40.9,18.1,13.6,6.7,4.1,4.8,23.7,0.1,2.3,Seattle SuperSonics,82.0,52.0,30.0,3951.0,110.3,108.0,2.3,51.6,1.34,14.7,35.7,68.1,51.7,15.1,49.5,54.6,89.24,50.4,7353.0,Seattle SuperSonics,82.0,52.0,30.0,48.2,108.0,28.2,68.1,6.7,4.1,15.4,13.6,12.1,39.8,Seattle SuperSonics,82.0,52.0,30.0,48.2,35.8,77.8,45.9,5.7,16.1,35.7,19.4,25.9,74.9,11.3,26.5,37.9,20.7,13.2,6.2,4.8,4.1,23.8,23.7,96.6,-2.3,Seattle SuperSonics,43.0,28.0,15.0,65.1,3.7,9.4,2.8,6.1,45.1,0.9,1.9,45.7,3.0,3.7,80.6,1.0,2.2,3.2,1.4,0.6,0.4,0.3,0.4,2.2,0.0,1.8,Seattle SuperSonics,43.0,28.0,15.0,160.0,123.2,107.5,15.6,51.3,2.54,13.7,37.2,69.6,53.5,7.3,52.1,60.4,94.88,61.9,Seattle SuperSonics,43.0,28.0,15.0,3.7,2.3,5.7,40.7,0.3,1.7,20.8,2.7,3.4,79.3,1.0,2.1,3.0,1.0,0.7,0.3,0.4,0.3,2.5,2.2,7.6,-1.8
Houston Rockets,82.0,51.0,31.0,0.622,48.4,95.1,34.7,78.3,44.3,6.7,18.5,36.4,18.9,24.2,78.1,10.7,31.7,42.4,21.1,13.8,6.9,4.6,4.1,22.0,0.0,4.0,Houston Rockets,82.0,51.0,31.0,3971.0,104.4,100.1,4.3,60.9,1.53,16.9,30.1,71.3,51.2,15.2,48.6,53.4,90.18,52.7,7467.0,Houston Rockets,82.0,51.0,31.0,48.4,100.1,31.7,71.3,6.9,4.6,15.1,11.5,10.1,30.9,Houston Rockets,82.0,51.0,31.0,48.4,33.2,78.3,42.3,5.5,16.4,33.8,19.2,25.8,74.2,10.9,29.8,40.7,20.7,13.3,7.4,4.1,4.6,21.6,22.0,91.0,-4.0,Houston Rockets,43.0,24.0,19.0,55.8,4.0,8.1,2.6,6.4,40.9,0.6,1.9,30.9,2.3,3.2,70.5,0.9,2.5,3.4,1.5,1.2,0.4,0.3,0.4,2.6,0.0,-0.5,Houston Rockets,43.0,24.0,19.0,173.0,98.9,106.0,-7.2,58.4,1.27,14.0,28.6,64.7,46.8,14.7,45.5,51.8,97.56,43.4,Houston Rockets,43.0,24.0,19.0,4.0,2.5,6.3,39.9,0.4,1.7,24.7,3.1,4.0,77.0,1.2,2.7,3.9,1.4,0.8,0.6,0.4,0.3,2.5,2.6,8.6,0.5
Sacramento Kings,82.0,50.0,32.0,0.61,48.4,103.7,39.1,85.1,45.9,6.4,17.0,37.4,19.2,24.4,78.7,12.5,29.9,42.4,24.5,13.1,8.2,3.9,4.5,20.5,0.0,2.2,Sacramento Kings,82.0,50.0,32.0,3971.0,108.8,106.5,2.3,62.6,1.87,18.2,31.5,66.7,49.1,13.7,49.6,54.1,94.52,52.2,7819.0,Sacramento Kings,82.0,50.0,32.0,48.4,106.5,29.9,66.7,8.2,3.9,15.2,15.0,12.9,42.9,Sacramento Kings,82.0,50.0,32.0,48.4,38.9,84.6,45.9,5.7,16.1,35.7,18.1,24.5,73.8,13.4,30.9,44.3,21.5,14.7,7.6,4.5,3.9,21.5,20.5,101.6,-2.2,Sacramento Kings,50.0,30.0,20.0,60.0,4.2,9.3,2.9,6.9,41.7,0.7,1.8,38.2,2.9,3.7,78.6,1.1,2.6,3.7,1.9,0.9,0.8,0.3,0.3,2.6,0.0,-0.1,Sacramento Kings,50.0,30.0,20.0,211.0,109.1,106.3,2.8,65.7,2.09,16.0,32.9,66.8,50.2,10.5,46.6,54.9,99.51,51.6,Sacramento Kings,50.0,30.0,20.0,4.2,2.9,7.0,41.7,0.7,2.2,33.0,2.9,3.8,76.6,1.2,2.6,3.8,1.8,1.2,0.6,0.3,0.3,2.6,2.6,9.5,0.1
Denver Nuggets,82.0,49.0,33.0,0.598,48.2,99.5,37.0,80.7,45.9,3.9,11.5,34.0,21.5,28.2,76.3,11.8,30.2,42.0,23.9,14.9,9.1,6.0,5.6,22.9,0.1,2.0,Denver Nuggets,82.0,49.0,33.0,3951.0,104.7,102.6,2.2,64.5,1.6,18.0,31.3,67.8,49.7,15.7,48.3,53.5,94.68,53.1,7792.0,Denver Nuggets,82.0,49.0,33.0,48.2,102.6,30.2,67.8,9.1,6.0,16.0,14.0,13.0,39.2,Denver Nuggets,82.0,49.0,33.0,48.2,36.0,80.6,44.7,5.6,16.4,34.5,19.9,26.7,74.6,11.9,29.8,41.7,21.7,16.4,7.8,5.6,6.0,23.9,22.9,97.5,-2.0,Denver Nuggets,39.0,22.0,17.0,56.4,3.8,8.6,2.7,6.2,44.4,0.4,1.4,25.9,2.7,3.6,75.2,1.0,2.5,3.5,1.7,0.8,0.4,0.7,0.4,2.4,0.0,0.8,Denver Nuggets,39.0,22.0,17.0,147.0,110.2,99.0,11.2,60.7,2.03,15.7,32.9,64.5,49.7,10.6,47.3,55.1,98.97,61.1,Denver Nuggets,39.0,22.0,17.0,3.8,2.3,6.1,37.2,0.5,1.8,28.6,2.6,3.5,74.6,1.1,2.3,3.4,1.3,1.1,0.4,0.4,0.7,2.5,2.4,7.7,-0.8
Chicago Bulls,82.0,47.0,35.0,0.573,48.4,94.5,34.7,80.4,43.2,6.2,17.5,35.7,18.7,25.0,75.0,12.2,31.6,43.8,21.3,16.7,7.0,4.5,5.3,24.7,0.1,1.1,Chicago Bulls,82.0,47.0,35.0,3966.0,100.5,99.1,1.4,61.2,1.27,16.4,31.7,69.1,50.6,17.8,47.1,51.7,93.41,49.8,7707.0,Chicago Bulls,82.0,47.0,35.0,48.4,99.1,31.6,69.1,7.0,4.5,17.2,12.6,10.3,33.3,Chicago Bulls,82.0,47.0,35.0,48.4,33.7,79.9,42.2,5.1,15.2,33.4,20.9,28.1,74.4,11.9,30.8,42.7,20.9,15.5,8.4,5.3,4.5,23.3,24.7,93.4,-1.1,Chicago Bulls,47.0,29.0,18.0,61.7,4.2,8.8,2.6,6.4,40.1,0.6,1.7,35.4,3.0,4.2,72.6,1.1,3.3,4.3,1.4,1.5,0.5,0.4,0.5,2.3,0.0,1.0,Chicago Bulls,47.0,29.0,18.0,197.0,98.8,91.3,7.5,56.7,0.96,12.5,32.8,71.1,53.4,17.0,45.0,53.4,99.98,59.6,Chicago Bulls,47.0,29.0,18.0,4.2,2.6,7.2,36.5,0.4,1.6,26.7,2.1,3.2,67.8,1.0,2.6,3.7,1.5,1.0,0.7,0.5,0.4,2.8,2.3,7.8,-1.0
