TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
Phoenix Suns,82.0,62.0,20.0,3956.0,112.7,105.7,7.0,57.5,1.71,17.4,30.4,65.6,49.0,14.0,53.4,57.1,97.35,54.6,8034.0
Miami Heat,82.0,59.0,23.0,3996.0,108.9,102.2,6.7,57.8,1.59,17.1,29.7,69.8,50.8,14.7,52.4,55.9,91.73,55.6,7647.0
San Antonio Spurs,82.0,59.0,23.0,3961.0,106.1,97.8,8.3,60.6,1.57,17.1,32.1,69.7,51.0,15.1,49.2,53.4,89.96,56.5,7435.0
Dallas Mavericks,82.0,58.0,24.0,3946.0,108.5,102.6,5.9,52.6,1.46,15.3,31.9,67.4,50.0,14.2,49.2,54.5,94.18,53.7,7749.0
Detroit Pistons,82.0,54.0,28.0,3991.0,103.9,99.6,4.3,62.7,1.58,17.2,34.0,69.3,51.8,15.4,47.2,51.9,88.59,54.2,7364.0
Seattle SuperSonics,82.0,52.0,30.0,3951.0,110.3,108.0,2.3,51.6,1.34,14.7,35.7,68.1,51.7,15.1,49.5,54.6,89.24,50.4,7353.0
Houston Rockets,82.0,51.0,31.0,3971.0,104.4,100.1,4.3,60.9,1.53,16.9,30.1,71.3,51.2,15.2,48.6,53.4,90.18,52.7,7467.0
Sacramento Kings,82.0,50.0,32.0,3971.0,108.8,106.5,2.3,62.6,1.87,18.2,31.5,66.7,49.1,13.7,49.6,54.1,94.52,52.2,7819.0
Denver Nuggets,82.0,49.0,33.0,3951.0,104.7,102.6,2.2,64.5,1.6,18.0,31.3,67.8,49.7,15.7,48.3,53.5,94.68,53.1,7792.0
Chicago Bulls,82.0,47.0,35.0,3966.0,100.5,99.1,1.4,61.2,1.27,16.4,31.7,69.1,50.6,17.8,47.1,51.7,93.41,49.8,7707.0
Boston Celtics,82.0,45.0,37.0,3976.0,105.9,105.1,0.8,59.4,1.4,16.9,30.5,67.1,49.4,16.5,50.1,55.1,94.61,50.5,7839.0
Memphis Grizzlies,82.0,45.0,37.0,3941.0,104.2,101.5,2.7,61.2,1.43,16.9,30.8,66.3,48.7,16.3,48.9,53.5,89.65,51.5,7355.0
Washington Wizards,82.0,45.0,37.0,3956.0,105.4,105.9,-0.4,52.7,1.33,14.6,33.8,66.7,49.7,15.0,47.4,52.3,94.8,48.5,7816.0
Indiana Pacers,82.0,44.0,38.0,3981.0,103.7,102.7,1.0,55.8,1.27,15.1,29.6,68.7,49.4,16.0,47.6,53.4,88.71,50.4,7351.0
Minnesota Timberwolves,82.0,44.0,38.0,3951.0,106.6,105.0,1.6,63.0,1.78,18.3,32.1,68.2,50.8,14.5,48.9,53.4,90.39,51.8,7440.0
Philadelphia 76ers,82.0,43.0,39.0,3971.0,101.8,102.5,-0.7,58.0,1.34,15.9,28.1,70.3,49.1,16.0,47.5,52.8,96.56,49.3,7985.0
Cleveland Cavaliers,82.0,42.0,40.0,3971.0,105.3,104.7,0.6,61.9,1.62,17.3,35.4,67.4,51.0,15.2,47.0,51.8,90.72,51.0,7516.0
New Jersey Nets,82.0,42.0,40.0,3981.0,99.9,101.6,-1.7,64.4,1.52,17.1,29.8,70.1,49.5,15.5,46.3,51.2,90.41,49.0,7501.0
Los Angeles Clippers,82.0,37.0,45.0,4006.0,103.8,104.5,-0.8,65.0,1.47,17.9,33.8,68.7,51.8,17.1,47.7,53.3,90.66,51.8,7564.0
Orlando Magic,82.0,36.0,46.0,3941.0,103.4,105.7,-2.3,52.2,1.2,14.8,32.8,68.2,50.7,16.8,47.8,52.9,96.15,48.9,7891.0
Golden State Warriors,82.0,34.0,48.0,3981.0,103.4,105.5,-2.2,59.8,1.63,16.6,30.3,66.6,47.7,14.2,47.5,51.2,94.45,47.3,7830.0
Los Angeles Lakers,82.0,34.0,48.0,3956.0,106.4,109.6,-3.2,57.8,1.42,15.9,32.4,68.0,50.3,15.5,48.5,53.5,92.34,46.8,7610.0
New York Knicks,82.0,33.0,49.0,3976.0,104.5,107.2,-2.7,55.9,1.38,15.9,31.6,68.6,49.8,15.8,48.5,53.1,92.12,47.5,7634.0
Toronto Raptors,82.0,33.0,49.0,3961.0,105.4,107.2,-1.8,56.6,1.54,16.0,26.9,68.2,47.3,14.0,49.2,53.9,94.01,47.9,7762.0
Milwaukee Bucks,82.0,30.0,52.0,3956.0,105.1,108.1,-3.0,58.0,1.52,16.4,32.2,68.7,50.3,14.9,47.5,52.7,92.14,47.8,7584.0
Portland Trail Blazers,82.0,27.0,55.0,3946.0,101.9,106.1,-4.3,59.5,1.32,16.6,33.1,65.0,49.6,17.5,48.4,52.4,91.05,47.5,7481.0
Utah Jazz,82.0,26.0,56.0,3956.0,102.9,107.3,-4.4,64.6,1.41,17.4,35.1,69.5,51.8,17.4,46.9,52.2,90.02,47.5,7409.0
Charlotte Bobcats,82.0,18.0,64.0,3976.0,99.8,106.0,-6.2,60.6,1.51,16.5,32.7,67.6,49.2,15.4,45.5,49.7,93.54,46.0,7743.0
New Orleans Hornets,82.0,18.0,64.0,3986.0,98.2,105.9,-7.7,63.4,1.42,16.6,32.9,67.5,49.4,16.5,44.6,49.3,88.97,43.7,7382.0
Atlanta Hawks,82.0,13.0,69.0,3971.0,98.8,109.0,-10.2,54.9,1.22,15.3,32.6,69.6,50.2,17.1,46.4,50.4,93.09,42.2,7695.0
