TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Los Angeles Lakers,41.0,31.0,10.0,75.6,4.5,10.2,3.0,7.1,41.4,0.6,1.7,36.8,3.7,5.3,70.0,1.1,3.0,4.2,1.6,0.8,0.9,0.5,0.4,2.5,0.0,2.3
Indiana Pacers,44.0,31.0,13.0,70.5,4.1,9.1,2.6,6.4,40.6,0.8,2.1,40.7,3.0,4.0,76.1,0.9,2.6,3.5,1.6,0.9,0.8,0.4,0.6,2.1,0.0,2.4
Minnesota Timberwolves,42.0,27.0,15.0,64.3,4.1,9.5,2.8,7.0,40.8,0.6,1.7,38.0,3.2,4.1,78.0,1.3,2.7,4.0,1.5,0.7,0.4,0.5,0.4,2.5,0.0,1.6
Sacramento Kings,43.0,26.0,17.0,60.5,4.2,9.1,2.6,6.7,38.2,0.6,1.8,33.3,3.3,4.1,81.4,0.9,2.8,3.6,1.5,0.7,0.7,0.3,0.5,2.5,0.0,0.7
New York Knicks,41.0,24.0,17.0,58.5,4.8,10.3,3.1,7.4,41.6,0.6,1.7,33.8,3.6,4.2,85.4,1.0,3.4,4.4,1.5,1.4,0.6,0.5,0.5,3.0,0.0,1.3
Utah Jazz,41.0,24.0,17.0,58.5,3.7,8.1,2.3,5.8,39.8,0.4,1.3,30.2,3.1,4.0,77.7,1.2,2.1,3.3,1.0,1.0,0.6,0.5,0.5,2.4,0.0,1.0
Memphis Grizzlies,48.0,27.0,21.0,56.3,3.9,8.7,2.6,6.0,43.4,0.4,1.5,30.0,3.0,4.1,73.6,1.0,2.4,3.4,1.3,0.7,0.6,0.5,0.3,2.3,0.0,0.9
Portland Trail Blazers,50.0,28.0,22.0,56.0,4.6,8.6,3.0,7.2,41.6,0.5,1.8,27.8,2.2,2.7,81.2,1.2,2.7,4.0,1.6,1.4,0.7,0.6,0.3,2.2,0.0,-0.2
Detroit Pistons,45.0,25.0,20.0,55.6,4.2,8.8,2.7,7.1,38.4,0.5,1.4,36.5,2.9,3.4,83.9,1.4,2.7,4.1,1.3,1.2,0.5,0.6,0.4,2.3,0.0,1.0
Dallas Mavericks,40.0,22.0,18.0,55.0,3.7,7.7,2.6,6.7,37.9,0.5,2.2,20.7,2.1,2.7,79.2,1.4,2.5,3.8,1.5,1.1,0.4,0.5,0.5,2.3,0.0,-1.0
Miami Heat,42.0,23.0,19.0,54.8,3.9,7.8,2.3,6.1,38.1,0.6,2.0,30.1,2.5,3.3,77.5,0.9,2.6,3.5,1.3,1.0,0.6,0.4,0.5,2.3,0.0,0.7
San Antonio Spurs,39.0,21.0,18.0,53.8,3.7,7.3,2.2,5.6,38.8,0.5,1.4,35.7,2.4,3.5,68.4,0.9,2.5,3.4,1.1,1.0,0.5,0.6,0.4,2.1,0.0,-0.1
New Orleans Hornets,48.0,25.0,23.0,52.1,4.2,7.8,2.5,6.6,38.3,0.8,2.3,32.7,2.0,2.8,72.2,1.1,2.6,3.7,1.5,1.4,0.8,0.5,0.6,2.6,0.0,0.1
Boston Celtics,48.0,23.0,25.0,47.9,3.5,7.6,2.2,5.6,39.0,0.7,2.2,31.4,2.5,3.3,77.2,1.0,2.2,3.2,1.4,1.2,0.7,0.3,0.3,2.0,0.0,-0.1
