TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Atlanta Hawks,52.0,32.0,20.0,3.1,1.8,4.4,40.3,0.3,1.3,24.3,2.1,2.6,82.0,0.7,2.2,2.9,0.9,1.2,0.4,0.3,0.3,1.8,1.7,6.0,-1.1
New Orleans Hornets,48.0,31.0,17.0,3.4,2.3,5.3,43.7,0.7,1.7,40.2,2.5,2.9,83.7,0.8,1.9,2.7,1.2,0.8,0.3,0.3,0.4,2.0,1.9,7.7,-0.6
Los Angeles Lakers,41.0,30.0,11.0,3.6,2.3,5.1,45.9,0.7,1.8,39.2,1.9,2.9,66.1,0.3,2.1,2.5,1.4,0.9,0.4,0.3,0.4,2.5,1.9,7.3,-2.2
San Antonio Spurs,47.0,30.0,17.0,4.8,3.2,7.7,42.0,0.5,1.6,29.9,2.1,2.8,75.6,0.7,3.1,3.7,1.5,0.9,0.6,0.5,0.3,2.7,2.3,9.1,-1.6
Boston Celtics,45.0,28.0,17.0,4.3,2.6,6.6,40.3,0.5,1.7,28.6,2.4,3.2,76.8,0.9,2.2,3.2,1.3,1.0,0.5,0.4,0.5,2.7,2.4,8.2,-1.3
Orlando Magic,41.0,28.0,13.0,3.6,2.2,6.6,33.0,0.3,1.8,16.7,2.3,3.2,73.8,1.3,2.4,3.7,1.0,0.8,0.4,0.2,0.4,2.5,2.3,7.0,-1.5
Dallas Mavericks,43.0,27.0,16.0,3.7,2.4,6.0,40.5,0.7,1.7,39.4,1.8,2.2,82.3,0.9,2.3,3.2,1.1,1.2,0.4,0.3,0.5,2.1,1.8,7.4,-1.2
Detroit Pistons,56.0,27.0,29.0,4.2,2.5,6.2,40.8,0.3,1.3,26.0,3.3,4.2,79.8,0.9,2.6,3.5,1.1,0.7,0.5,0.5,0.6,2.2,2.8,8.7,0.3
Miami Heat,49.0,26.0,23.0,4.4,3.3,7.6,43.5,0.9,2.0,45.5,3.0,3.7,80.9,1.1,2.6,3.7,1.8,1.3,0.6,0.5,0.8,2.9,2.5,10.5,0.0
Philadelphia 76ers,47.0,26.0,21.0,3.9,2.5,6.5,38.0,0.6,2.1,26.5,2.7,3.2,83.4,1.1,2.3,3.5,1.2,1.0,0.3,0.3,0.6,2.6,2.1,8.2,-0.9
Portland Trail Blazers,42.0,26.0,16.0,4.3,2.8,7.0,40.8,0.5,1.6,27.9,2.7,3.2,85.1,0.9,2.8,3.8,1.2,0.9,0.5,0.5,0.5,2.3,2.3,8.8,0.1
Houston Rockets,47.0,24.0,23.0,3.5,2.5,6.0,41.3,0.5,1.1,45.1,1.7,2.2,76.2,1.0,2.3,3.3,1.1,0.6,0.3,0.5,0.4,2.1,1.8,7.2,0.3
Indiana Pacers,56.0,24.0,32.0,4.3,3.1,6.7,46.0,0.7,1.9,37.6,3.2,4.2,76.9,0.7,2.9,3.6,1.5,1.1,0.8,0.5,0.5,2.7,2.5,10.1,0.8
Phoenix Suns,43.0,24.0,19.0,3.4,2.6,6.0,43.5,0.6,1.8,34.2,2.3,2.8,81.8,1.0,2.1,3.1,1.1,0.7,0.3,0.1,0.3,2.1,1.8,8.2,0.4
Cleveland Cavaliers,32.0,23.0,9.0,3.8,2.0,5.3,38.0,0.3,1.5,22.4,2.4,2.9,81.9,0.8,1.9,2.8,0.9,1.3,0.3,0.3,0.4,2.3,2.3,6.8,-3.2
Chicago Bulls,46.0,22.0,24.0,4.3,3.2,7.5,42.5,0.5,1.7,27.5,2.4,3.1,79.4,1.2,2.8,4.0,1.5,1.1,0.6,0.6,0.7,2.6,2.4,9.3,-0.3
Denver Nuggets,34.0,21.0,13.0,4.0,2.4,5.8,41.8,0.6,1.5,41.2,3.3,3.9,83.5,0.9,2.6,3.6,1.4,1.2,0.4,0.5,0.4,2.2,2.9,8.7,-0.4
Milwaukee Bucks,47.0,21.0,26.0,3.6,2.6,5.7,45.2,0.7,1.7,40.5,2.5,3.2,77.0,0.8,2.1,2.9,1.4,0.9,0.5,0.4,0.4,2.4,2.3,8.4,0.6
Utah Jazz,42.0,21.0,21.0,3.9,2.7,6.3,43.2,0.3,1.5,20.0,3.1,3.8,82.0,0.7,2.6,3.4,1.2,0.9,0.7,0.5,0.4,2.7,2.4,8.9,-0.1
Toronto Raptors,43.0,20.0,23.0,3.6,2.9,6.4,45.1,0.6,1.7,34.2,1.7,2.2,79.6,0.9,2.2,3.0,1.3,0.8,0.4,0.5,0.4,2.1,1.8,8.1,0.4
Charlotte Bobcats,50.0,19.0,31.0,4.2,2.4,6.3,38.7,0.7,1.7,41.9,2.8,3.6,78.0,1.0,2.6,3.6,1.2,1.0,0.4,0.7,0.5,2.4,2.5,8.4,0.4
Golden State Warriors,48.0,19.0,29.0,3.5,2.7,6.0,45.2,0.6,1.7,34.1,2.8,3.5,78.7,1.0,2.6,3.5,1.5,0.8,0.4,0.4,0.4,2.5,2.4,8.8,1.1
