TEAM,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
Atlanta Hawks,82.0,29.0,53.0,242.1,113.3,25.7,46.0,30.1,36.2,17.2,34.7,25.1,62.7,2.9,47.5,5.5,55.9,52.2
Boston Celtics,82.0,49.0,33.0,241.2,112.4,22.0,49.6,34.0,39.5,22.1,37.9,18.1,62.7,6.0,51.9,6.3,59.4,53.4
Brooklyn Nets,82.0,42.0,40.0,243.7,112.2,30.9,48.0,27.3,36.2,20.6,36.5,18.5,62.3,0.9,40.6,6.2,58.1,52.0
Charlotte Hornets,82.0,39.0,43.0,241.8,110.7,29.7,46.9,26.7,37.2,23.2,37.9,17.0,62.5,2.0,52.8,4.7,51.4,51.4
Chicago Bulls,81.0,22.0,59.0,242.8,105.1,29.1,46.3,23.3,35.8,18.5,36.8,15.6,61.4,6.0,47.1,6.3,55.9,50.5
Cleveland Cavaliers,82.0,19.0,63.0,240.9,104.5,25.4,45.1,22.8,36.4,22.7,37.9,18.3,59.2,3.6,37.0,5.4,50.3,50.3
Dallas Mavericks,82.0,33.0,49.0,241.2,108.9,24.9,48.2,28.2,34.7,20.3,36.0,19.4,65.9,5.2,46.4,4.8,55.3,51.9
Denver Nuggets,82.0,54.0,28.0,240.6,110.7,22.1,46.3,29.6,37.7,18.4,37.9,20.7,63.5,7.9,48.0,7.1,57.8,52.7
Detroit Pistons,82.0,41.0,41.0,242.1,107.0,20.8,46.2,27.6,35.6,19.0,37.1,20.2,57.2,6.3,43.5,4.2,52.1,50.9
Golden State Warriors,82.0,57.0,25.0,241.5,117.7,15.7,49.6,34.7,40.7,26.6,43.2,19.5,67.1,6.5,52.5,7.4,59.3,56.5
Houston Rockets,82.0,53.0,29.0,241.8,113.9,25.7,49.0,27.9,37.3,26.5,35.8,17.9,63.0,2.3,51.7,5.7,62.2,54.2
Indiana Pacers,82.0,48.0,34.0,240.3,108.0,19.4,45.7,28.2,40.5,17.7,37.1,20.2,64.3,6.8,48.8,10.3,60.6,53.0
LA Clippers,82.0,48.0,34.0,241.8,115.1,26.9,46.6,25.5,39.9,21.2,40.4,22.9,61.8,6.6,47.6,7.1,56.8,52.9
Los Angeles Lakers,82.0,37.0,45.0,241.2,111.8,22.9,47.3,25.4,34.4,18.1,36.4,22.8,64.5,4.3,48.2,8.3,59.2,52.7
Memphis Grizzlies,82.0,33.0,49.0,242.4,103.5,21.2,45.1,26.4,37.0,16.5,34.8,21.5,60.8,7.5,48.6,8.4,52.7,50.8
Miami Heat,82.0,39.0,43.0,240.6,105.7,22.5,43.3,29.2,36.9,16.1,35.0,22.7,63.2,3.5,44.3,5.1,49.3,51.5
Milwaukee Bucks,82.0,60.0,22.0,241.2,118.1,29.7,55.0,31.5,35.9,18.2,36.4,18.5,64.0,4.6,49.8,5.5,62.3,55.0
Minnesota Timberwolves,82.0,36.0,46.0,241.8,112.5,23.3,44.5,29.0,37.7,17.5,35.6,21.1,62.5,10.6,49.1,7.2,57.0,51.1
New Orleans Pelicans,82.0,33.0,49.0,240.9,115.4,25.7,50.3,26.3,36.2,16.9,35.9,25.4,65.9,7.9,46.3,8.5,54.1,52.9
New York Knicks,81.0,17.0,64.0,241.2,104.6,24.7,42.6,24.1,34.3,22.5,37.8,17.8,63.2,4.3,45.8,4.3,55.2,48.9
Oklahoma City Thunder,81.0,48.0,33.0,242.2,114.4,24.0,46.3,28.8,36.4,19.7,35.6,22.5,61.7,6.2,50.5,7.5,54.8,51.4
Orlando Magic,80.0,40.0,40.0,241.3,107.6,19.5,45.0,32.0,37.8,19.0,36.8,21.4,62.5,6.6,45.2,7.9,56.7,51.8
Philadelphia 76ers,81.0,51.0,30.0,241.5,115.2,21.5,50.3,29.7,37.6,18.6,37.6,22.2,62.3,9.2,47.6,7.3,54.2,53.2
Phoenix Suns,82.0,19.0,63.0,242.4,107.5,24.2,44.8,24.5,35.3,20.2,37.0,22.4,65.8,5.0,51.7,7.3,57.1,51.4
Portland Trail Blazers,82.0,53.0,29.0,242.1,114.7,22.5,48.1,23.3,35.7,26.8,41.6,21.0,61.7,6.8,50.0,6.4,53.2,52.8
Sacramento Kings,82.0,39.0,43.0,240.6,114.2,21.3,44.3,27.3,40.0,22.5,36.9,24.2,62.8,7.0,43.0,7.7,51.8,52.4
San Antonio Spurs,82.0,48.0,34.0,241.5,111.7,23.4,51.0,28.5,42.1,26.2,40.7,18.5,62.9,11.4,47.6,5.5,56.6,53.4
Toronto Raptors,82.0,58.0,24.0,242.4,114.4,25.0,49.5,34.7,40.5,17.0,36.7,17.8,63.6,6.4,49.4,8.1,59.4,54.3
Utah Jazz,81.0,50.0,31.0,240.9,112.0,26.5,47.8,28.8,37.3,17.1,35.7,25.3,69.9,1.1,47.9,6.2,55.6,54.0
Washington Wizards,81.0,31.0,50.0,243.1,114.2,25.8,49.6,29.9,36.0,18.2,36.6,19.7,66.5,3.7,46.3,6.1,56.6,53.2
