TEAM,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%
Milwaukee Bucks,72.0,72.0,100.0,39.0,94.1,41.5,45.8,-4.4
Toronto Raptors,72.0,72.0,100.0,37.8,88.3,42.8,45.9,-3.1
LA Clippers,72.0,72.0,100.0,39.5,90.2,43.8,46.1,-2.3
Boston Celtics,72.0,72.0,100.0,38.4,87.1,44.1,45.9,-1.8
Brooklyn Nets,72.0,72.0,100.0,41.4,92.9,44.6,45.8,-1.2
Miami Heat,72.0,72.0,100.0,38.8,86.7,44.7,45.9,-1.2
Los Angeles Lakers,71.0,71.0,100.0,39.1,87.1,44.8,46.1,-1.2
Memphis Grizzlies,73.0,73.0,100.0,40.6,90.3,45.0,46.1,-1.1
Indiana Pacers,73.0,73.0,100.0,39.5,88.5,44.6,45.8,-1.1
Oklahoma City Thunder,72.0,72.0,100.0,40.8,89.6,45.5,46.1,-0.6
Portland Trail Blazers,73.0,73.0,100.0,41.8,91.5,45.6,46.1,-0.4
Utah Jazz,72.0,72.0,100.0,40.7,89.1,45.7,46.0,-0.3
Dallas Mavericks,74.0,74.0,100.0,41.9,91.6,45.8,46.1,-0.3
Houston Rockets,72.0,72.0,100.0,42.3,91.5,46.2,46.1,0.1
Denver Nuggets,73.0,73.0,100.0,40.0,86.5,46.3,46.0,0.3
Philadelphia 76ers,73.0,73.0,100.0,39.8,85.9,46.3,45.9,0.4
New York Knicks,66.0,66.0,100.0,39.9,86.0,46.3,45.9,0.4
Orlando Magic,73.0,73.0,100.0,40.4,86.9,46.5,46.0,0.5
New Orleans Pelicans,72.0,72.0,100.0,42.7,91.8,46.6,46.0,0.5
Sacramento Kings,72.0,72.0,100.0,40.3,85.5,47.1,46.0,1.0
San Antonio Spurs,70.0,70.0,100.0,42.3,90.0,47.0,46.0,1.0
Phoenix Suns,72.0,72.0,100.0,41.2,87.1,47.3,46.0,1.3
Golden State Warriors,65.0,65.0,100.0,42.2,88.6,47.6,46.1,1.5
Minnesota Timberwolves,64.0,64.0,100.0,43.1,90.4,47.7,46.0,1.7
Charlotte Hornets,64.0,64.0,100.0,41.6,87.5,47.5,45.9,1.7
Atlanta Hawks,67.0,67.0,100.0,43.3,90.7,47.8,45.9,1.9
Chicago Bulls,65.0,65.0,100.0,39.5,82.5,47.9,45.8,2.1
Detroit Pistons,65.0,65.0,100.0,41.9,87.3,48.0,45.8,2.2
Washington Wizards,72.0,72.0,100.0,43.1,88.4,48.8,45.8,3.0
Cleveland Cavaliers,65.0,65.0,100.0,43.9,89.4,49.1,45.9,3.2
