TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Chicago Bulls,30.0,22.0,8.0,73.3,3.1,7.5,2.3,5.8,40.0,0.4,1.5,23.9,2.5,3.4,74.3,1.4,2.0,3.4,1.2,0.8,0.4,0.5,0.6,1.7,2.2,1.4
Los Angeles Lakers,43.0,31.0,12.0,72.1,4.5,10.2,3.5,7.4,47.0,0.7,2.0,33.7,2.6,3.5,73.0,1.1,3.0,4.2,2.1,0.9,0.6,0.7,0.3,1.5,2.5,2.1
San Antonio Spurs,31.0,22.0,9.0,71.0,4.3,9.6,3.3,7.2,45.5,0.6,1.7,37.0,2.5,3.4,71.7,1.1,3.0,4.0,1.5,1.1,0.5,0.4,0.5,1.7,2.8,2.0
Indiana Pacers,30.0,21.0,9.0,70.0,4.6,10.7,3.2,8.3,39.1,0.5,1.8,25.9,3.8,4.7,80.7,1.9,3.6,5.5,1.8,1.2,0.6,0.6,0.5,2.2,3.1,2.4
Atlanta Hawks,36.0,24.0,12.0,66.7,5.1,11.2,3.8,8.6,43.5,0.9,2.3,38.6,2.8,3.9,71.6,1.6,3.7,5.3,2.0,1.3,0.6,0.5,0.4,2.3,3.1,2.1
Memphis Grizzlies,43.0,27.0,16.0,62.8,3.4,8.0,2.6,5.8,44.2,0.4,1.3,32.1,2.5,3.3,75.2,1.0,2.2,3.1,1.3,0.7,0.7,0.4,0.4,2.1,2.2,1.0
Miami Heat,29.0,18.0,11.0,62.1,4.5,9.4,3.2,7.3,43.7,0.4,1.7,26.5,2.6,3.4,75.8,0.9,3.0,3.8,1.6,1.0,0.7,0.4,0.4,2.3,2.7,1.0
Utah Jazz,41.0,24.0,17.0,58.5,4.9,10.0,3.5,8.5,41.1,0.4,1.5,27.4,2.6,3.5,72.9,1.3,3.5,4.8,1.8,1.1,0.8,0.6,0.7,2.6,2.5,0.2
Boston Celtics,31.0,18.0,13.0,58.1,3.8,8.1,2.7,6.4,43.1,0.5,1.3,40.0,2.1,2.6,79.3,0.8,2.5,3.3,1.6,1.0,0.5,0.4,0.4,1.9,1.7,0.6
Oklahoma City Thunder,32.0,18.0,14.0,56.3,4.9,10.7,3.2,8.2,39.3,0.8,2.6,30.1,3.4,4.1,84.0,1.2,3.4,4.6,1.2,1.3,0.5,1.1,0.5,2.8,2.7,0.4
Houston Rockets,43.0,23.0,20.0,53.5,4.0,8.4,2.8,6.3,43.9,0.6,1.7,34.7,2.3,2.7,84.6,0.8,2.7,3.5,1.3,1.2,0.5,0.4,0.5,2.2,2.4,0.5
Denver Nuggets,34.0,18.0,16.0,52.9,5.4,11.2,3.6,8.9,40.1,0.6,2.5,26.2,3.4,4.6,74.1,1.2,3.7,4.9,2.0,1.2,0.6,0.4,1.1,2.5,3.1,0.0
Los Angeles Clippers,40.0,21.0,19.0,52.5,4.6,9.9,3.0,7.3,41.6,0.6,2.4,24.7,3.2,4.0,81.0,1.0,3.2,4.2,1.5,1.4,0.8,0.4,0.4,3.4,2.7,-0.1
New York Knicks,31.0,16.0,15.0,51.6,3.7,8.0,2.6,6.6,39.8,0.6,1.8,35.7,2.0,2.7,74.1,1.2,2.5,3.7,1.1,0.7,0.6,0.4,0.5,2.2,1.7,-0.1
Orlando Magic,33.0,17.0,16.0,51.5,3.8,8.4,2.5,6.3,40.4,0.9,2.5,34.9,2.5,3.7,66.9,1.2,2.9,4.2,1.2,0.7,0.3,0.4,0.5,2.0,2.5,1.0
Phoenix Suns,33.0,16.0,17.0,48.5,2.9,6.0,1.8,4.6,40.4,0.5,1.4,36.2,1.8,2.2,80.8,0.6,1.6,2.2,1.0,0.8,0.4,0.3,0.2,1.6,1.6,-0.9
Dallas Mavericks,32.0,15.0,17.0,46.9,4.9,9.6,3.2,8.0,40.2,0.9,2.7,35.3,2.3,2.7,82.8,0.9,3.3,4.2,1.6,1.1,0.9,0.3,0.5,2.4,2.6,-0.3
Sacramento Kings,33.0,15.0,18.0,45.5,4.1,8.5,2.7,7.0,38.5,0.5,1.9,27.4,2.5,3.3,77.1,1.3,2.8,4.1,1.0,1.2,0.6,0.6,0.5,1.9,2.4,0.3
Detroit Pistons,31.0,14.0,17.0,45.2,3.8,7.6,2.4,5.9,40.7,0.5,1.3,43.6,2.3,3.3,68.0,0.9,2.1,3.0,1.2,1.1,0.5,0.5,0.2,2.2,2.3,-0.8
Milwaukee Bucks,40.0,18.0,22.0,45.0,3.1,6.4,2.1,5.8,35.9,0.5,1.9,25.7,1.8,2.4,76.6,1.1,1.9,3.0,1.2,0.7,0.4,0.4,0.2,1.9,1.8,-0.5
New Jersey Nets,32.0,13.0,19.0,40.6,3.5,7.3,2.4,5.6,42.2,0.6,1.7,35.2,2.0,2.6,77.1,0.8,2.2,2.9,1.4,0.9,0.4,0.3,0.4,2.1,1.7,-1.3
New Orleans Hornets,40.0,16.0,24.0,40.0,4.2,7.7,2.7,6.3,41.9,0.3,1.4,21.8,2.1,2.6,79.8,0.9,2.7,3.5,1.4,1.3,0.5,0.3,0.5,2.4,1.7,-1.0
Minnesota Timberwolves,41.0,16.0,25.0,39.0,3.5,7.6,2.3,6.0,38.9,0.6,2.0,29.8,2.3,2.8,81.9,0.9,2.4,3.3,1.1,0.9,0.5,0.5,0.4,2.4,1.9,-0.5
Portland Trail Blazers,32.0,12.0,20.0,37.5,4.3,7.9,2.7,6.7,39.9,0.8,2.1,36.4,1.8,2.3,78.7,0.8,2.5,3.3,1.3,1.2,0.8,0.5,0.3,2.3,1.8,-0.7
Cleveland Cavaliers,31.0,11.0,20.0,35.5,3.8,8.0,2.6,6.1,42.3,0.4,1.5,26.1,2.4,3.3,72.8,0.9,2.5,3.4,1.3,0.7,0.4,0.4,0.5,1.8,2.2,-0.7
Toronto Raptors,34.0,12.0,22.0,35.3,3.9,7.6,2.5,6.6,38.6,0.5,2.1,23.3,2.1,2.6,77.8,1.0,2.8,3.8,1.3,1.4,0.4,0.5,0.5,3.2,1.9,-1.8
Washington Wizards,27.0,9.0,18.0,33.3,3.4,6.4,2.1,5.6,38.2,0.3,1.6,20.5,1.8,3.1,59.0,0.9,2.3,3.1,1.0,0.9,0.4,0.5,0.3,2.1,2.0,-1.4
Golden State Warriors,38.0,12.0,26.0,31.6,4.2,7.7,2.6,6.6,40.0,0.6,1.9,29.7,1.8,2.5,73.4,0.8,2.2,3.0,1.1,1.2,0.7,0.3,0.7,1.9,1.9,-2.0
Philadelphia 76ers,27.0,7.0,20.0,25.9,3.6,6.6,2.1,5.6,37.1,0.3,1.5,22.5,2.1,2.9,74.0,0.7,2.5,3.2,1.0,0.8,0.4,0.4,0.3,2.7,1.7,-1.6
Charlotte Bobcats,24.0,5.0,19.0,20.8,3.2,5.6,1.9,5.2,37.1,0.4,1.5,25.0,1.4,1.8,75.0,0.8,2.1,2.9,1.1,1.0,0.3,0.3,0.4,2.2,1.3,-2.6
