TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Memphis Grizzlies,49.0,33.0,16.0,167.0,111.4,84.4,27.0,49.2,1.4,13.0,35.0,73.6,55.3,12.2,49.4,57.8,96.46,75.3
Portland Trail Blazers,47.0,30.0,17.0,198.0,117.2,105.4,11.8,51.0,1.4,12.4,37.3,62.8,50.1,11.8,48.0,58.3,102.76,61.0
Toronto Raptors,54.0,28.0,26.0,212.0,103.3,96.9,6.4,41.8,1.15,10.5,39.3,73.7,55.1,12.4,42.9,49.7,95.78,53.5
Los Angeles Clippers,43.0,27.0,16.0,151.0,115.5,102.9,12.7,50.0,1.97,13.1,32.1,69.6,51.1,8.8,49.0,57.3,101.54,60.6
Charlotte Bobcats,48.0,26.0,22.0,211.0,97.2,98.6,-1.4,46.9,1.61,11.2,29.3,76.7,52.8,9.0,39.7,48.3,95.33,49.3
Dallas Mavericks,48.0,26.0,22.0,182.0,111.4,99.5,11.9,53.7,1.71,14.2,25.3,71.0,49.5,10.6,51.0,58.8,101.92,59.3
Indiana Pacers,37.0,26.0,11.0,141.0,114.8,99.6,15.1,53.9,1.83,13.8,36.9,68.9,53.0,10.3,47.9,56.3,97.75,61.9
Phoenix Suns,50.0,26.0,24.0,182.0,98.7,98.7,0.0,43.3,0.98,10.9,29.2,67.5,48.7,14.1,44.4,51.9,99.86,49.0
New Orleans Pelicans,50.0,25.0,25.0,205.0,104.7,109.7,-4.9,46.3,1.41,12.5,31.3,60.8,46.3,11.6,47.0,53.8,98.09,48.9
Oklahoma City Thunder,43.0,25.0,18.0,169.0,106.6,102.3,4.3,44.1,1.36,10.9,28.6,71.1,50.1,10.3,45.3,54.0,100.15,52.9
Golden State Warriors,43.0,24.0,19.0,201.0,106.8,99.8,7.1,51.7,1.45,14.1,31.7,65.9,49.8,12.9,49.4,54.7,95.95,53.4
Houston Rockets,42.0,24.0,18.0,163.0,114.5,100.3,14.2,50.0,1.17,12.2,41.9,66.2,55.7,13.9,50.2,58.5,99.7,66.8
Miami Heat,43.0,24.0,19.0,189.0,107.4,99.7,7.7,45.1,1.17,11.8,29.8,71.5,51.3,12.9,49.1,56.2,92.78,54.0
Chicago Bulls,37.0,23.0,14.0,165.0,94.6,86.5,8.1,58.8,1.16,12.4,39.7,66.3,52.2,14.8,38.8,46.6,93.19,59.0
Denver Nuggets,43.0,22.0,21.0,149.0,100.6,110.1,-9.5,56.7,1.26,13.3,34.5,65.8,49.6,14.2,45.5,52.2,104.46,43.3
San Antonio Spurs,30.0,22.0,8.0,114.0,120.1,105.8,14.3,63.9,2.58,18.7,27.4,63.3,45.9,10.0,55.8,61.0,97.52,63.7
Atlanta Hawks,49.0,21.0,28.0,197.0,104.0,99.3,4.7,60.0,1.33,14.4,32.0,71.0,51.6,14.5,47.1,55.3,103.92,52.8
Washington Wizards,46.0,21.0,25.0,243.0,93.1,101.4,-8.3,48.4,1.12,11.9,26.3,66.7,46.3,13.6,42.9,49.2,97.19,43.7
Brooklyn Nets,38.0,20.0,18.0,172.0,101.4,103.4,-2.0,48.7,1.47,12.4,24.9,69.2,47.3,10.6,47.6,53.6,98.76,50.5
Cleveland Cavaliers,42.0,19.0,23.0,176.0,100.3,103.9,-3.6,46.7,1.21,11.6,34.6,65.4,49.5,12.6,43.0,50.2,100.15,46.0
Utah Jazz,40.0,19.0,21.0,147.0,111.6,120.9,-9.3,52.8,1.19,14.2,33.8,62.4,48.5,15.9,52.6,59.9,99.86,42.4
New York Knicks,39.0,17.0,22.0,172.0,97.6,106.1,-8.4,56.0,1.19,12.6,35.7,64.5,49.3,14.0,42.0,50.4,92.95,47.3
Los Angeles Lakers,38.0,16.0,22.0,116.0,105.8,101.5,4.3,55.3,1.35,13.3,29.0,68.4,49.4,12.9,46.0,54.4,103.35,50.0
Minnesota Timberwolves,41.0,16.0,25.0,161.0,100.9,119.4,-18.5,68.0,1.7,14.8,31.3,60.0,44.5,11.7,41.4,51.4,105.78,35.8
Boston Celtics,49.0,15.0,34.0,178.0,90.8,111.6,-20.8,49.0,0.88,10.8,32.1,71.0,49.3,16.2,38.7,46.2,99.57,27.6
Detroit Pistons,39.0,15.0,24.0,135.0,89.2,109.4,-20.2,40.7,0.85,9.0,37.7,57.4,46.5,14.1,37.8,44.2,94.59,31.2
Sacramento Kings,42.0,15.0,27.0,163.0,103.0,112.2,-9.2,45.3,0.87,10.9,37.7,63.6,51.0,16.6,44.3,53.0,100.59,41.4
Orlando Magic,42.0,14.0,28.0,183.0,92.3,109.9,-17.6,55.1,1.05,12.4,32.4,67.9,49.4,15.4,39.7,47.8,97.89,33.6
Philadelphia 76ers,34.0,14.0,20.0,136.0,109.4,100.0,9.4,59.0,1.51,15.8,32.0,62.8,50.0,14.1,52.4,57.7,102.8,55.8
Milwaukee Bucks,40.0,10.0,30.0,174.0,91.9,110.7,-18.9,50.6,1.05,9.9,35.9,63.0,49.0,12.7,35.3,44.8,95.92,31.1
