TEAM,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
Atlanta Hawks,67.0,20.0,47.0,243.0,111.8,26.2,45.9,25.9,34.6,20.8,35.8,22.9,68.1,2.7,58.1,5.5,53.3,51.5
Boston Celtics,72.0,48.0,24.0,242.1,113.7,26.9,45.7,24.0,37.9,27.3,39.3,19.9,61.6,3.6,45.8,5.4,54.3,53.1
Brooklyn Nets,72.0,35.0,37.0,242.8,111.8,29.4,45.1,27.8,36.5,19.8,34.5,19.7,65.8,0.6,48.3,5.4,60.5,52.0
Charlotte Hornets,64.0,23.0,41.0,242.3,102.9,22.3,41.2,25.5,36.7,17.9,33.2,19.6,60.9,4.6,50.2,5.8,55.3,50.5
Chicago Bulls,65.0,22.0,43.0,241.2,106.8,25.8,43.8,28.4,35.5,16.4,35.0,18.1,63.2,2.4,47.7,5.8,55.4,51.5
Cleveland Cavaliers,65.0,19.0,46.0,241.9,106.9,24.2,46.1,27.0,38.0,18.8,36.1,23.3,63.2,5.7,48.2,6.1,53.5,52.2
Dallas Mavericks,73.0,41.0,32.0,242.1,116.8,28.1,49.3,34.6,38.3,21.9,36.8,18.6,67.6,3.4,43.4,5.2,62.6,54.4
Denver Nuggets,73.0,46.0,27.0,243.1,111.3,20.1,43.4,29.0,39.3,20.5,38.3,22.5,68.1,7.3,51.5,8.4,58.7,53.5
Detroit Pistons,65.0,20.0,45.0,241.9,107.2,24.6,47.2,29.8,38.1,14.5,35.4,20.2,61.1,5.2,52.8,6.4,53.2,52.8
Golden State Warriors,65.0,15.0,50.0,241.9,106.3,22.9,44.1,26.4,34.9,21.6,37.4,17.8,61.6,4.7,47.3,5.7,49.0,49.7
Houston Rockets,72.0,44.0,28.0,241.4,117.8,29.6,52.3,29.5,34.9,23.1,35.7,13.9,65.3,1.0,38.8,4.1,59.3,53.7
Indiana Pacers,73.0,45.0,28.0,241.4,109.4,24.8,48.8,27.6,39.0,22.0,40.7,17.8,64.0,4.3,47.5,9.1,57.4,53.4
LA Clippers,72.0,49.0,23.0,241.4,116.3,25.3,48.3,29.5,38.5,23.0,38.8,18.7,62.0,6.3,45.9,5.8,58.6,53.5
Los Angeles Lakers,71.0,52.0,19.0,240.7,113.4,20.7,49.6,28.0,37.0,17.6,34.9,25.3,70.1,6.7,47.1,6.5,58.9,54.2
Memphis Grizzlies,73.0,34.0,39.0,240.7,112.6,26.9,45.8,28.5,37.6,18.4,37.7,23.8,66.7,5.2,49.7,7.9,62.4,52.8
Miami Heat,72.0,44.0,28.0,243.1,112.1,22.8,47.6,33.3,39.8,18.6,36.8,19.4,67.6,3.1,48.2,7.8,60.5,54.8
Milwaukee Bucks,72.0,55.0,17.0,241.0,118.7,22.6,53.4,31.9,37.4,22.7,39.2,18.6,62.6,7.0,52.3,7.8,56.7,55.2
Minnesota Timberwolves,64.0,19.0,45.0,243.1,113.3,29.7,47.5,30.5,34.1,16.6,34.9,17.1,61.6,3.7,46.7,4.4,55.4,51.4
New Orleans Pelicans,71.0,30.0,41.0,241.8,115.7,24.0,44.9,32.6,38.6,19.2,36.0,18.9,67.4,3.1,49.2,6.8,61.2,53.9
New York Knicks,66.0,21.0,45.0,241.9,105.8,22.7,42.3,25.5,35.8,18.5,36.4,22.2,64.7,6.7,50.6,6.1,55.8,50.1
Oklahoma City Thunder,72.0,44.0,28.0,242.1,110.4,30.3,49.0,26.1,37.9,24.7,42.9,16.8,63.8,3.9,46.4,5.7,60.7,53.0
Orlando Magic,73.0,33.0,40.0,240.7,107.3,21.7,46.8,29.5,36.4,19.8,37.1,19.6,57.5,5.2,45.1,6.8,52.4,50.6
Philadelphia 76ers,73.0,43.0,30.0,241.0,110.7,21.7,48.2,33.4,38.5,16.3,37.7,19.4,63.4,10.7,50.9,6.1,51.0,53.4
Phoenix Suns,72.0,34.0,38.0,240.7,113.5,22.2,46.7,31.8,37.3,18.5,39.9,23.1,62.2,5.0,51.2,8.0,54.6,53.3
Portland Trail Blazers,73.0,34.0,39.0,241.0,115.0,24.8,48.5,26.0,39.8,30.9,40.0,17.7,61.4,5.9,45.2,5.8,57.4,53.2
Sacramento Kings,71.0,31.0,40.0,242.5,110.1,23.8,46.4,30.6,38.5,21.3,38.0,19.9,64.4,4.3,47.0,6.1,55.7,53.5
San Antonio Spurs,70.0,31.0,39.0,242.1,114.0,28.9,50.7,30.4,40.4,26.1,41.7,13.9,62.2,6.3,46.6,5.0,59.4,53.3
Toronto Raptors,71.0,52.0,19.0,241.4,112.7,20.7,45.6,33.0,38.8,15.8,34.1,17.4,63.0,3.8,45.1,6.6,57.1,53.5
Utah Jazz,72.0,44.0,28.0,241.0,111.3,30.5,47.7,27.3,40.4,23.6,38.2,18.2,68.6,1.4,47.7,5.0,58.0,54.9
Washington Wizards,72.0,25.0,47.0,241.0,114.4,25.7,46.8,29.7,38.5,22.1,37.4,18.0,61.6,1.7,44.8,7.0,56.3,52.3
