TEAM,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
Atlanta Hawks,81.0,24.0,57.0,240.3,103.4,23.0,42.9,30.5,38.5,17.6,36.8,17.8,63.7,1.0,36.1,6.0,55.9,51.1
Boston Celtics,79.0,52.0,27.0,241.6,103.9,20.7,45.9,30.3,39.6,20.5,39.6,15.7,57.7,6.5,42.5,5.2,55.1,51.7
Brooklyn Nets,80.0,27.0,53.0,242.2,106.9,23.9,45.6,31.9,37.5,16.1,34.1,16.6,59.2,3.3,46.3,5.5,54.0,51.5
Charlotte Hornets,82.0,36.0,46.0,241.2,108.2,21.8,46.0,24.9,37.7,23.0,37.5,19.0,63.8,7.2,43.9,4.9,50.8,50.8
Chicago Bulls,82.0,27.0,55.0,242.1,102.9,18.8,41.0,29.1,37.4,19.8,36.0,17.7,59.9,5.6,49.6,5.8,54.1,49.7
Cleveland Cavaliers,82.0,50.0,32.0,240.6,110.9,20.1,51.2,30.3,38.5,19.0,36.9,18.7,64.7,6.0,50.1,4.7,60.8,54.7
Dallas Mavericks,82.0,24.0,58.0,241.5,102.3,20.0,43.9,31.4,39.6,20.6,34.9,16.2,65.7,5.2,46.3,5.1,60.5,51.3
Denver Nuggets,82.0,46.0,36.0,242.4,110.0,22.8,47.1,29.5,40.0,16.4,36.6,20.3,63.3,6.6,46.0,4.6,56.4,53.6
Detroit Pistons,82.0,39.0,43.0,241.5,103.8,20.9,42.6,29.1,38.6,19.0,38.6,19.0,57.7,4.1,45.1,4.5,47.3,51.2
Golden State Warriors,82.0,58.0,24.0,240.6,113.5,13.3,47.9,32.3,43.4,24.2,42.4,22.7,66.2,5.9,46.8,8.8,60.5,56.9
Houston Rockets,82.0,65.0,17.0,240.9,112.4,23.5,49.6,29.5,36.8,24.4,38.8,16.4,63.3,2.8,49.2,5.4,56.7,55.1
Indiana Pacers,82.0,48.0,34.0,240.9,105.6,20.4,49.4,27.1,39.5,21.3,41.1,16.6,60.9,5.6,47.9,7.8,52.8,52.5
LA Clippers,82.0,42.0,40.0,240.3,109.0,24.1,45.8,20.6,36.7,19.5,37.2,22.6,66.3,4.8,45.2,5.1,63.8,52.7
Los Angeles Lakers,82.0,35.0,47.0,242.7,108.1,20.7,45.9,26.5,36.0,14.7,33.8,20.6,63.8,6.2,45.6,6.4,55.0,51.7
Memphis Grizzlies,82.0,22.0,60.0,240.3,99.3,21.2,46.0,27.1,37.8,15.5,35.2,17.9,58.4,5.3,39.5,5.7,49.9,50.0
Miami Heat,81.0,43.0,38.0,243.1,103.4,22.7,47.7,31.5,36.8,14.4,36.0,17.8,63.0,3.8,43.3,5.0,48.7,52.0
Milwaukee Bucks,81.0,44.0,37.0,241.9,106.7,21.9,50.0,24.9,37.8,19.5,40.2,18.8,63.3,3.6,50.2,5.7,54.3,53.1
Minnesota Timberwolves,82.0,47.0,35.0,241.5,109.5,23.8,48.9,23.8,39.8,20.0,37.4,22.3,66.1,9.2,50.7,6.6,58.4,52.3
New Orleans Pelicans,82.0,48.0,34.0,243.4,111.7,22.9,50.9,27.4,36.8,18.3,39.8,23.2,65.7,6.9,45.5,6.5,54.5,54.1
New York Knicks,81.0,28.0,53.0,241.9,104.4,17.6,44.4,26.9,39.2,19.3,37.4,21.9,62.6,8.9,46.6,9.1,55.7,50.9
Oklahoma City Thunder,80.0,48.0,32.0,241.9,108.2,19.1,47.2,29.0,37.8,20.7,36.1,19.9,61.2,5.3,47.2,7.0,57.9,51.5
Orlando Magic,82.0,25.0,57.0,240.6,103.4,22.0,45.0,29.5,37.2,15.2,35.2,17.7,59.3,4.0,43.6,6.2,54.5,51.2
Philadelphia 76ers,81.0,52.0,29.0,241.2,109.9,17.3,45.4,33.5,38.6,15.1,39.0,22.1,63.6,8.9,46.7,5.5,54.0,53.5
Phoenix Suns,82.0,21.0,61.0,240.3,103.9,21.5,42.4,24.2,35.6,18.0,34.4,20.0,62.0,3.6,43.3,6.2,51.4,49.5
Portland Trail Blazers,82.0,49.0,33.0,240.9,105.6,20.3,43.2,24.2,38.1,24.6,39.6,17.2,60.4,4.6,43.0,5.3,52.1,51.1
Sacramento Kings,82.0,27.0,55.0,240.9,98.8,17.4,41.8,25.6,40.5,20.2,37.0,18.8,59.0,7.5,42.9,7.4,49.3,50.2
San Antonio Spurs,82.0,47.0,35.0,240.6,102.7,20.1,46.0,26.0,36.9,19.4,38.8,20.7,62.4,10.8,45.6,5.9,54.4,50.7
Toronto Raptors,82.0,59.0,23.0,241.8,111.7,24.9,48.1,30.8,37.5,16.8,37.3,19.8,67.1,3.5,51.1,6.4,57.7,53.9
Utah Jazz,82.0,48.0,34.0,240.9,104.1,23.3,45.2,26.3,38.5,19.5,37.0,19.6,67.5,1.1,39.4,7.5,55.7,52.7
Washington Wizards,82.0,43.0,39.0,242.1,106.6,19.2,46.2,30.7,41.9,19.1,37.5,18.7,61.3,4.7,46.7,6.7,53.4,52.5
