TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Los Angeles Lakers,43.0,31.0,12.0,4.5,3.0,7.6,39.0,0.7,2.3,28.3,1.5,2.0,75.0,1.0,2.7,3.7,1.7,0.9,0.5,0.3,0.7,2.5,1.5,8.1,-2.1
Memphis Grizzlies,43.0,27.0,16.0,3.4,2.0,5.0,39.8,0.4,1.4,28.8,2.7,3.4,78.1,0.7,2.2,2.9,0.9,1.3,0.3,0.4,0.4,2.2,2.1,7.0,-1.0
Atlanta Hawks,36.0,24.0,12.0,5.1,3.1,8.2,38.3,0.4,2.1,18.9,2.4,3.1,79.1,1.0,3.1,4.1,1.6,1.2,0.5,0.4,0.5,3.1,2.3,9.1,-2.1
Utah Jazz,41.0,24.0,17.0,4.9,3.1,7.8,39.5,0.8,2.4,32.0,2.9,3.6,78.5,1.0,3.4,4.4,1.2,1.1,0.7,0.7,0.6,2.5,2.6,9.8,-0.2
Houston Rockets,43.0,23.0,20.0,4.0,2.7,6.4,41.2,0.4,1.6,26.5,2.2,2.9,74.6,0.9,2.6,3.5,1.3,1.0,0.6,0.5,0.4,2.4,2.2,7.9,-0.5
Chicago Bulls,30.0,22.0,8.0,3.1,2.0,5.1,40.1,0.4,1.2,30.6,1.7,2.6,64.1,0.7,1.8,2.6,1.0,0.8,0.5,0.6,0.5,2.2,1.7,6.1,-1.4
San Antonio Spurs,31.0,22.0,9.0,4.3,2.9,7.1,40.6,0.5,1.9,25.0,1.4,2.3,62.0,1.0,3.0,4.0,1.3,1.1,0.6,0.5,0.4,2.8,1.7,7.6,-2.0
Indiana Pacers,30.0,21.0,9.0,4.6,2.7,7.5,36.2,0.4,2.1,17.2,2.6,3.5,73.3,1.0,2.7,3.6,1.4,1.1,0.6,0.5,0.6,3.1,2.2,8.3,-2.4
Los Angeles Clippers,40.0,21.0,19.0,4.6,2.7,7.0,37.9,0.7,2.0,34.6,4.0,5.2,75.6,1.1,2.9,3.9,1.5,1.5,0.7,0.4,0.4,2.7,3.4,10.0,0.1
Boston Celtics,31.0,18.0,13.0,3.8,2.5,6.5,38.0,0.4,1.9,20.7,2.2,2.7,79.8,1.3,2.4,3.7,1.2,0.8,0.5,0.4,0.4,1.7,1.9,7.5,-0.6
Denver Nuggets,34.0,18.0,16.0,5.4,3.9,9.1,42.4,0.9,2.9,31.3,2.6,3.2,82.4,1.2,3.7,4.9,1.9,1.4,0.5,1.1,0.4,3.1,2.5,11.2,0.0
Miami Heat,29.0,18.0,11.0,4.5,2.9,7.1,41.5,0.4,1.9,23.6,2.1,3.1,67.0,1.2,3.1,4.3,1.6,1.5,0.4,0.4,0.4,2.7,2.3,8.4,-1.0
Milwaukee Bucks,40.0,18.0,22.0,3.1,2.1,5.0,41.3,0.5,1.2,40.8,2.3,3.0,75.2,1.1,2.6,3.7,1.0,0.9,0.4,0.2,0.4,1.8,1.9,6.9,0.5
Oklahoma City Thunder,32.0,18.0,14.0,4.9,3.3,8.7,37.5,0.8,2.3,34.2,3.0,3.9,76.2,1.5,3.2,4.7,1.3,1.3,0.6,0.5,1.1,2.7,2.8,10.3,-0.4
Orlando Magic,33.0,17.0,16.0,3.8,2.6,6.5,39.8,0.5,1.9,27.0,1.7,2.2,76.4,0.9,2.6,3.5,1.2,0.8,0.5,0.5,0.4,2.5,2.0,7.4,-1.0
Minnesota Timberwolves,41.0,16.0,25.0,3.5,2.5,5.9,42.9,0.4,1.4,30.5,2.6,3.4,76.6,0.7,2.4,3.1,1.4,0.9,0.5,0.4,0.5,1.9,2.4,8.1,0.5
New Orleans Hornets,40.0,16.0,24.0,4.2,2.7,6.8,39.9,0.6,1.9,29.9,2.7,3.4,77.9,1.3,2.6,3.8,1.5,0.8,0.6,0.5,0.3,1.7,2.4,8.6,1.0
New York Knicks,31.0,16.0,15.0,3.7,2.5,6.6,37.6,0.5,1.9,29.3,2.5,3.5,73.1,1.4,2.6,3.9,1.3,0.9,0.4,0.5,0.4,1.7,2.2,8.1,0.1
Phoenix Suns,33.0,16.0,17.0,2.9,2.2,4.6,48.4,0.5,1.4,31.9,2.0,2.5,79.3,0.6,1.9,2.5,1.3,0.7,0.5,0.2,0.3,1.6,1.6,6.9,0.9
Dallas Mavericks,32.0,15.0,17.0,4.9,3.4,7.5,45.4,0.7,1.9,37.7,2.4,3.5,68.8,0.9,3.1,4.0,1.5,1.3,0.5,0.5,0.3,2.6,2.4,9.9,0.3
Sacramento Kings,33.0,15.0,18.0,4.1,2.7,6.9,39.6,0.6,1.9,33.9,2.1,2.7,77.3,1.0,2.5,3.5,1.5,1.4,0.6,0.5,0.6,2.4,1.9,8.2,-0.3
Detroit Pistons,31.0,14.0,17.0,3.8,2.7,6.4,42.7,0.6,1.9,31.7,2.3,2.9,78.7,1.2,2.7,3.9,1.4,1.1,0.8,0.2,0.5,2.3,2.2,8.4,0.8
New Jersey Nets,32.0,13.0,19.0,3.5,2.7,5.7,47.0,0.7,1.8,38.6,2.6,3.2,82.4,0.7,2.2,2.8,1.4,0.7,0.6,0.4,0.3,1.7,2.1,8.7,1.3
Golden State Warriors,38.0,12.0,26.0,4.2,3.6,7.4,48.9,0.6,1.8,35.8,1.8,2.5,72.6,1.3,3.2,4.5,1.9,1.2,0.8,0.7,0.3,1.9,1.9,9.7,2.0
Portland Trail Blazers,32.0,12.0,20.0,4.3,2.9,6.8,43.1,0.7,1.7,38.9,2.0,2.6,79.3,0.9,2.9,3.8,1.6,1.3,0.7,0.3,0.5,1.8,2.3,8.6,0.7
Toronto Raptors,34.0,12.0,22.0,3.9,2.7,6.5,42.3,0.6,1.8,34.4,3.3,4.5,73.9,1.0,2.6,3.6,1.5,0.7,0.7,0.5,0.5,1.9,3.2,9.4,1.8
Cleveland Cavaliers,31.0,11.0,20.0,3.8,3.0,7.1,42.5,0.5,1.7,28.3,2.2,2.6,83.8,1.2,2.6,3.8,1.6,1.0,0.5,0.5,0.4,2.2,1.8,8.7,0.7
Washington Wizards,27.0,9.0,18.0,3.4,2.5,6.3,39.4,0.7,2.0,33.3,2.3,3.0,76.3,1.5,2.6,4.1,1.4,0.7,0.4,0.3,0.5,2.0,2.1,7.9,1.4
Philadelphia 76ers,27.0,7.0,20.0,3.6,2.3,6.1,38.2,0.4,1.5,26.8,3.1,3.9,79.2,1.1,2.7,3.9,0.9,0.8,0.3,0.3,0.4,1.7,2.7,8.2,1.6
Charlotte Bobcats,24.0,5.0,19.0,3.2,2.6,5.9,44.7,0.6,1.6,36.8,2.4,3.2,74.0,0.9,2.3,3.2,1.4,0.6,0.5,0.4,0.3,1.3,2.2,8.2,2.6
