TEAM,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
Atlanta Hawks,82.0,43.0,39.0,242.4,103.2,20.0,43.8,27.4,36.9,16.6,38.6,21.1,61.7,5.7,46.8,4.5,50.3,50.4
Boston Celtics,82.0,53.0,29.0,240.9,108.0,20.3,46.9,32.2,37.6,17.0,37.2,18.7,62.6,5.8,49.1,4.4,56.0,52.5
Brooklyn Nets,81.0,20.0,61.0,240.9,105.8,23.5,46.1,28.6,35.9,14.0,34.4,17.7,62.3,7.4,47.8,7.0,56.2,50.7
Charlotte Hornets,82.0,36.0,46.0,241.8,104.9,20.5,44.2,27.4,37.1,21.1,36.7,17.1,62.6,4.8,49.2,6.9,56.4,50.1
Chicago Bulls,82.0,41.0,41.0,241.2,102.9,19.9,44.4,25.5,37.3,18.0,35.5,20.7,58.9,7.7,45.7,6.7,51.8,48.7
Cleveland Cavaliers,82.0,51.0,31.0,242.4,110.3,19.6,47.5,33.3,39.3,20.9,40.0,15.6,64.3,5.4,41.6,5.9,65.0,54.7
Dallas Mavericks,81.0,32.0,49.0,241.2,97.7,19.0,47.0,31.3,37.2,22.0,39.4,12.7,65.8,6.1,45.6,5.0,57.5,50.4
Denver Nuggets,81.0,39.0,42.0,240.9,111.4,20.3,45.4,30.3,40.0,15.0,34.2,23.9,62.4,7.3,49.2,6.4,56.5,52.8
Detroit Pistons,82.0,37.0,45.0,241.5,101.3,19.5,45.8,23.9,36.9,23.7,39.4,22.1,59.6,7.2,42.5,5.5,55.4,49.2
Golden State Warriors,82.0,67.0,15.0,241.2,115.9,14.3,47.8,35.1,41.9,19.6,39.9,24.3,66.0,4.8,45.6,8.0,55.1,56.3
Houston Rockets,82.0,55.0,27.0,241.2,115.3,20.3,45.9,32.4,36.9,17.4,35.1,22.1,65.0,2.0,47.5,7.6,62.5,54.5
Indiana Pacers,81.0,42.0,39.0,242.2,105.0,18.1,45.0,29.5,39.8,17.4,39.7,20.2,62.7,7.1,45.8,7.6,53.8,51.6
LA Clippers,82.0,51.0,31.0,240.9,108.7,18.1,47.8,26.9,39.4,25.0,41.6,19.5,66.5,6.2,49.6,5.1,56.7,53.7
Los Angeles Lakers,82.0,26.0,56.0,240.3,104.6,20.8,44.4,22.5,37.2,20.6,35.9,20.2,59.7,4.8,40.8,7.4,53.7,50.1
Memphis Grizzlies,82.0,43.0,39.0,242.7,100.5,16.2,43.2,29.1,37.7,14.9,35.5,19.6,55.5,11.2,44.6,6.8,48.5,49.1
Miami Heat,82.0,41.0,41.0,241.2,103.2,21.0,44.0,29.8,37.5,15.2,37.0,19.6,60.4,4.4,44.3,5.2,49.2,51.2
Milwaukee Bucks,82.0,42.0,40.0,241.2,103.6,20.0,46.0,28.0,38.3,11.5,36.3,22.2,61.1,6.7,46.5,6.9,52.8,52.7
Minnesota Timberwolves,82.0,31.0,51.0,241.5,105.6,18.0,45.0,24.8,38.7,17.0,37.5,22.5,61.3,11.4,47.3,7.3,57.7,51.1
New Orleans Pelicans,82.0,34.0,48.0,242.7,104.3,21.0,45.7,27.6,37.2,18.0,36.7,17.3,63.2,6.5,43.4,7.4,53.0,50.4
New York Knicks,82.0,31.0,51.0,242.1,104.3,16.6,42.6,29.3,38.6,21.4,39.5,19.2,58.3,7.2,42.7,8.5,54.2,49.6
Oklahoma City Thunder,82.0,47.0,35.0,241.5,106.6,17.0,43.2,23.9,34.5,16.8,35.9,22.7,57.9,9.2,51.6,8.2,54.3,50.0
Orlando Magic,82.0,29.0,53.0,241.5,101.1,18.3,43.6,29.1,36.5,16.1,36.0,19.3,60.3,6.3,42.2,7.1,55.9,48.9
Philadelphia 76ers,82.0,28.0,54.0,241.8,102.4,20.7,45.1,29.7,36.3,13.3,32.6,20.4,60.0,6.5,45.6,7.3,56.8,50.1
Phoenix Suns,80.0,23.0,57.0,241.9,107.7,22.1,44.2,21.6,34.8,21.6,37.8,22.0,60.3,4.4,41.4,6.8,48.7,49.2
Portland Trail Blazers,82.0,41.0,41.0,243.1,107.9,22.2,44.9,27.3,39.2,23.1,40.9,16.6,57.9,3.7,46.7,6.6,54.4,52.0
Sacramento Kings,82.0,32.0,50.0,242.4,102.8,17.9,44.8,27.3,39.2,16.9,38.6,20.2,58.8,8.1,49.1,8.1,54.3,51.6
San Antonio Spurs,81.0,61.0,20.0,241.5,105.3,16.9,44.0,31.3,41.9,19.1,39.0,19.2,64.4,8.6,44.4,6.0,52.5,52.4
Toronto Raptors,81.0,50.0,31.0,241.2,106.7,26.4,48.8,25.6,37.4,21.4,41.6,16.7,59.0,4.6,45.8,4.2,57.5,51.7
Utah Jazz,82.0,51.0,31.0,240.9,100.7,21.8,46.6,25.3,38.5,19.0,38.6,21.9,64.0,3.5,45.7,6.4,54.8,52.6
Washington Wizards,82.0,49.0,33.0,242.1,109.2,20.2,48.5,28.8,40.4,20.5,41.0,20.3,60.3,5.3,45.1,7.3,56.6,52.8
