TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Milwaukee Bucks,72.0,72.0,100.0,42.4,92.9,45.6,53.6,58.5,27.6,54.3,50.7,41.5,14.8,38.6,38.4
Washington Wizards,72.0,72.0,100.0,43.1,91.5,47.1,53.8,63.2,30.6,57.8,53.0,36.8,12.4,33.7,36.9
Indiana Pacers,72.0,72.0,100.0,42.7,91.3,46.8,53.1,65.6,31.2,59.9,52.1,34.4,11.5,31.5,36.6
Brooklyn Nets,72.0,72.0,100.0,41.9,91.3,45.9,53.2,60.3,28.7,55.1,52.1,39.7,13.2,36.2,36.5
Utah Jazz,72.0,72.0,100.0,40.8,91.3,44.7,50.7,65.2,30.0,59.5,50.4,34.8,10.9,31.8,34.2
Oklahoma City Thunder,72.0,72.0,100.0,43.0,90.9,47.4,54.8,59.4,29.5,54.0,54.7,40.6,13.5,36.9,36.6
San Antonio Spurs,72.0,72.0,100.0,42.4,89.8,47.2,54.1,63.7,30.1,57.1,52.7,36.3,12.3,32.6,37.6
Orlando Magic,72.0,72.0,100.0,42.2,89.7,47.1,54.7,59.0,28.5,52.9,53.9,41.0,13.7,36.8,37.3
Sacramento Kings,72.0,72.0,100.0,43.6,89.4,48.8,55.7,63.5,31.2,56.8,55.0,36.5,12.4,32.6,38.0
Minnesota Timberwolves,72.0,72.0,100.0,43.0,89.2,48.2,55.6,62.5,29.9,55.7,53.7,37.5,13.1,33.5,39.2
New Orleans Pelicans,72.0,72.0,100.0,41.8,89.1,47.0,55.1,57.3,27.4,51.0,53.6,42.7,14.5,38.1,38.0
Atlanta Hawks,72.0,72.0,100.0,41.2,89.1,46.3,53.0,61.7,29.3,54.9,53.4,38.3,11.9,34.1,34.9
Memphis Grizzlies,72.0,72.0,100.0,41.0,88.7,46.2,53.5,60.5,28.1,53.6,52.5,39.5,12.9,35.1,36.7
Golden State Warriors,72.0,72.0,100.0,39.9,88.4,45.2,52.2,61.2,27.6,54.0,51.1,38.8,12.3,34.3,35.9
Portland Trail Blazers,72.0,72.0,100.0,41.8,88.3,47.3,54.6,60.8,28.9,53.6,53.8,39.2,12.9,34.6,37.2
Houston Rockets,72.0,72.0,100.0,42.4,88.3,48.0,55.6,60.6,29.1,53.4,54.5,39.4,13.3,34.8,38.1
Charlotte Hornets,72.0,72.0,100.0,41.3,88.1,46.8,55.0,55.1,26.8,48.6,55.2,44.9,14.5,39.6,36.6
Chicago Bulls,72.0,72.0,100.0,41.4,87.7,47.3,53.8,63.1,29.9,55.3,54.1,36.9,11.5,32.4,35.6
Dallas Mavericks,72.0,72.0,100.0,40.1,87.0,46.0,53.4,59.5,27.2,51.8,52.5,40.5,12.8,35.2,36.5
Philadelphia 76ers,72.0,72.0,100.0,39.4,86.9,45.3,52.1,62.0,27.5,53.9,51.0,38.0,11.9,33.0,36.0
Detroit Pistons,72.0,72.0,100.0,41.0,86.0,47.7,54.2,64.0,29.8,55.0,54.3,36.0,11.2,31.0,36.1
Boston Celtics,72.0,72.0,100.0,39.9,85.9,46.5,53.9,60.1,27.1,51.6,52.5,39.9,12.8,34.3,37.4
Phoenix Suns,72.0,72.0,100.0,40.1,85.9,46.7,53.4,62.1,28.5,53.3,53.5,37.9,11.6,32.6,35.5
LA Clippers,72.0,72.0,100.0,39.8,85.8,46.3,53.0,62.3,28.3,53.4,52.9,37.7,11.5,32.4,35.5
New York Knicks,72.0,72.0,100.0,37.7,85.6,44.0,51.0,58.7,25.8,50.2,51.3,41.3,12.0,35.4,33.8
Cleveland Cavaliers,72.0,71.0,100.0,41.4,85.5,48.4,55.6,62.6,29.1,53.6,54.4,37.4,12.3,32.0,38.4
Miami Heat,72.0,72.0,100.0,39.1,85.2,45.9,54.3,54.1,24.8,46.1,53.9,45.9,14.3,39.1,36.5
Los Angeles Lakers,72.0,71.0,100.0,39.2,85.2,46.0,52.6,62.5,28.0,53.2,52.5,37.5,11.2,31.9,35.2
Toronto Raptors,72.0,72.0,100.0,39.0,84.7,46.1,54.3,56.7,25.1,48.0,52.3,43.3,13.9,36.7,37.9
Denver Nuggets,72.0,72.0,100.0,39.6,84.6,46.8,54.4,58.2,26.8,49.3,54.3,41.8,12.8,35.3,36.3
