TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Golden State Warriors,82.0,73.0,9.0,48.5,38.9,89.4,43.5,7.8,23.5,33.2,18.6,24.5,75.7,11.4,32.5,43.9,22.2,14.5,8.7,4.1,6.1,19.8,20.7,104.1,-10.8
San Antonio Spurs,82.0,67.0,15.0,48.1,35.7,81.8,43.6,6.6,19.9,33.1,14.9,19.6,75.8,9.1,31.4,40.5,20.8,14.8,7.2,3.9,5.9,19.5,17.5,92.9,-10.6
Cleveland Cavaliers,82.0,57.0,25.0,48.4,36.8,82.1,44.8,7.9,22.7,34.7,16.8,22.6,74.3,9.3,31.8,41.0,21.4,13.3,7.2,4.4,3.9,20.6,20.3,98.3,-6.0
Toronto Raptors,82.0,56.0,26.0,48.2,36.5,82.1,44.4,8.7,23.4,37.3,16.5,22.1,74.8,9.5,31.2,40.8,21.7,13.3,6.5,5.4,5.5,22.0,19.6,98.2,-4.5
Oklahoma City Thunder,82.0,55.0,27.0,48.4,38.4,87.7,43.8,8.1,23.8,34.2,18.0,23.8,75.6,11.3,28.9,40.2,21.5,13.0,8.8,4.5,5.9,20.2,20.6,102.9,-7.3
LA Clippers,82.0,53.0,29.0,48.4,36.8,84.7,43.4,7.9,23.3,33.8,18.8,25.1,75.1,11.8,34.9,46.7,21.2,15.4,7.1,3.2,5.6,22.5,21.3,100.2,-4.3
Atlanta Hawks,82.0,48.0,34.0,48.4,37.1,86.1,43.2,8.3,24.5,33.8,16.7,22.1,75.5,11.5,35.0,46.5,22.0,16.1,8.6,5.0,5.9,18.3,19.1,99.2,-3.6
Boston Celtics,82.0,48.0,34.0,48.2,37.5,85.0,44.1,7.8,23.3,33.6,19.7,26.0,75.5,11.4,34.6,46.0,20.9,16.4,7.6,5.5,4.2,21.0,21.9,102.5,-3.2
Charlotte Hornets,82.0,48.0,34.0,48.4,37.8,85.0,44.4,8.9,25.4,34.9,16.3,21.2,76.9,8.9,35.8,44.7,23.2,13.4,6.7,5.5,5.3,20.4,18.1,100.7,-2.7
Miami Heat,82.0,48.0,34.0,48.4,37.2,84.3,44.2,7.4,21.2,34.7,16.5,21.5,77.0,9.8,31.5,41.3,20.2,12.9,7.5,4.1,6.5,19.6,18.3,98.4,-1.6
Indiana Pacers,82.0,45.0,37.0,48.5,37.4,84.9,44.0,8.3,24.8,33.4,17.4,23.2,75.1,10.7,33.8,44.5,20.8,15.8,7.7,4.5,4.8,20.4,20.0,100.5,-1.7
Detroit Pistons,82.0,44.0,38.0,48.5,38.8,84.2,46.1,7.3,20.5,35.5,16.5,21.0,78.3,8.8,33.7,42.5,21.5,13.4,7.1,4.5,3.7,21.6,19.0,101.4,-0.6
Portland Trail Blazers,82.0,44.0,38.0,48.3,38.4,84.7,45.3,8.5,23.0,37.1,19.0,26.0,73.4,10.6,33.1,43.7,21.6,13.3,7.7,5.2,4.6,19.5,21.7,104.3,-0.8
Chicago Bulls,82.0,42.0,40.0,48.5,39.4,89.4,44.1,7.9,23.0,34.5,16.3,22.1,73.7,11.8,34.1,45.9,22.5,11.9,8.0,5.7,5.7,18.7,18.8,103.1,1.5
Dallas Mavericks,82.0,42.0,40.0,48.8,38.3,85.0,45.1,9.1,26.5,34.2,16.9,22.8,73.8,10.6,35.2,45.8,22.0,13.9,7.5,4.4,3.7,21.4,19.5,102.6,0.3
Memphis Grizzlies,82.0,42.0,40.0,48.4,35.9,78.8,45.6,9.7,26.6,36.5,19.7,25.7,76.8,10.1,33.1,43.2,21.9,16.2,7.0,5.7,4.3,21.1,21.7,101.3,2.2
Houston Rockets,82.0,41.0,41.0,48.4,39.0,85.1,45.9,9.7,26.9,36.1,18.6,24.6,75.6,11.8,32.8,44.6,24.6,16.6,9.0,4.9,5.2,22.5,21.8,106.4,-0.2
Washington Wizards,82.0,41.0,41.0,48.2,38.7,83.8,46.2,9.0,24.2,37.1,18.3,23.7,76.9,9.4,34.9,44.3,22.5,16.2,8.1,4.3,3.9,20.1,20.8,104.6,0.5
Utah Jazz,82.0,40.0,42.0,48.7,35.6,79.9,44.6,7.9,22.2,35.7,16.8,22.5,74.6,9.3,30.8,40.1,19.1,14.0,8.0,4.7,5.2,19.9,20.2,95.9,-1.8
Orlando Magic,82.0,35.0,47.0,48.5,38.4,83.5,46.0,8.9,24.9,35.9,17.9,24.0,74.6,10.1,34.1,44.3,23.2,15.1,7.6,5.5,5.1,18.3,20.7,103.7,1.6
Denver Nuggets,82.0,33.0,49.0,48.4,38.8,84.2,46.1,9.2,24.8,37.1,18.2,23.9,76.1,9.7,32.9,42.7,23.5,13.7,8.0,6.3,4.8,20.9,21.0,105.0,3.1
Milwaukee Bucks,82.0,33.0,49.0,48.4,37.8,83.1,45.4,9.3,26.5,35.2,18.4,23.9,76.8,11.5,31.5,43.0,24.5,15.5,8.3,5.6,5.8,19.5,20.7,103.2,4.2
Sacramento Kings,82.0,33.0,49.0,48.3,40.6,87.7,46.2,10.2,28.0,36.6,17.7,23.2,76.2,11.3,33.7,45.0,24.2,16.0,8.8,5.3,4.5,22.0,20.4,109.1,2.5
New York Knicks,82.0,32.0,50.0,48.3,38.0,85.8,44.3,7.6,22.4,34.1,17.5,23.2,75.4,10.9,33.3,44.2,20.8,11.3,7.2,4.2,5.7,18.5,19.7,101.1,2.7
New Orleans Pelicans,82.0,30.0,52.0,48.2,39.2,83.9,46.8,9.2,24.9,36.9,18.8,24.0,78.3,8.9,35.5,44.4,23.2,13.7,7.3,5.2,4.2,19.9,20.9,106.5,3.8
Minnesota Timberwolves,82.0,29.0,53.0,48.5,40.0,84.9,47.1,9.0,25.5,35.5,17.0,22.5,75.7,10.7,31.2,41.9,22.6,14.9,7.8,5.2,4.6,21.6,20.7,106.0,3.5
Phoenix Suns,82.0,23.0,59.0,48.1,39.1,83.8,46.7,9.4,24.9,37.7,19.9,26.5,74.9,9.9,33.8,43.7,22.4,14.9,9.5,5.5,3.8,21.6,22.7,107.5,6.7
Brooklyn Nets,82.0,21.0,61.0,48.2,40.8,85.2,47.9,9.5,25.6,36.9,15.0,19.6,76.3,10.2,33.2,43.4,24.5,14.2,8.8,5.2,4.0,18.4,18.0,106.0,7.4
Los Angeles Lakers,82.0,17.0,65.0,48.1,40.5,85.6,47.3,8.5,24.6,34.7,17.3,23.7,73.1,10.9,35.5,46.5,24.7,12.6,7.5,5.6,4.1,19.2,20.3,106.9,9.6
Philadelphia 76ers,82.0,10.0,72.0,48.3,39.7,85.4,46.4,7.8,21.7,35.9,20.5,26.1,78.6,11.1,36.4,47.6,23.4,15.1,8.7,5.7,6.0,19.2,21.7,107.6,10.2
