TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
Boston Celtics,82.0,66.0,16.0,3951.0,108.8,98.1,10.8,61.4,1.47,17.6,30.6,70.7,51.8,16.4,52.2,56.9,91.88,58.1,7575.0
Detroit Pistons,82.0,59.0,23.0,3946.0,109.8,101.5,8.3,61.1,1.92,17.8,32.7,70.0,51.3,13.1,49.5,53.9,88.54,55.2,7279.0
Los Angeles Lakers,82.0,57.0,25.0,3956.0,111.7,104.3,7.3,61.7,1.73,18.1,29.7,70.2,50.7,14.5,52.5,57.0,96.7,55.1,7974.0
New Orleans Hornets,82.0,56.0,26.0,3961.0,110.0,104.4,5.6,56.4,1.83,17.2,30.0,71.7,50.6,13.0,51.2,54.8,91.04,52.6,7517.0
San Antonio Spurs,82.0,56.0,26.0,3946.0,106.0,100.7,5.3,58.5,1.66,17.1,26.8,73.3,50.3,14.0,50.4,54.3,89.72,53.3,7377.0
Houston Rockets,82.0,55.0,27.0,3946.0,105.4,100.5,4.8,58.5,1.56,16.8,32.3,71.1,51.9,15.0,49.2,52.8,91.42,53.5,7525.0
Phoenix Suns,82.0,55.0,27.0,3956.0,112.0,107.0,5.0,64.5,1.85,19.7,25.3,67.4,48.1,14.7,55.1,59.0,97.72,55.6,8058.0
Utah Jazz,82.0,54.0,28.0,3941.0,112.1,104.9,7.2,66.0,1.8,19.6,32.7,71.0,52.1,15.4,52.8,57.3,94.64,55.6,7773.0
Orlando Magic,82.0,52.0,30.0,3956.0,110.4,104.9,5.6,55.8,1.45,16.4,27.4,70.9,50.1,15.1,53.7,57.5,94.02,52.9,7757.0
Dallas Mavericks,82.0,51.0,31.0,3946.0,109.5,104.7,4.8,56.9,1.66,16.7,30.0,71.6,51.4,13.8,50.2,55.4,91.38,53.6,7518.0
Denver Nuggets,82.0,50.0,32.0,3971.0,108.9,105.5,3.4,61.2,1.68,17.7,29.2,68.6,49.4,14.4,51.0,55.7,100.58,52.9,8330.0
Golden State Warriors,82.0,48.0,34.0,3956.0,110.4,108.5,1.9,53.9,1.69,16.3,30.1,67.2,48.1,13.1,51.1,54.8,99.96,49.6,8249.0
Cleveland Cavaliers,82.0,45.0,37.0,3971.0,104.8,105.4,-0.6,55.8,1.43,15.7,33.4,71.5,51.8,15.2,48.0,52.0,91.06,49.0,7540.0
Washington Wizards,82.0,43.0,39.0,3981.0,107.6,107.9,-0.3,53.8,1.49,15.6,32.0,69.5,50.3,14.4,48.9,53.5,90.85,48.8,7533.0
Portland Trail Blazers,82.0,41.0,41.0,3981.0,105.9,106.8,-0.8,59.0,1.64,17.0,30.3,68.4,49.5,14.3,48.9,53.2,89.1,49.5,7381.0
Toronto Raptors,82.0,41.0,41.0,3966.0,108.9,105.6,3.3,62.0,2.04,18.7,26.9,70.9,48.9,12.7,51.1,55.1,91.35,51.9,7543.0
Philadelphia 76ers,82.0,40.0,42.0,3951.0,105.1,104.7,0.5,54.7,1.43,15.9,35.1,68.8,51.5,15.6,48.2,52.2,91.56,50.0,7536.0
Sacramento Kings,82.0,38.0,44.0,3966.0,106.2,108.6,-2.4,51.5,1.19,14.9,29.0,68.9,49.3,16.6,50.3,55.6,95.81,48.3,7920.0
Atlanta Hawks,82.0,37.0,45.0,3971.0,105.5,107.3,-1.8,60.6,1.48,17.0,32.9,68.2,50.6,16.0,48.3,53.5,92.35,49.8,7634.0
Indiana Pacers,82.0,36.0,46.0,3951.0,105.1,106.3,-1.2,60.1,1.51,16.9,27.8,70.1,48.7,15.2,49.8,54.0,98.64,48.5,8111.0
New Jersey Nets,82.0,34.0,48.0,3966.0,102.3,107.7,-5.4,67.4,1.57,18.0,30.0,70.6,50.2,16.0,48.1,52.8,92.96,47.5,7679.0
Chicago Bulls,82.0,33.0,49.0,3961.0,102.9,106.0,-3.1,60.6,1.51,16.7,32.5,68.7,50.0,15.4,47.0,51.5,94.04,48.0,7754.0
Charlotte Bobcats,82.0,32.0,50.0,3976.0,103.7,108.2,-4.5,59.1,1.45,16.6,29.4,67.4,48.3,15.7,49.2,53.2,92.75,46.9,7678.0
Milwaukee Bucks,82.0,26.0,56.0,3971.0,103.9,111.1,-7.2,58.2,1.45,16.5,33.2,69.4,50.6,15.8,48.2,52.2,92.61,45.2,7654.0
Los Angeles Clippers,82.0,23.0,59.0,3961.0,99.9,107.4,-7.5,61.4,1.47,16.7,26.7,70.3,48.4,15.3,46.5,51.9,93.38,46.1,7698.0
New York Knicks,82.0,23.0,59.0,3976.0,103.5,110.4,-6.8,51.6,1.29,14.7,32.1,69.7,50.2,15.5,47.5,51.8,92.76,44.0,7676.0
Memphis Grizzlies,82.0,22.0,60.0,3961.0,103.9,110.2,-6.3,51.4,1.26,14.9,27.7,70.6,48.9,15.7,50.0,53.9,96.33,45.1,7945.0
Minnesota Timberwolves,82.0,22.0,60.0,3946.0,102.7,110.0,-7.3,53.0,1.37,15.6,31.4,70.3,50.1,15.6,48.4,51.8,92.84,43.5,7632.0
Seattle SuperSonics,82.0,20.0,62.0,3966.0,99.6,108.3,-8.6,55.9,1.33,15.9,30.5,70.0,50.2,16.3,46.7,50.9,97.32,45.0,8030.0
Miami Heat,82.0,15.0,67.0,3966.0,99.4,108.8,-9.4,58.5,1.37,16.3,26.4,68.1,47.0,15.9,48.2,52.2,91.24,44.5,7538.0
