TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Chicago Bulls,47.0,31.0,16.0,3.8,2.7,7.0,38.0,0.4,1.9,23.0,1.8,2.4,74.6,1.2,2.5,3.7,1.4,0.9,0.6,0.4,0.5,2.5,2.0,7.6,-0.9
Memphis Grizzlies,44.0,30.0,14.0,4.4,2.8,7.1,38.9,0.8,2.3,33.3,2.2,2.9,76.4,1.1,2.5,3.6,1.3,1.2,0.7,0.5,0.5,2.5,2.2,8.5,-1.5
Atlanta Hawks,41.0,29.0,12.0,3.0,1.7,4.7,36.6,0.4,1.8,24.3,1.7,2.3,73.4,0.8,2.0,2.8,1.0,0.9,0.3,0.3,0.3,2.2,1.5,5.6,-2.1
Dallas Mavericks,40.0,26.0,14.0,4.1,2.5,6.2,40.9,0.6,2.1,30.1,2.6,3.2,81.1,1.0,2.5,3.4,1.3,1.8,0.5,0.4,0.3,2.5,2.4,8.3,-1.9
Houston Rockets,42.0,25.0,17.0,3.7,2.5,6.3,39.5,0.7,2.2,30.4,2.4,3.1,77.5,1.0,2.4,3.5,1.4,1.0,0.5,0.3,0.3,2.6,2.4,8.0,0.2
Brooklyn Nets,42.0,24.0,18.0,4.1,2.7,7.0,38.2,0.6,2.0,31.0,2.2,3.0,75.2,1.2,2.9,4.1,1.5,0.8,0.6,0.3,0.5,2.2,2.3,8.2,0.4
Los Angeles Clippers,38.0,24.0,14.0,3.4,2.0,5.8,34.7,0.5,1.8,28.4,2.4,3.1,75.6,0.9,2.5,3.3,1.2,0.9,0.3,0.2,0.6,2.4,2.1,6.9,-0.7
Portland Trail Blazers,44.0,24.0,20.0,3.7,2.6,6.5,40.7,0.3,1.5,23.1,2.5,3.0,84.1,0.9,2.4,3.3,1.3,0.9,0.3,0.3,0.3,2.1,2.0,8.1,-0.7
Golden State Warriors,31.0,23.0,8.0,3.1,2.2,5.4,41.3,0.4,1.8,23.6,1.4,1.7,81.5,0.9,2.2,3.1,1.2,1.3,0.4,0.2,0.2,1.9,1.3,6.3,-2.0
Indiana Pacers,48.0,23.0,25.0,4.1,2.5,7.1,35.7,0.6,2.0,28.7,2.6,3.4,75.9,1.2,2.9,4.1,1.2,1.0,0.5,0.3,0.5,2.4,2.3,8.2,-0.1
