TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Milwaukee Bucks,24.0,17.0,7.0,70.8,3.1,8.3,2.8,6.5,42.3,0.6,2.2,28.3,2.2,2.7,81.3,1.4,2.4,3.8,1.4,1.0,0.5,0.5,0.3,1.9,2.1,1.8
Utah Jazz,41.0,28.0,13.0,68.3,3.5,9.0,2.7,6.4,42.9,0.9,2.5,34.3,2.6,3.4,77.7,0.8,2.8,3.6,1.4,0.7,0.4,0.4,0.3,1.9,2.5,1.0
Toronto Raptors,37.0,25.0,12.0,67.6,3.5,9.4,2.8,5.7,48.1,1.0,2.4,41.6,2.9,3.7,78.8,0.6,2.5,3.1,1.5,0.9,0.7,0.2,0.4,1.9,2.4,2.0
Los Angeles Lakers,30.0,20.0,10.0,66.7,3.8,8.9,2.8,6.8,41.0,1.0,3.3,31.3,2.3,3.3,69.0,1.0,2.4,3.4,1.5,0.7,0.7,0.5,0.2,2.1,2.2,1.0
Oklahoma City Thunder,45.0,30.0,15.0,66.7,4.3,11.0,3.4,6.9,49.2,0.9,2.4,37.4,3.3,3.9,84.2,0.7,2.9,3.6,1.3,1.1,0.8,0.5,0.2,1.8,2.9,2.3
Denver Nuggets,45.0,29.0,16.0,64.4,3.9,9.5,3.1,6.7,46.0,0.7,2.0,36.7,2.6,3.3,78.7,1.1,2.6,3.6,1.8,0.8,0.4,0.2,0.4,1.8,2.7,1.2
Indiana Pacers,36.0,22.0,14.0,61.1,4.2,9.3,3.1,7.0,44.2,1.0,2.6,38.3,2.1,2.6,81.5,0.9,2.5,3.5,1.5,1.3,0.6,0.5,0.4,2.3,2.2,1.2
Portland Trail Blazers,37.0,22.0,15.0,59.5,3.6,9.4,3.1,6.6,47.2,1.1,2.7,40.0,2.0,2.5,79.8,0.6,2.4,3.1,1.4,0.5,0.5,0.6,0.4,1.6,1.9,0.6
Houston Rockets,32.0,19.0,13.0,59.4,3.5,9.2,2.7,6.4,42.2,1.0,3.1,33.7,2.8,3.2,87.4,1.1,2.7,3.8,1.4,0.9,0.6,0.5,0.3,1.8,2.2,1.8
LA Clippers,32.0,19.0,13.0,59.4,4.0,10.1,3.2,6.7,47.9,1.2,2.8,41.1,2.6,3.4,74.5,1.2,2.6,3.8,1.7,1.2,0.4,0.4,0.2,2.3,2.2,0.7
Philadelphia 76ers,44.0,26.0,18.0,59.1,3.1,7.3,2.1,5.0,42.5,0.6,1.9,33.3,2.4,2.8,86.3,0.7,2.1,2.8,1.2,1.0,0.5,0.4,0.2,2.0,2.0,0.5
Boston Celtics,42.0,23.0,19.0,54.8,3.4,8.7,2.8,6.3,43.8,0.9,2.5,36.4,2.2,2.8,79.7,0.9,2.5,3.4,1.7,1.0,0.4,0.4,0.4,2.2,2.1,0.6
Brooklyn Nets,40.0,20.0,20.0,50.0,4.4,10.5,3.4,8.0,43.1,0.9,2.9,29.3,2.8,3.6,77.6,1.3,3.1,4.4,1.6,1.2,0.4,0.4,0.6,2.4,2.5,0.7
Charlotte Hornets,34.0,17.0,17.0,50.0,4.4,10.6,3.3,6.6,49.6,1.3,3.0,42.6,2.7,3.5,77.5,0.9,2.8,3.6,1.8,1.2,0.4,0.5,0.2,2.2,2.6,0.9
Miami Heat,36.0,18.0,18.0,50.0,4.3,9.1,2.7,7.1,37.7,0.9,3.3,27.7,2.8,3.8,72.3,0.8,2.6,3.4,1.7,0.8,0.4,0.6,0.2,2.1,2.7,-1.1
