TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Dallas Mavericks,82.0,60.0,22.0,48.2,35.7,81.5,43.8,5.8,17.1,34.0,18.0,24.8,72.7,12.7,32.7,45.5,21.7,16.1,6.7,3.9,5.5,21.3,21.1,95.2,-7.8
San Antonio Spurs,82.0,60.0,22.0,48.4,34.9,81.7,42.7,4.3,12.7,33.9,16.3,21.2,76.8,12.5,28.3,40.9,19.0,15.0,8.1,5.1,6.5,23.4,20.4,90.4,-5.4
Sacramento Kings,82.0,59.0,23.0,48.4,36.5,86.9,42.0,4.5,14.2,32.0,17.7,23.9,74.1,14.0,31.9,45.8,21.5,15.4,8.3,4.3,5.6,19.9,20.3,95.2,-6.5
Minnesota Timberwolves,82.0,51.0,31.0,48.3,36.6,83.8,43.7,5.8,16.6,34.7,17.0,22.6,75.2,11.9,29.8,41.7,22.8,13.6,7.0,4.9,5.3,20.6,20.8,96.0,-2.1
Detroit Pistons,82.0,50.0,32.0,48.5,33.5,76.5,43.8,3.5,10.2,34.4,17.2,23.1,74.6,10.5,30.8,41.3,18.3,14.0,6.9,4.3,5.7,23.2,21.3,87.7,-3.7
Los Angeles Lakers,82.0,50.0,32.0,48.6,36.3,82.0,44.3,5.7,14.9,38.0,19.8,26.0,76.0,11.7,30.4,42.1,21.4,14.5,7.9,3.8,5.7,23.4,22.9,98.0,-2.3
Portland Trail Blazers,82.0,50.0,32.0,48.4,35.9,79.8,45.0,5.3,15.7,34.1,15.5,20.2,76.4,11.1,28.0,39.1,22.7,15.5,8.3,4.8,3.9,20.4,19.9,92.5,-2.6
New Jersey Nets,82.0,49.0,33.0,48.2,33.6,78.8,42.7,5.2,14.5,35.9,17.7,23.7,74.9,11.4,30.0,41.4,19.6,16.6,8.5,5.2,4.6,22.9,21.6,90.1,-5.2
Indiana Pacers,82.0,48.0,34.0,48.5,34.9,81.6,42.8,5.0,14.6,34.0,18.6,24.3,76.7,12.3,30.0,42.2,20.7,15.3,7.6,6.3,5.4,23.5,22.1,93.3,-3.5
Philadelphia 76ers,82.0,48.0,34.0,48.4,35.1,77.6,45.2,5.5,15.6,35.4,18.9,24.8,76.0,11.1,29.3,40.3,22.1,17.1,7.8,6.4,3.5,23.0,22.0,94.5,-2.3
New Orleans Hornets,82.0,47.0,35.0,48.5,34.8,79.5,43.8,4.1,12.2,33.8,18.0,23.5,76.6,11.1,28.9,40.0,19.9,14.6,7.9,5.2,4.8,21.4,21.6,91.8,-2.1
Utah Jazz,82.0,47.0,35.0,48.2,33.5,77.4,43.4,5.3,15.3,34.9,19.8,26.1,75.9,12.3,25.9,38.2,19.5,15.9,8.8,5.2,5.7,23.8,22.4,92.3,-2.4
Boston Celtics,82.0,44.0,38.0,48.4,34.2,78.7,43.5,5.6,17.1,33.1,19.0,25.4,74.9,11.4,33.5,45.0,22.2,16.0,7.5,4.5,3.7,21.9,21.4,93.1,0.4
Phoenix Suns,82.0,44.0,38.0,48.3,35.5,81.2,43.8,5.3,16.6,32.0,18.0,23.6,76.6,12.6,30.3,42.9,22.2,16.0,7.8,5.5,4.9,21.5,22.0,94.4,-1.1
Houston Rockets,82.0,43.0,39.0,48.6,35.3,81.5,43.3,4.7,13.6,34.7,17.1,22.0,77.5,11.9,28.7,40.6,20.5,13.2,8.1,4.6,6.0,21.9,19.5,92.3,-1.5
Milwaukee Bucks,82.0,42.0,40.0,48.5,37.1,81.0,45.8,5.8,15.6,37.5,19.2,25.8,74.5,12.5,31.0,43.4,23.1,14.4,6.6,4.1,4.2,20.5,22.2,99.3,-0.2
Orlando Magic,82.0,42.0,40.0,48.3,36.7,80.5,45.5,4.9,14.8,33.4,20.1,26.2,76.7,11.8,31.7,43.5,22.4,16.4,7.8,5.0,3.7,22.2,23.0,98.4,-0.1
Seattle SuperSonics,82.0,40.0,42.0,48.4,35.0,78.3,44.7,5.8,16.7,34.4,16.5,22.2,74.2,11.4,30.0,41.5,20.8,14.7,6.1,5.0,3.6,20.4,20.9,92.3,0.1
Golden State Warriors,82.0,38.0,44.0,48.2,39.5,87.5,45.2,5.3,14.4,37.2,19.2,25.4,75.6,14.7,29.1,43.8,23.6,13.7,8.7,6.0,6.2,23.6,21.8,103.6,1.1
