TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Cleveland Cavaliers,55.0,35.0,20.0,4.1,2.3,6.3,36.3,0.5,2.0,26.4,2.7,3.6,75.0,1.1,2.6,3.7,1.1,1.2,0.4,0.4,0.5,2.8,2.3,7.8,-2.4
Golden State Warriors,44.0,26.0,18.0,3.7,2.3,6.2,37.2,0.6,2.0,32.6,3.5,4.6,76.5,1.2,2.3,3.5,1.5,0.9,0.4,0.3,0.3,2.3,2.8,8.8,-1.0
Portland Trail Blazers,43.0,26.0,17.0,4.2,3.0,7.2,42.4,0.5,1.9,27.5,2.1,2.6,82.1,1.2,2.3,3.5,1.5,0.8,0.4,0.5,0.5,2.2,2.0,8.7,-0.1
Phoenix Suns,43.0,25.0,18.0,3.6,2.4,6.3,38.7,0.5,1.7,28.0,2.0,2.5,82.2,0.9,2.0,2.8,1.1,0.9,0.6,0.4,0.4,2.4,1.8,7.4,-1.2
San Antonio Spurs,39.0,25.0,14.0,3.8,2.3,5.9,39.1,0.5,1.6,29.5,2.3,3.0,77.6,1.2,2.3,3.5,1.3,0.9,0.4,0.2,0.2,2.3,2.2,7.4,-1.4
Boston Celtics,37.0,24.0,13.0,3.9,2.4,5.6,43.1,0.6,1.8,34.8,2.4,3.1,77.4,0.6,2.6,3.3,1.3,1.3,0.6,0.3,0.3,2.3,2.0,7.9,-0.1
Los Angeles Lakers,40.0,24.0,16.0,3.5,2.4,5.7,41.6,0.6,1.8,34.7,2.4,3.1,75.8,1.0,2.3,3.3,1.1,0.9,0.6,0.3,0.5,2.3,2.3,7.7,-0.5
Sacramento Kings,44.0,24.0,20.0,4.5,2.9,7.1,40.7,0.7,2.0,35.6,3.5,4.4,79.5,1.2,2.4,3.6,1.5,1.4,0.9,0.5,0.3,3.2,2.9,10.0,-0.5
Dallas Mavericks,43.0,23.0,20.0,3.1,1.9,4.8,40.3,0.4,1.3,33.9,2.9,3.9,73.8,0.9,2.2,3.1,1.1,0.6,0.3,0.5,0.3,2.1,2.3,7.2,-0.7
Milwaukee Bucks,51.0,23.0,28.0,3.7,2.6,5.9,44.7,0.7,1.8,37.2,3.0,3.9,77.1,1.0,2.2,3.1,1.4,1.0,0.7,0.4,0.2,2.7,2.6,9.0,0.4
New Jersey Nets,42.0,23.0,19.0,4.0,2.6,6.2,41.5,0.6,1.8,36.5,3.2,4.1,78.5,1.0,2.4,3.4,1.5,1.1,0.6,0.3,0.4,2.6,2.6,9.0,-0.4
Philadelphia 76ers,42.0,23.0,19.0,3.8,2.3,6.2,36.7,0.5,2.1,25.8,2.0,2.5,79.0,0.9,2.2,3.1,1.4,1.2,0.5,0.4,0.4,2.6,2.1,7.0,-1.0
Atlanta Hawks,45.0,21.0,24.0,4.0,2.8,6.3,43.5,0.4,1.6,26.4,2.8,3.4,83.0,1.1,2.4,3.5,1.2,1.0,0.4,0.5,0.4,2.8,2.5,8.8,1.1
Denver Nuggets,37.0,21.0,16.0,4.8,2.9,7.5,39.4,0.7,2.2,32.5,3.2,4.3,74.1,1.1,3.2,4.3,1.7,1.3,0.8,0.6,0.8,2.7,2.9,9.8,-0.2
Detroit Pistons,38.0,21.0,17.0,3.5,2.0,5.1,40.1,0.5,1.5,31.6,2.4,3.1,77.3,0.8,2.1,2.9,1.2,0.8,0.3,0.3,0.3,2.1,2.0,6.9,-0.8
