TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Dallas Mavericks,43.0,30.0,13.0,69.8,3.1,7.8,2.2,5.1,43.1,0.3,1.2,25.0,3.2,3.9,81.4,0.8,2.3,3.1,0.9,0.5,0.4,0.5,0.2,1.8,0.0,1.3
Phoenix Suns,39.0,27.0,12.0,69.2,3.3,8.0,2.5,5.3,46.2,0.6,1.5,37.3,2.5,3.3,75.4,0.8,2.4,3.2,1.5,0.9,0.3,0.4,0.2,1.4,0.0,0.8
Seattle SuperSonics,43.0,28.0,15.0,65.1,3.7,9.4,2.8,6.1,45.1,0.9,1.9,45.7,3.0,3.7,80.6,1.0,2.2,3.2,1.4,0.6,0.4,0.3,0.4,2.2,0.0,1.8
Detroit Pistons,40.0,25.0,15.0,62.5,4.7,9.4,2.9,7.7,37.9,0.6,2.0,29.1,3.1,4.0,77.2,1.3,3.1,4.4,1.5,1.1,0.8,0.7,0.5,2.7,0.0,1.0
Chicago Bulls,47.0,29.0,18.0,61.7,4.2,8.8,2.6,6.4,40.1,0.6,1.7,35.4,3.0,4.2,72.6,1.1,3.3,4.3,1.4,1.5,0.5,0.4,0.5,2.3,0.0,1.0
Sacramento Kings,50.0,30.0,20.0,60.0,4.2,9.3,2.9,6.9,41.7,0.7,1.8,38.2,2.9,3.7,78.6,1.1,2.6,3.7,1.9,0.9,0.8,0.3,0.3,2.6,0.0,-0.1
Miami Heat,42.0,25.0,17.0,59.5,4.8,11.1,3.7,7.9,47.1,0.8,2.0,38.4,2.9,4.5,65.8,1.4,3.3,4.7,1.9,1.2,0.5,0.6,0.3,2.7,0.0,1.8
Philadelphia 76ers,49.0,29.0,20.0,59.2,4.1,8.7,2.6,7.1,36.7,0.5,1.7,29.3,3.0,3.6,83.9,1.3,2.8,4.1,1.3,1.1,0.4,0.4,0.3,2.4,0.0,0.2
New Jersey Nets,39.0,23.0,16.0,59.0,4.2,9.1,2.7,6.7,39.8,0.7,1.7,40.0,3.1,4.3,72.2,1.2,2.6,3.8,1.7,1.1,0.6,0.6,0.5,2.9,0.0,1.2
Boston Celtics,51.0,30.0,21.0,58.8,4.7,9.5,2.9,7.2,40.7,0.4,1.7,25.9,3.2,4.1,78.3,1.1,3.1,4.2,1.6,1.1,0.6,0.5,0.5,2.5,0.0,0.2
Washington Wizards,51.0,29.0,22.0,56.9,3.9,9.4,2.7,6.3,42.6,0.5,1.8,28.3,3.6,4.6,76.8,1.0,2.2,3.2,1.1,0.8,0.7,0.3,0.4,2.2,0.0,0.3
Denver Nuggets,39.0,22.0,17.0,56.4,3.8,8.6,2.7,6.2,44.4,0.4,1.4,25.9,2.7,3.6,75.2,1.0,2.5,3.5,1.7,0.8,0.4,0.7,0.4,2.4,0.0,0.8
Houston Rockets,43.0,24.0,19.0,55.8,4.0,8.1,2.6,6.4,40.9,0.6,1.9,30.9,2.3,3.2,70.5,0.9,2.5,3.4,1.5,1.2,0.4,0.3,0.4,2.6,0.0,-0.5
Memphis Grizzlies,48.0,26.0,22.0,54.2,3.3,6.9,2.2,5.1,42.9,0.6,1.8,35.6,1.9,2.7,69.5,0.8,2.1,2.9,1.2,0.9,0.5,0.2,0.4,2.0,0.0,0.6
Orlando Magic,49.0,26.0,23.0,53.1,3.5,7.3,2.0,5.3,37.2,0.2,0.9,23.3,3.1,3.9,79.6,0.9,2.1,2.9,0.7,0.9,0.6,0.4,0.2,2.3,0.0,-0.8
Minnesota Timberwolves,55.0,29.0,26.0,52.7,3.2,7.3,2.3,5.1,45.3,0.4,1.2,32.4,2.3,2.8,81.2,0.7,2.0,2.7,1.4,0.6,0.3,0.3,0.1,1.9,0.0,0.9
