TEAM,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%
Philadelphia 76ers,81.0,81.0,100.0,38.0,87.6,43.4,45.9,-2.6
Boston Celtics,79.0,79.0,100.0,37.4,85.2,43.9,45.9,-2.0
Portland Trail Blazers,82.0,82.0,100.0,38.4,85.9,44.7,46.0,-1.3
Golden State Warriors,82.0,82.0,100.0,40.2,90.0,44.7,45.8,-1.2
Utah Jazz,82.0,82.0,100.0,37.3,83.0,44.9,46.0,-1.1
Miami Heat,81.0,81.0,100.0,37.7,83.8,45.0,45.9,-0.9
Toronto Raptors,82.0,82.0,100.0,38.4,85.6,44.9,45.8,-0.9
San Antonio Spurs,82.0,82.0,100.0,38.2,84.3,45.3,46.0,-0.7
New Orleans Pelicans,82.0,82.0,100.0,41.7,91.9,45.4,45.9,-0.5
Oklahoma City Thunder,80.0,80.0,100.0,38.5,84.2,45.8,46.0,-0.3
Los Angeles Lakers,82.0,82.0,100.0,41.0,89.9,45.7,46.0,-0.3
New York Knicks,81.0,81.0,100.0,39.5,86.3,45.7,45.9,-0.2
Detroit Pistons,82.0,82.0,100.0,39.1,85.2,45.9,46.0,-0.1
LA Clippers,82.0,82.0,100.0,40.2,87.7,45.9,46.0,-0.1
Memphis Grizzlies,82.0,82.0,100.0,37.1,80.3,46.2,46.0,0.2
Houston Rockets,82.0,82.0,100.0,39.5,85.5,46.2,46.0,0.3
Washington Wizards,82.0,82.0,100.0,39.0,84.3,46.2,45.9,0.3
Brooklyn Nets,80.0,80.0,100.0,41.7,89.3,46.7,46.0,0.7
Orlando Magic,81.0,81.0,100.0,40.8,87.4,46.6,45.9,0.7
Indiana Pacers,82.0,82.0,100.0,39.4,84.8,46.4,45.8,0.7
Dallas Mavericks,82.0,82.0,100.0,39.3,83.8,46.9,46.1,0.8
Charlotte Hornets,81.0,81.0,100.0,41.1,87.7,46.9,46.0,0.9
Phoenix Suns,82.0,82.0,100.0,41.8,88.7,47.1,46.1,1.0
Milwaukee Bucks,81.0,81.0,100.0,39.2,83.8,46.8,45.8,1.0
Sacramento Kings,82.0,82.0,100.0,38.7,82.4,47.0,46.0,1.0
Atlanta Hawks,81.0,81.0,100.0,40.7,86.7,46.9,46.0,1.0
Chicago Bulls,82.0,82.0,100.0,41.0,86.8,47.2,46.0,1.2
Cleveland Cavaliers,82.0,82.0,100.0,41.8,88.3,47.4,45.9,1.5
Minnesota Timberwolves,82.0,82.0,100.0,40.2,84.6,47.5,45.9,1.6
Denver Nuggets,82.0,82.0,100.0,41.3,86.7,47.6,46.0,1.7
