TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Miami Heat,54.0,32.0,22.0,214.0,113.3,98.6,14.7,47.2,1.58,13.1,30.6,69.2,50.7,10.8,51.8,59.1,99.32,61.7
Minnesota Timberwolves,48.0,28.0,20.0,187.0,103.9,102.1,1.8,52.2,1.25,13.6,31.1,65.2,48.3,14.6,49.2,54.2,97.57,51.6
Philadelphia 76ers,45.0,28.0,17.0,176.0,110.1,93.5,16.6,63.9,1.5,15.6,31.4,72.3,52.9,14.1,51.8,60.1,98.23,65.0
Milwaukee Bucks,35.0,27.0,8.0,128.0,107.5,104.7,2.8,57.6,1.33,15.0,31.6,72.9,52.9,15.3,51.8,57.4,100.25,56.7
Dallas Mavericks,55.0,26.0,29.0,230.0,106.2,107.1,-1.0,53.9,1.71,13.7,27.7,68.6,48.4,10.5,49.7,55.4,94.19,49.0
Indiana Pacers,48.0,25.0,23.0,165.0,108.7,112.4,-3.7,52.1,1.56,13.3,30.8,65.2,48.6,11.3,48.6,56.0,101.86,46.3
Sacramento Kings,44.0,25.0,19.0,184.0,128.6,118.6,10.0,41.3,2.29,13.5,34.6,74.2,52.4,7.8,57.1,62.7,101.73,53.2
Boston Celtics,37.0,24.0,13.0,170.0,110.9,106.3,4.6,56.7,1.79,14.5,31.7,72.1,50.9,10.9,49.3,56.1,95.99,52.1
Brooklyn Nets,40.0,24.0,16.0,135.0,114.5,110.5,4.1,53.8,1.7,15.3,24.4,59.1,43.7,11.7,58.3,62.9,101.33,53.7
Cleveland Cavaliers,45.0,24.0,21.0,170.0,107.3,104.3,3.0,48.4,1.25,12.8,37.2,65.6,51.4,14.0,48.6,53.7,94.71,53.2
Los Angeles Lakers,44.0,23.0,21.0,172.0,116.7,113.9,2.8,50.3,3.79,14.8,29.9,68.4,48.3,5.3,50.8,56.0,98.02,53.0
New York Knicks,45.0,23.0,22.0,200.0,109.6,120.2,-10.7,41.1,1.12,10.7,38.7,64.3,52.0,12.8,49.1,56.0,100.08,43.9
Utah Jazz,52.0,23.0,29.0,199.0,118.4,109.9,8.5,56.9,1.53,15.2,38.2,70.9,55.2,13.8,52.6,59.1,101.03,54.1
Denver Nuggets,37.0,22.0,15.0,142.0,109.8,99.3,10.4,62.6,1.59,15.5,30.8,67.5,49.8,13.1,51.8,57.7,99.95,57.8
LA Clippers,42.0,22.0,20.0,140.0,115.8,110.7,5.1,56.0,1.81,16.0,28.5,77.6,52.8,11.9,54.6,61.1,103.23,52.7
Memphis Grizzlies,36.0,21.0,15.0,110.0,111.7,115.5,-3.9,53.6,1.41,12.8,39.5,68.6,52.8,12.5,48.2,57.4,108.29,50.2
Atlanta Hawks,43.0,20.0,23.0,184.0,103.9,119.8,-15.9,38.8,1.26,10.7,31.4,63.9,47.0,11.1,46.5,52.5,101.2,39.2
Charlotte Hornets,43.0,20.0,23.0,163.0,111.4,115.5,-4.1,60.5,2.11,16.1,34.6,73.4,52.0,10.8,50.0,54.2,100.91,45.0
Golden State Warriors,41.0,20.0,21.0,173.0,104.0,101.9,2.1,63.2,1.52,15.9,34.2,75.9,54.8,14.7,48.1,52.3,100.16,50.5
Orlando Magic,44.0,19.0,25.0,149.0,111.1,120.4,-9.3,45.9,1.19,12.3,33.1,63.8,48.7,13.6,49.0,57.8,103.17,43.3
Toronto Raptors,44.0,19.0,25.0,163.0,107.4,104.2,3.2,60.3,1.67,15.4,36.0,69.0,51.7,13.0,46.9,53.3,96.16,49.5
New Orleans Pelicans,37.0,17.0,20.0,152.0,113.9,103.9,10.0,58.4,1.92,17.1,26.8,63.7,45.8,12.0,55.0,60.3,98.3,59.2
Oklahoma City Thunder,43.0,17.0,26.0,168.0,98.3,104.4,-6.1,47.9,1.46,12.3,29.6,68.5,48.5,11.0,44.4,50.9,102.88,45.2
Phoenix Suns,36.0,17.0,19.0,146.0,109.4,112.1,-2.7,60.0,1.58,14.7,41.1,62.6,50.8,13.5,47.1,52.7,98.0,46.1
Houston Rockets,40.0,16.0,24.0,132.0,93.6,101.7,-8.1,50.6,0.75,10.8,32.7,73.3,52.8,18.7,43.4,50.7,104.63,43.8
Chicago Bulls,38.0,15.0,23.0,178.0,108.4,108.4,0.0,48.1,1.64,13.6,22.4,70.6,46.7,10.6,49.8,57.0,98.93,51.5
Portland Trail Blazers,36.0,15.0,21.0,148.0,107.2,115.7,-8.5,55.0,1.31,13.7,28.2,64.6,47.1,13.7,49.2,57.0,100.56,45.7
Washington Wizards,41.0,15.0,26.0,149.0,102.0,108.8,-6.7,38.9,0.88,9.8,31.9,65.3,49.8,14.3,45.9,53.6,97.08,44.8
Detroit Pistons,37.0,11.0,26.0,144.0,105.0,124.0,-19.0,56.5,1.55,12.8,30.5,57.0,43.9,11.1,45.8,53.3,96.94,35.4
San Antonio Spurs,28.0,11.0,17.0,111.0,102.6,113.1,-10.4,56.6,1.08,14.3,32.1,60.2,46.5,17.6,47.5,54.6,100.1,41.5
