TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Chicago Bulls,66.0,50.0,16.0,48.3,97.5,32.8,70.3,6.9,5.9,15.4,11.9,12.1,38.2
San Antonio Spurs,66.0,50.0,16.0,48.3,102.3,32.6,72.0,7.4,4.4,15.2,11.1,14.0,40.5
Oklahoma City Thunder,66.0,47.0,19.0,48.5,102.1,32.7,68.7,7.5,8.2,16.7,14.7,12.3,42.4
Miami Heat,66.0,46.0,20.0,48.6,99.2,31.2,69.3,8.9,5.4,16.6,13.1,11.9,36.6
Indiana Pacers,66.0,42.0,24.0,48.5,102.1,31.4,68.9,7.9,5.4,15.1,13.0,12.5,38.1
Los Angeles Lakers,66.0,41.0,25.0,48.7,103.2,34.1,71.9,5.9,5.3,16.6,12.7,15.1,40.4
Memphis Grizzlies,66.0,41.0,25.0,48.3,100.6,29.5,68.8,9.6,5.2,16.0,12.5,12.1,40.3
Atlanta Hawks,66.0,40.0,26.0,49.0,100.4,31.3,70.3,8.1,4.6,16.0,12.6,12.0,40.5
Los Angeles Clippers,66.0,40.0,26.0,48.4,104.8,29.4,69.2,8.4,4.8,15.1,12.9,12.3,38.6
Boston Celtics,66.0,39.0,27.0,48.3,97.5,31.1,68.6,7.5,5.5,16.2,13.5,11.5,39.8
Denver Nuggets,66.0,38.0,28.0,48.6,105.1,31.9,70.5,8.2,5.0,17.3,12.6,12.2,39.5
Orlando Magic,66.0,37.0,29.0,48.4,103.4,31.2,72.0,6.8,4.2,16.2,11.8,10.9,37.4
Dallas Mavericks,66.0,36.0,30.0,48.7,100.9,32.7,71.4,8.6,5.1,15.8,12.3,14.4,38.9
New York Knicks,66.0,36.0,30.0,48.3,100.2,30.5,70.2,9.4,4.2,17.8,12.6,12.4,38.9
Utah Jazz,66.0,36.0,30.0,49.0,104.9,31.1,70.3,8.3,5.8,15.3,12.2,14.4,42.3
Philadelphia 76ers,66.0,35.0,31.0,48.2,98.2,32.5,71.2,8.0,5.2,11.6,11.7,10.2,36.4
Houston Rockets,66.0,34.0,32.0,48.7,104.0,30.5,69.2,7.5,4.8,16.7,13.3,13.7,44.5
Phoenix Suns,66.0,33.0,33.0,48.0,105.2,30.8,68.7,6.5,5.5,15.2,14.2,12.6,43.4
Milwaukee Bucks,66.0,31.0,35.0,48.1,104.1,30.0,67.5,8.3,5.1,16.5,13.8,13.4,41.4
Portland Trail Blazers,66.0,28.0,38.0,48.4,105.3,29.5,69.1,8.0,4.9,16.0,13.4,14.3,42.2
Minnesota Timberwolves,66.0,26.0,40.0,48.3,105.3,31.7,69.3,6.6,4.4,18.4,14.0,15.8,44.1
Detroit Pistons,66.0,25.0,41.0,48.4,105.0,28.5,68.9,7.0,4.2,18.4,12.2,14.0,40.1
Golden State Warriors,66.0,23.0,43.0,48.2,107.3,29.5,65.8,8.0,5.5,16.2,15.3,14.4,43.1
Toronto Raptors,66.0,23.0,43.0,48.4,103.6,31.4,70.8,6.5,4.9,15.4,12.3,12.5,37.6
New Jersey Nets,66.0,22.0,44.0,48.2,108.1,28.5,67.7,7.5,3.9,17.7,13.6,14.8,44.2
Sacramento Kings,66.0,22.0,44.0,48.2,108.7,29.5,67.0,8.5,4.9,17.8,14.4,17.1,48.2
Cleveland Cavaliers,66.0,21.0,45.0,48.4,107.6,29.5,68.3,7.1,4.0,16.9,14.5,11.7,43.6
New Orleans Hornets,66.0,21.0,45.0,48.3,103.9,30.2,69.6,7.4,4.8,17.7,13.3,12.9,40.9
Washington Wizards,66.0,20.0,46.0,48.1,104.9,29.9,67.8,8.0,6.3,18.2,14.5,14.5,40.7
Charlotte Bobcats,66.0,7.0,59.0,48.2,109.4,28.7,67.8,6.0,5.5,17.2,15.4,16.0,48.3
