TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Dallas Mavericks,50.0,34.0,16.0,3.1,1.8,5.0,35.6,0.3,1.4,23.6,1.7,2.2,74.8,0.8,1.7,2.4,0.9,0.6,0.6,0.2,0.3,2.3,1.7,5.6,-2.3
Oklahoma City Thunder,51.0,34.0,17.0,4.8,3.1,8.3,37.3,0.6,2.2,28.2,2.6,3.7,70.2,1.4,3.2,4.5,1.3,1.1,0.6,0.3,0.8,3.3,2.7,9.4,-1.6
Chicago Bulls,44.0,31.0,13.0,4.1,2.6,6.7,38.9,0.4,1.8,21.0,2.3,3.1,74.3,0.9,2.4,3.3,1.4,1.1,0.5,0.6,0.4,2.8,2.2,7.9,-1.6
New Orleans Hornets,47.0,29.0,18.0,4.4,2.6,7.0,37.1,0.5,2.1,22.7,2.4,3.3,73.9,1.2,2.8,3.9,1.2,1.4,0.4,0.5,0.6,2.7,2.6,8.1,-1.1
Boston Celtics,48.0,28.0,20.0,3.9,2.5,6.3,39.5,0.5,1.4,34.8,2.2,2.8,79.9,1.1,2.6,3.7,1.3,1.2,0.5,0.3,0.4,2.3,2.0,7.7,-0.4
Portland Trail Blazers,47.0,28.0,19.0,3.9,2.4,5.6,42.5,0.5,1.5,33.3,2.0,2.5,80.5,0.7,2.3,3.1,0.9,1.4,0.5,0.4,0.3,2.5,1.8,7.3,-1.3
Charlotte Bobcats,48.0,26.0,22.0,3.6,2.3,6.2,37.2,0.4,1.4,25.0,2.5,3.0,80.8,1.0,2.0,3.0,1.2,0.8,0.4,0.4,0.6,2.2,2.1,7.4,-0.7
San Antonio Spurs,38.0,26.0,12.0,3.8,2.4,6.3,37.8,0.4,1.8,25.4,1.9,2.5,75.8,1.1,2.5,3.6,1.3,0.9,0.5,0.4,0.4,2.2,1.7,7.1,-1.0
Denver Nuggets,47.0,25.0,22.0,3.0,1.9,4.8,40.1,0.6,2.0,29.3,2.1,2.8,75.9,0.6,1.8,2.4,0.9,0.7,0.5,0.4,0.3,2.0,2.0,6.6,-0.1
Phoenix Suns,47.0,24.0,23.0,4.7,3.3,7.4,44.0,0.6,1.8,33.7,3.2,4.1,77.8,1.1,3.2,4.4,1.6,1.1,0.7,0.4,0.4,2.5,3.0,10.3,-0.1
Utah Jazz,42.0,24.0,18.0,4.6,3.0,7.7,38.6,0.8,2.4,31.7,3.4,4.5,77.0,1.4,2.6,4.1,1.4,1.3,0.7,0.3,0.5,2.8,3.0,10.1,-0.1
Los Angeles Lakers,38.0,23.0,15.0,4.1,2.8,6.7,41.8,0.6,2.2,26.8,2.0,2.7,74.8,1.1,2.4,3.5,1.7,1.1,0.5,0.5,0.2,2.3,2.1,8.2,-1.1
Atlanta Hawks,41.0,22.0,19.0,2.9,1.8,4.4,40.2,0.3,1.2,24.0,2.2,2.9,77.3,0.7,1.8,2.5,0.8,0.7,0.2,0.3,0.2,1.8,2.0,6.0,-0.9
Los Angeles Clippers,45.0,22.0,23.0,3.4,2.5,5.7,43.6,0.4,1.5,26.1,2.3,3.1,73.9,1.1,1.7,2.8,1.2,0.9,0.7,0.3,0.5,2.0,2.0,7.6,0.0
Miami Heat,42.0,22.0,20.0,3.4,2.2,5.4,40.4,0.7,1.6,41.2,2.3,2.9,81.7,0.9,2.3,3.3,1.1,1.0,0.3,0.1,0.3,2.8,2.0,7.3,-1.1
Milwaukee Bucks,47.0,22.0,25.0,4.1,2.6,6.5,39.1,0.3,1.6,21.1,2.4,3.1,79.9,0.9,2.8,3.7,1.3,0.9,0.6,0.4,0.4,2.4,2.1,7.9,0.1
Orlando Magic,43.0,22.0,21.0,4.0,2.5,6.3,40.0,0.7,1.9,37.0,3.0,3.7,82.3,0.9,2.3,3.2,1.3,1.1,0.6,0.2,0.5,2.0,2.7,8.7,-0.3
Golden State Warriors,44.0,21.0,23.0,3.6,2.7,6.2,42.9,0.7,1.9,37.8,3.1,3.9,79.1,1.3,2.5,3.8,1.6,1.0,0.5,0.4,0.2,2.1,2.5,9.1,0.4
Houston Rockets,52.0,21.0,31.0,3.9,3.0,6.5,45.7,0.3,1.3,23.1,3.1,3.7,83.5,0.9,2.7,3.6,1.4,0.8,0.5,0.4,0.3,2.2,2.7,9.3,1.2
Memphis Grizzlies,44.0,21.0,23.0,4.7,3.5,8.0,43.6,0.7,2.2,32.0,3.0,3.6,81.3,1.5,2.9,4.3,1.9,1.2,0.8,0.6,0.5,2.8,2.7,10.7,0.9
New Jersey Nets,52.0,21.0,31.0,4.4,3.2,7.6,41.8,0.7,1.7,43.0,2.5,3.2,80.5,1.1,2.8,3.8,1.8,0.9,0.5,0.3,0.5,2.5,2.3,9.6,0.9
New York Knicks,45.0,20.0,25.0,3.6,2.9,6.4,45.8,0.7,1.5,44.1,2.2,2.9,76.5,0.9,2.4,3.4,1.2,0.7,0.4,0.4,0.5,2.0,2.0,8.7,0.4
Philadelphia 76ers,43.0,18.0,25.0,4.5,3.1,6.7,46.0,0.7,1.9,36.3,3.3,4.0,82.2,0.9,3.3,4.2,1.6,1.3,0.5,0.3,0.4,2.5,2.8,10.1,1.0
Detroit Pistons,44.0,17.0,27.0,4.2,2.7,6.3,43.5,0.5,1.7,31.5,2.8,3.5,80.4,1.0,2.8,3.8,1.7,1.1,0.4,0.3,0.3,2.5,2.4,8.8,0.3
Sacramento Kings,51.0,17.0,34.0,4.0,2.9,6.8,42.7,0.6,1.9,29.3,2.8,3.8,73.4,1.2,2.7,3.9,1.4,0.9,0.6,0.7,0.4,2.2,2.7,9.1,1.9
Washington Wizards,39.0,16.0,23.0,4.1,3.1,6.4,48.4,0.6,1.5,40.0,3.1,4.0,77.1,0.9,2.8,3.7,1.9,1.2,0.6,0.5,0.2,2.4,2.6,9.9,1.5
Cleveland Cavaliers,38.0,15.0,23.0,3.5,2.3,5.8,40.5,0.5,1.6,32.3,2.4,3.3,73.0,1.0,2.0,3.0,1.2,0.9,0.5,0.3,0.3,2.0,2.5,7.6,-0.6
Indiana Pacers,33.0,15.0,18.0,4.4,3.1,6.9,44.3,0.5,1.9,26.6,2.4,2.9,82.3,1.0,2.9,3.9,1.7,1.2,0.5,0.5,0.4,2.1,2.1,9.0,0.8
Toronto Raptors,42.0,15.0,27.0,3.8,2.9,6.3,46.2,0.5,1.4,34.5,2.7,3.5,75.8,1.5,2.5,4.0,1.5,1.0,0.5,0.5,0.3,2.2,2.4,9.0,2.2
Minnesota Timberwolves,42.0,8.0,34.0,3.5,2.9,5.6,52.6,0.7,1.7,40.3,3.5,3.9,87.9,0.6,2.2,2.8,1.8,0.9,0.7,0.5,0.2,1.6,2.8,10.0,3.3
