general_traditional_Team,general_traditional_GP,general_traditional_W,general_traditional_L,general_traditional_WIN%,general_traditional_Min,general_traditional_PTS,general_traditional_FGM,general_traditional_FGA,general_traditional_FG%,general_traditional_3PM,general_traditional_3PA,general_traditional_3P%,general_traditional_FTM,general_traditional_FTA,general_traditional_FT%,general_traditional_OREB,general_traditional_DREB,general_traditional_REB,general_traditional_AST,general_traditional_TOV,general_traditional_STL,general_traditional_BLK,general_traditional_BLKA,general_traditional_PF,general_traditional_PFD,general_traditional_+/-,general_advanced_TEAM,general_advanced_GP,general_advanced_W,general_advanced_L,general_advanced_MIN,general_advanced_OffRtg,general_advanced_DefRtg,general_advanced_NetRtg,general_advanced_AST%,general_advanced_AST/TO,general_advanced_AST,general_advanced_OREB%,general_advanced_DREB%,general_advanced_REB%,general_advanced_TOV%,general_advanced_eFG%,general_advanced_TS%,general_advanced_PACE,general_advanced_PIE,general_advanced_POSS,general_defense_TEAM,general_defense_GP,general_defense_W,general_defense_L,general_defense_MIN,general_defense_DEF RTG,general_defense_DREB,general_defense_DREB%,general_defense_STL,general_defense_BLK,general_defense_OPP PTS,general_defense_OPP PTS.1,general_defense_OPP PTS.2,general_defense_OPP PTS.3,general_opponent_TEAM,general_opponent_Games Played,general_opponent_Wins,general_opponent_Losses,general_opponent_Minutes Played,general_opponent_Opponent's Field Goals Made,general_opponent_Opponent's Field Goals Attempted,general_opponent_Opponent's Field Goal Percentage,general_opponent_Opponent's 3 Point Field Goals Made,general_opponent_Opponent's 3 Point Field Goals Attempted,general_opponent_Opponent's 3 Point Field Goal Percentage,general_opponent_Opponent's Free Throws Made,general_opponent_Opponent's Free Throws Attempted,general_opponent_Opponent's Free Throw Percentage,general_opponent_Opponent's Offensive Rebounds,general_opponent_Opponent's Defensive Rebounds,general_opponent_Opponent's Rebounds,general_opponent_Opponent's Assists,general_opponent_Opponent's Turnovers,general_opponent_Opponent's Steals,general_opponent_Opponent's Blocks,general_opponent_Opponent's Blocked Field Goal Attempts,general_opponent_Opponent's Personal Fouls,general_opponent_Opponent's Personal Fouls Drawn,general_opponent_Opponent's Points,general_opponent_Plus-Minus,clutch-traditional_TEAM,clutch-traditional_Games Played,clutch-traditional_Wins,clutch-traditional_Losses,clutch-traditional_Win Percentage,clutch-traditional_Minutes Played,clutch-traditional_Points,clutch-traditional_Field Goals Made,clutch-traditional_Field Goals Attempted,clutch-traditional_Field Goal Percentage,clutch-traditional_3 Point Field Goals Made,clutch-traditional_3 Point Field Goals Attempted,clutch-traditional_3 Point Field Goal Percentage,clutch-traditional_Free Throws Made,clutch-traditional_Free Throws Attempted,clutch-traditional_Free Throw Percentage,clutch-traditional_Offensive Rebounds,clutch-traditional_Defensive Rebounds,clutch-traditional_Rebounds,clutch-traditional_Assists,clutch-traditional_Turnovers,clutch-traditional_Steals,clutch-traditional_Blocks,clutch-traditional_Blocks Against,clutch-traditional_Personal Fouls,clutch-traditional_Personal Fouls Drawn,clutch-traditional_Plus-Minus,clutch-advanced_TEAM,clutch-advanced_Games Played,clutch-advanced_Wins,clutch-advanced_Losses,clutch-advanced_Minutes Played,clutch-advanced_Offensive Rating,clutch-advanced_Defensive Rating,clutch-advanced_Net Rating,clutch-advanced_Assist Percentage,clutch-advanced_Assist to Turnover Ratio,clutch-advanced_Assist Ratio,clutch-advanced_Offensive Rebounding Percentage,clutch-advanced_Defensive Rebounding Percentage,clutch-advanced_Rebounding Percentage,clutch-advanced_Turnover Ratio,clutch-advanced_Effective Field Goal Percentage,clutch-advanced_True Shooting Percentage,clutch-advanced_Pace,clutch-advanced_Player Impact Estimate,clutch-opponent_TEAM,clutch-opponent_Games Played,clutch-opponent_Wins,clutch-opponent_Losses,clutch-opponent_Minutes Played,clutch-opponent_Opponent's Field Goals Made,clutch-opponent_Opponent's Field Goals Attempted,clutch-opponent_Opponent's Field Goal Percentage,clutch-opponent_Opponent's 3 Point Field Goals Made,clutch-opponent_Opponent's 3 Point Field Goals Attempted,clutch-opponent_Opponent's 3 Point Field Goal Percentage,clutch-opponent_Opponent's Free Throws Made,clutch-opponent_Opponent's Free Throws Attempted,clutch-opponent_Opponent's Free Throw Percentage,clutch-opponent_Opponent's Offensive Rebounds,clutch-opponent_Opponent's Defensive Rebounds,clutch-opponent_Opponent's Rebounds,clutch-opponent_Opponent's Assists,clutch-opponent_Opponent's Turnovers,clutch-opponent_Opponent's Steals,clutch-opponent_Opponent's Blocks,clutch-opponent_Opponent's Blocked Field Goal Attempts,clutch-opponent_Opponent's Personal Fouls,clutch-opponent_Opponent's Personal Fouls Drawn,clutch-opponent_Opponent's Points,clutch-opponent_Plus-Minus
Indiana Pacers,82.0,61.0,21.0,0.744,48.3,91.4,33.6,77.1,43.5,5.5,15.6,35.1,18.8,24.6,76.4,11.8,29.9,41.7,21.6,14.4,8.9,5.0,6.2,20.8,0.1,5.8,Indiana Pacers,82.0,61.0,21.0,3961.0,102.5,96.2,6.3,64.4,1.5,17.3,32.0,70.6,51.1,16.2,47.1,52.0,88.54,53.9,7311.0,Indiana Pacers,82.0,61.0,21.0,48.3,96.2,29.9,70.6,8.9,5.0,14.9,11.4,11.7,35.6,Indiana Pacers,82.0,61.0,21.0,48.3,32.6,75.4,43.2,4.0,12.4,32.4,16.5,22.0,75.0,10.6,29.5,40.1,20.1,15.9,7.1,6.2,5.0,21.9,20.8,85.6,-5.8,Indiana Pacers,44.0,31.0,13.0,70.5,4.1,9.1,2.6,6.4,40.6,0.8,2.1,40.7,3.0,4.0,76.1,0.9,2.6,3.5,1.6,0.9,0.8,0.4,0.6,2.1,0.0,2.4,Indiana Pacers,44.0,31.0,13.0,181.0,105.8,88.0,17.8,60.5,1.68,14.1,26.7,66.5,46.3,10.9,47.2,55.7,94.09,66.9,Indiana Pacers,44.0,31.0,13.0,4.1,2.2,6.0,36.5,0.3,1.4,25.0,2.0,2.6,77.0,1.0,2.9,3.9,1.3,1.5,0.4,0.6,0.4,2.8,2.1,6.7,-2.4
Minnesota Timberwolves,82.0,58.0,24.0,0.707,48.2,94.5,37.0,80.1,46.2,4.0,10.9,36.3,16.6,21.3,78.1,10.7,32.3,42.9,23.0,12.7,6.8,5.6,3.6,21.1,0.1,5.5,Minnesota Timberwolves,82.0,58.0,24.0,3951.0,104.2,98.5,5.7,62.3,1.81,18.2,30.3,69.1,50.7,14.0,48.6,52.8,90.24,55.4,7441.0,Minnesota Timberwolves,82.0,58.0,24.0,48.2,98.5,32.3,69.1,6.8,5.6,13.1,13.1,11.0,35.3,Minnesota Timberwolves,82.0,58.0,24.0,48.2,33.4,80.8,41.4,4.8,14.4,33.4,17.4,23.1,75.3,12.2,29.3,41.5,20.7,13.5,6.7,3.6,5.6,20.2,21.1,89.1,-5.5,Minnesota Timberwolves,42.0,27.0,15.0,64.3,4.1,9.5,2.8,7.0,40.8,0.6,1.7,38.0,3.2,4.1,78.0,1.3,2.7,4.0,1.5,0.7,0.4,0.5,0.4,2.5,0.0,1.6,Minnesota Timberwolves,42.0,27.0,15.0,171.0,110.5,100.3,10.2,53.8,2.29,13.1,35.1,69.1,51.5,7.7,45.4,54.3,97.17,60.9,Minnesota Timberwolves,42.0,27.0,15.0,4.1,2.3,6.1,38.0,0.3,1.3,21.4,3.0,3.9,76.2,1.0,2.6,3.7,1.3,0.9,0.4,0.4,0.5,3.0,2.5,7.9,-1.6
San Antonio Spurs,82.0,57.0,25.0,0.695,48.2,91.5,34.7,78.5,44.2,5.0,13.9,35.8,17.2,25.2,68.1,12.5,32.5,45.1,20.4,14.7,8.1,6.5,4.6,20.3,0.0,7.2,San Antonio Spurs,82.0,57.0,25.0,3951.0,101.0,93.1,7.9,59.0,1.39,16.3,31.9,71.0,51.6,16.2,47.3,51.1,90.23,56.6,7428.0,San Antonio Spurs,82.0,57.0,25.0,48.2,93.1,32.5,71.0,8.1,6.5,14.5,11.9,10.6,36.4,San Antonio Spurs,82.0,57.0,25.0,48.2,31.9,77.9,40.9,3.8,11.6,32.7,16.7,22.5,74.4,11.1,30.0,41.1,17.3,15.3,7.7,4.6,6.5,22.4,20.3,84.3,-7.2,San Antonio Spurs,39.0,21.0,18.0,53.8,3.7,7.3,2.2,5.6,38.8,0.5,1.4,35.7,2.4,3.5,68.4,0.9,2.5,3.4,1.1,1.0,0.5,0.6,0.4,2.1,0.0,-0.1,San Antonio Spurs,39.0,21.0,18.0,143.0,98.6,100.0,-1.4,50.6,1.13,11.6,27.6,67.1,47.3,13.2,43.4,50.7,96.11,48.1,San Antonio Spurs,39.0,21.0,18.0,3.7,2.4,5.9,40.7,0.3,1.1,31.0,2.2,3.0,73.3,0.9,2.6,3.5,1.1,0.8,0.4,0.4,0.6,2.2,2.1,7.3,0.1
Los Angeles Lakers,82.0,56.0,26.0,0.683,48.4,98.2,36.9,81.4,45.4,4.5,13.6,32.7,19.9,28.7,69.3,12.2,30.9,43.1,23.8,13.8,8.3,4.6,3.8,21.1,0.1,3.9,Los Angeles Lakers,82.0,56.0,26.0,3971.0,104.2,100.1,4.1,64.3,1.72,17.9,31.3,70.1,50.6,14.6,48.1,52.2,93.39,53.8,7729.0,Los Angeles Lakers,82.0,56.0,26.0,48.4,100.1,30.9,70.1,8.3,4.6,14.5,13.1,11.0,37.7,Los Angeles Lakers,82.0,56.0,26.0,48.4,35.6,81.0,44.0,5.1,15.2,33.7,18.0,24.0,74.9,11.2,31.2,42.4,20.8,15.3,7.5,3.8,4.6,24.7,21.1,94.3,-3.9,Los Angeles Lakers,41.0,31.0,10.0,75.6,4.5,10.2,3.0,7.1,41.4,0.6,1.7,36.8,3.7,5.3,70.0,1.1,3.0,4.2,1.6,0.8,0.9,0.5,0.4,2.5,0.0,2.3,Los Angeles Lakers,41.0,31.0,10.0,183.0,110.6,88.6,22.0,55.4,1.97,13.3,31.4,66.3,48.8,9.0,45.7,54.1,97.97,68.2,Los Angeles Lakers,41.0,31.0,10.0,4.5,2.3,6.9,33.9,0.3,2.0,17.1,2.9,3.6,80.5,1.1,3.2,4.3,1.2,1.4,0.4,0.4,0.5,3.4,2.5,8.0,-2.3
Sacramento Kings,82.0,55.0,27.0,0.671,48.2,102.8,37.8,81.8,46.2,7.3,18.3,40.1,19.8,24.9,79.5,10.8,30.4,41.2,26.2,13.9,8.7,4.0,5.0,19.3,0.0,5.0,Sacramento Kings,82.0,55.0,27.0,3956.0,108.6,103.2,5.4,69.4,1.89,19.6,29.2,67.6,48.8,14.6,50.7,55.4,94.25,54.4,7765.0,Sacramento Kings,82.0,55.0,27.0,48.2,103.2,30.4,67.6,8.7,4.0,15.1,14.1,13.2,42.6,Sacramento Kings,82.0,55.0,27.0,48.2,38.3,84.4,45.4,5.0,14.7,33.9,16.3,21.7,74.9,13.2,30.7,43.9,21.3,14.9,7.9,5.0,4.0,22.2,19.3,97.8,-5.0,Sacramento Kings,43.0,26.0,17.0,60.5,4.2,9.1,2.6,6.7,38.2,0.6,1.8,33.3,3.3,4.1,81.4,0.9,2.8,3.6,1.5,0.7,0.7,0.3,0.5,2.5,0.0,0.7,Sacramento Kings,43.0,26.0,17.0,179.0,106.0,98.9,7.1,60.0,2.06,13.7,25.3,63.8,44.9,8.7,42.7,53.3,98.39,56.0,Sacramento Kings,43.0,26.0,17.0,4.2,2.6,6.9,37.5,0.5,1.7,27.4,2.7,3.7,73.8,1.5,3.2,4.6,1.5,1.1,0.4,0.5,0.3,3.0,2.5,8.4,-0.7
Detroit Pistons,82.0,54.0,28.0,0.659,48.2,90.1,33.5,77.0,43.5,4.1,11.8,34.4,19.0,25.3,75.3,12.4,30.4,42.8,20.8,15.1,8.0,7.0,5.0,20.3,0.0,5.8,Detroit Pistons,82.0,54.0,28.0,3956.0,100.3,93.9,6.5,62.0,1.37,16.6,33.2,68.6,51.2,16.8,46.1,51.1,89.34,55.8,7365.0,Detroit Pistons,82.0,54.0,28.0,48.2,93.9,30.4,68.6,8.0,7.0,14.6,12.7,10.3,33.7,Detroit Pistons,82.0,54.0,28.0,48.2,32.1,77.8,41.3,4.3,14.4,30.2,15.7,21.1,74.4,12.0,28.7,40.6,19.0,16.0,7.9,5.0,7.0,22.9,20.3,84.3,-5.8,Detroit Pistons,45.0,25.0,20.0,55.6,4.2,8.8,2.7,7.1,38.4,0.5,1.4,36.5,2.9,3.4,83.9,1.4,2.7,4.1,1.3,1.2,0.5,0.6,0.4,2.3,0.0,1.0,Detroit Pistons,45.0,25.0,20.0,189.0,104.2,96.2,8.0,46.7,1.1,11.0,40.2,71.4,55.0,13.6,42.0,51.4,95.21,54.5,Detroit Pistons,45.0,25.0,20.0,4.2,2.6,6.5,39.6,0.4,1.6,25.0,2.3,2.9,78.8,1.0,2.6,3.5,1.3,1.1,0.7,0.4,0.6,2.6,2.3,7.9,-1.0
Dallas Mavericks,82.0,52.0,30.0,0.634,48.3,105.2,40.5,88.2,45.9,6.2,17.8,34.8,18.0,22.6,79.6,14.3,31.0,45.3,23.9,12.2,8.0,5.3,4.7,19.6,0.0,4.4,Dallas Mavericks,82.0,52.0,30.0,3961.0,110.4,105.9,4.5,59.1,1.96,17.7,33.5,68.6,50.7,12.8,49.5,53.6,94.62,52.7,7814.0,Dallas Mavericks,82.0,52.0,30.0,48.3,105.9,31.0,68.6,8.0,5.3,13.9,13.2,14.4,44.0,Dallas Mavericks,82.0,52.0,30.0,48.3,38.2,83.2,45.9,6.5,17.9,36.3,17.8,23.9,74.6,12.3,31.2,43.5,23.6,15.2,7.1,4.7,5.3,20.6,19.6,100.8,-4.4,Dallas Mavericks,40.0,22.0,18.0,55.0,3.7,7.7,2.6,6.7,37.9,0.5,2.2,20.7,2.1,2.7,79.2,1.4,2.5,3.8,1.5,1.1,0.4,0.5,0.5,2.3,0.0,-1.0,Dallas Mavericks,40.0,22.0,18.0,148.0,98.4,112.1,-13.7,59.8,1.42,14.0,36.5,68.6,51.3,13.8,41.3,48.5,100.41,39.9,Dallas Mavericks,40.0,22.0,18.0,3.7,2.7,6.1,44.4,0.7,1.8,38.6,2.5,3.5,73.2,1.0,2.7,3.7,1.6,0.7,0.7,0.5,0.5,2.0,2.3,8.6,1.0
Memphis Grizzlies,82.0,50.0,32.0,0.61,48.5,96.7,36.1,81.2,44.5,5.5,16.0,34.0,19.0,26.1,72.7,12.8,29.0,41.8,23.4,15.0,9.7,6.9,5.6,23.2,0.0,2.4,Memphis Grizzlies,82.0,50.0,32.0,3976.0,103.4,100.8,2.6,64.6,1.56,17.7,32.5,65.5,48.9,16.0,47.9,52.2,92.6,52.2,7670.0,Memphis Grizzlies,82.0,50.0,32.0,48.5,100.8,29.0,65.5,9.7,6.9,15.5,15.0,13.1,41.4,Memphis Grizzlies,82.0,50.0,32.0,48.5,34.9,79.9,43.6,4.5,13.3,33.8,20.0,26.2,76.4,13.4,30.6,44.0,20.4,17.0,8.2,5.6,6.9,23.1,23.2,94.3,-2.4,Memphis Grizzlies,48.0,27.0,21.0,56.3,3.9,8.7,2.6,6.0,43.4,0.4,1.5,30.0,3.0,4.1,73.6,1.0,2.4,3.4,1.3,0.7,0.6,0.5,0.3,2.3,0.0,0.9,Memphis Grizzlies,48.0,27.0,21.0,186.0,110.1,96.6,13.4,48.8,1.79,12.2,33.9,65.3,50.0,9.0,47.0,55.5,98.38,61.2,Memphis Grizzlies,48.0,27.0,21.0,3.9,2.4,6.3,38.6,0.5,1.5,29.7,2.4,3.1,78.4,1.1,2.5,3.7,1.2,1.3,0.4,0.3,0.5,2.8,2.3,7.8,-0.9
New Jersey Nets,82.0,47.0,35.0,0.573,48.1,90.3,34.3,77.7,44.1,4.6,13.7,33.6,17.0,22.6,75.3,10.5,30.2,40.7,24.5,14.7,8.6,3.9,4.6,21.0,0.1,2.5,New Jersey Nets,82.0,47.0,35.0,3941.0,99.0,96.4,2.6,71.4,1.66,19.1,28.9,71.1,50.1,16.2,47.1,51.5,90.97,53.3,7475.0,New Jersey Nets,82.0,47.0,35.0,48.1,96.4,30.2,71.1,8.6,3.9,15.5,11.4,11.0,33.1,New Jersey Nets,82.0,47.0,35.0,48.1,32.8,76.9,42.7,5.1,14.5,35.0,17.0,22.3,76.1,10.6,30.1,40.8,19.8,16.1,8.0,4.6,3.9,21.2,21.0,87.8,-2.5,New Jersey Nets,33.0,15.0,18.0,45.5,3.9,8.1,2.4,6.1,39.3,0.4,1.6,25.9,2.9,3.7,79.3,0.9,2.7,3.6,1.5,1.3,1.0,0.4,0.6,2.4,0.0,0.1,New Jersey Nets,33.0,15.0,18.0,130.0,96.1,94.0,2.1,64.6,1.21,14.0,29.1,68.8,49.6,15.1,42.8,52.7,103.63,55.5,New Jersey Nets,33.0,15.0,18.0,3.9,2.5,6.4,38.7,0.4,1.6,24.5,2.6,3.4,77.0,1.2,2.5,3.6,1.4,1.4,0.6,0.6,0.4,2.5,2.4,8.0,-0.1
Houston Rockets,82.0,45.0,37.0,0.549,48.6,89.8,33.4,75.5,44.2,6.3,17.1,36.6,16.7,21.6,77.3,10.3,32.3,42.6,19.3,16.7,6.8,5.4,4.4,21.5,0.0,1.7,Houston Rockets,82.0,45.0,37.0,3986.0,99.7,97.8,1.9,57.7,1.15,15.8,30.5,70.8,51.6,18.6,48.4,52.8,88.92,51.3,7384.0,Houston Rockets,82.0,45.0,37.0,48.6,97.8,32.3,70.8,6.8,5.4,17.1,12.4,10.3,30.3,Houston Rockets,82.0,45.0,37.0,48.6,32.1,78.1,41.2,5.6,15.0,37.2,18.2,24.7,73.7,11.1,28.7,39.7,20.6,13.5,8.7,4.4,5.4,20.7,21.5,88.0,-1.7,Houston Rockets,44.0,20.0,24.0,45.5,4.7,10.2,3.2,6.7,48.0,0.5,1.5,29.4,3.3,4.2,78.1,0.9,3.0,3.9,1.8,1.8,0.6,0.5,0.2,3.2,0.0,-0.2,Houston Rockets,44.0,20.0,24.0,207.0,106.9,107.3,-0.3,57.0,1.05,14.6,36.3,61.6,50.7,18.4,51.4,59.4,98.08,52.8,Houston Rockets,44.0,20.0,24.0,4.7,3.1,7.7,39.7,0.8,2.2,38.9,3.4,4.4,77.7,1.5,2.2,3.7,1.9,1.3,1.0,0.2,0.5,3.3,3.2,10.4,0.2
