TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
Dallas Mavericks,82.0,67.0,15.0,3951.0,109.7,102.1,7.6,54.2,1.43,16.0,32.0,71.9,52.2,15.2,50.9,55.9,90.68,55.2,7476.0
Phoenix Suns,82.0,61.0,21.0,3981.0,112.9,105.5,7.4,62.6,1.78,19.3,26.2,68.3,48.4,14.9,55.1,59.0,96.45,56.1,8002.0
San Antonio Spurs,82.0,58.0,24.0,3956.0,108.6,99.4,9.2,60.5,1.6,17.8,27.9,71.5,50.5,15.3,52.1,56.1,90.22,56.9,7440.0
Detroit Pistons,82.0,53.0,29.0,3976.0,107.4,102.6,4.8,60.1,1.77,17.3,30.7,67.8,49.3,13.7,48.8,53.5,88.56,53.3,7332.0
Houston Rockets,82.0,52.0,30.0,3971.0,104.7,99.7,4.9,58.6,1.47,16.5,28.7,72.5,50.8,15.3,49.9,54.0,91.7,52.9,7598.0
Utah Jazz,82.0,51.0,31.0,3961.0,108.6,105.6,3.0,65.9,1.58,18.5,35.2,72.1,53.4,16.7,50.2,55.1,92.81,53.1,7661.0
Cleveland Cavaliers,82.0,50.0,32.0,3976.0,104.4,100.6,3.8,57.4,1.45,16.2,32.7,72.1,51.8,15.5,48.4,52.2,91.59,52.0,7598.0
Chicago Bulls,82.0,49.0,33.0,3956.0,104.0,98.8,5.2,60.1,1.4,17.0,31.9,70.7,51.4,16.8,49.3,53.4,94.47,53.9,7790.0
Toronto Raptors,82.0,47.0,35.0,3951.0,105.7,104.4,1.2,60.1,1.65,17.5,25.0,71.1,48.1,14.3,50.4,55.0,93.86,51.4,7719.0
Denver Nuggets,82.0,45.0,37.0,3956.0,106.7,105.1,1.7,60.7,1.42,17.1,32.2,67.8,50.2,16.7,50.1,54.8,98.2,51.4,8093.0
Miami Heat,82.0,44.0,38.0,3971.0,103.4,104.6,-1.2,57.6,1.4,16.6,27.9,69.3,49.3,16.0,50.6,54.1,90.61,50.8,7503.0
Golden State Warriors,82.0,42.0,40.0,3951.0,106.2,106.5,-0.3,59.8,1.49,17.3,28.5,66.2,47.2,15.9,51.2,54.8,99.97,48.9,8228.0
Los Angeles Lakers,82.0,42.0,40.0,4006.0,107.3,107.5,-0.2,59.6,1.45,17.1,30.0,69.0,49.6,16.1,51.1,55.4,94.58,49.9,7898.0
New Jersey Nets,82.0,41.0,41.0,3976.0,104.2,105.1,-0.9,67.4,1.62,18.5,27.5,71.4,49.6,15.8,50.4,54.6,92.69,49.9,7682.0
Washington Wizards,82.0,41.0,41.0,3966.0,108.7,109.1,-0.4,54.1,1.47,15.5,31.2,67.8,48.9,14.4,49.1,54.2,95.33,48.5,7870.0
Los Angeles Clippers,82.0,40.0,42.0,3946.0,103.8,104.2,-0.4,61.2,1.42,17.0,30.7,71.2,51.3,16.4,48.1,53.7,91.92,50.9,7554.0
Orlando Magic,82.0,40.0,42.0,3956.0,104.1,103.3,0.8,53.0,1.1,15.1,33.3,69.7,51.9,18.6,50.0,54.4,90.54,50.2,7465.0
New Orleans/Oklahoma City Hornets,82.0,39.0,43.0,3976.0,103.7,105.4,-1.6,51.7,1.29,14.9,31.8,71.9,51.4,15.7,47.9,52.0,91.19,48.5,7551.0
Indiana Pacers,82.0,35.0,47.0,3956.0,101.9,104.4,-2.5,58.5,1.26,15.9,32.1,69.4,50.3,17.3,47.4,52.3,93.43,48.5,7697.0
Philadelphia 76ers,82.0,35.0,47.0,3976.0,102.4,105.6,-3.2,56.9,1.33,16.1,30.6,67.8,49.3,16.5,48.0,53.0,91.84,48.9,7606.0
Charlotte Bobcats,82.0,33.0,49.0,4001.0,102.4,106.3,-3.9,62.0,1.5,17.1,29.9,68.2,48.5,15.8,48.0,52.4,93.11,47.1,7758.0
New York Knicks,82.0,33.0,49.0,4001.0,104.3,107.4,-3.1,52.8,1.09,14.7,33.7,71.4,52.7,18.3,49.4,53.9,91.89,47.1,7661.0
Sacramento Kings,82.0,33.0,49.0,3961.0,105.1,106.7,-1.6,56.6,1.39,15.8,26.7,69.2,47.7,15.1,49.1,54.5,95.83,48.5,7898.0
Minnesota Timberwolves,82.0,32.0,50.0,4001.0,102.4,106.5,-4.0,61.7,1.45,17.5,29.2,69.8,50.0,16.6,49.0,53.7,92.19,48.7,7689.0
Portland Trail Blazers,82.0,32.0,50.0,3991.0,103.8,108.6,-4.8,52.6,1.22,15.0,32.6,69.7,50.7,16.6,48.3,53.0,89.36,45.9,7431.0
Seattle SuperSonics,82.0,31.0,51.0,3966.0,105.9,108.9,-3.0,55.6,1.34,16.2,31.2,67.6,49.2,16.5,49.9,54.4,92.92,47.4,7674.0
Atlanta Hawks,82.0,30.0,52.0,3976.0,102.0,107.0,-5.1,55.6,1.2,15.3,32.8,67.6,49.9,17.3,47.1,52.3,90.98,46.6,7533.0
Milwaukee Bucks,82.0,28.0,54.0,3971.0,106.0,110.3,-4.3,56.7,1.43,16.7,30.6,65.7,47.9,16.1,50.4,54.1,93.33,45.6,7709.0
Boston Celtics,82.0,24.0,58.0,3971.0,102.3,105.8,-3.5,57.0,1.21,15.6,30.9,70.5,50.2,17.6,47.9,53.0,92.91,45.9,7680.0
Memphis Grizzlies,82.0,22.0,60.0,3996.0,105.7,110.9,-5.2,56.0,1.25,15.9,29.1,68.2,48.6,17.0,50.4,55.5,94.77,46.2,7883.0
