general_traditional_Team,general_traditional_GP,general_traditional_W,general_traditional_L,general_traditional_WIN%,general_traditional_Min,general_traditional_PTS,general_traditional_FGM,general_traditional_FGA,general_traditional_FG%,general_traditional_3PM,general_traditional_3PA,general_traditional_3P%,general_traditional_FTM,general_traditional_FTA,general_traditional_FT%,general_traditional_OREB,general_traditional_DREB,general_traditional_REB,general_traditional_AST,general_traditional_TOV,general_traditional_STL,general_traditional_BLK,general_traditional_BLKA,general_traditional_PF,general_traditional_PFD,general_traditional_+/-,general_advanced_TEAM,general_advanced_GP,general_advanced_W,general_advanced_L,general_advanced_MIN,general_advanced_OffRtg,general_advanced_DefRtg,general_advanced_NetRtg,general_advanced_AST%,general_advanced_AST/TO,general_advanced_AST,general_advanced_OREB%,general_advanced_DREB%,general_advanced_REB%,general_advanced_TOV%,general_advanced_eFG%,general_advanced_TS%,general_advanced_PACE,general_advanced_PIE,general_advanced_POSS,general_defense_TEAM,general_defense_GP,general_defense_W,general_defense_L,general_defense_MIN,general_defense_DEF RTG,general_defense_DREB,general_defense_DREB%,general_defense_STL,general_defense_BLK,general_defense_OPP PTS,general_defense_OPP PTS.1,general_defense_OPP PTS.2,general_defense_OPP PTS.3,general_opponent_TEAM,general_opponent_Games Played,general_opponent_Wins,general_opponent_Losses,general_opponent_Minutes Played,general_opponent_Opponent's Field Goals Made,general_opponent_Opponent's Field Goals Attempted,general_opponent_Opponent's Field Goal Percentage,general_opponent_Opponent's 3 Point Field Goals Made,general_opponent_Opponent's 3 Point Field Goals Attempted,general_opponent_Opponent's 3 Point Field Goal Percentage,general_opponent_Opponent's Free Throws Made,general_opponent_Opponent's Free Throws Attempted,general_opponent_Opponent's Free Throw Percentage,general_opponent_Opponent's Offensive Rebounds,general_opponent_Opponent's Defensive Rebounds,general_opponent_Opponent's Rebounds,general_opponent_Opponent's Assists,general_opponent_Opponent's Turnovers,general_opponent_Opponent's Steals,general_opponent_Opponent's Blocks,general_opponent_Opponent's Blocked Field Goal Attempts,general_opponent_Opponent's Personal Fouls,general_opponent_Opponent's Personal Fouls Drawn,general_opponent_Opponent's Points,general_opponent_Plus-Minus,clutch-traditional_TEAM,clutch-traditional_Games Played,clutch-traditional_Wins,clutch-traditional_Losses,clutch-traditional_Win Percentage,clutch-traditional_Minutes Played,clutch-traditional_Points,clutch-traditional_Field Goals Made,clutch-traditional_Field Goals Attempted,clutch-traditional_Field Goal Percentage,clutch-traditional_3 Point Field Goals Made,clutch-traditional_3 Point Field Goals Attempted,clutch-traditional_3 Point Field Goal Percentage,clutch-traditional_Free Throws Made,clutch-traditional_Free Throws Attempted,clutch-traditional_Free Throw Percentage,clutch-traditional_Offensive Rebounds,clutch-traditional_Defensive Rebounds,clutch-traditional_Rebounds,clutch-traditional_Assists,clutch-traditional_Turnovers,clutch-traditional_Steals,clutch-traditional_Blocks,clutch-traditional_Blocks Against,clutch-traditional_Personal Fouls,clutch-traditional_Personal Fouls Drawn,clutch-traditional_Plus-Minus,clutch-advanced_TEAM,clutch-advanced_Games Played,clutch-advanced_Wins,clutch-advanced_Losses,clutch-advanced_Minutes Played,clutch-advanced_Offensive Rating,clutch-advanced_Defensive Rating,clutch-advanced_Net Rating,clutch-advanced_Assist Percentage,clutch-advanced_Assist to Turnover Ratio,clutch-advanced_Assist Ratio,clutch-advanced_Offensive Rebounding Percentage,clutch-advanced_Defensive Rebounding Percentage,clutch-advanced_Rebounding Percentage,clutch-advanced_Turnover Ratio,clutch-advanced_Effective Field Goal Percentage,clutch-advanced_True Shooting Percentage,clutch-advanced_Pace,clutch-advanced_Player Impact Estimate,clutch-opponent_TEAM,clutch-opponent_Games Played,clutch-opponent_Wins,clutch-opponent_Losses,clutch-opponent_Minutes Played,clutch-opponent_Opponent's Field Goals Made,clutch-opponent_Opponent's Field Goals Attempted,clutch-opponent_Opponent's Field Goal Percentage,clutch-opponent_Opponent's 3 Point Field Goals Made,clutch-opponent_Opponent's 3 Point Field Goals Attempted,clutch-opponent_Opponent's 3 Point Field Goal Percentage,clutch-opponent_Opponent's Free Throws Made,clutch-opponent_Opponent's Free Throws Attempted,clutch-opponent_Opponent's Free Throw Percentage,clutch-opponent_Opponent's Offensive Rebounds,clutch-opponent_Opponent's Defensive Rebounds,clutch-opponent_Opponent's Rebounds,clutch-opponent_Opponent's Assists,clutch-opponent_Opponent's Turnovers,clutch-opponent_Opponent's Steals,clutch-opponent_Opponent's Blocks,clutch-opponent_Opponent's Blocked Field Goal Attempts,clutch-opponent_Opponent's Personal Fouls,clutch-opponent_Opponent's Personal Fouls Drawn,clutch-opponent_Opponent's Points,clutch-opponent_Plus-Minus
Miami Heat,82.0,66.0,16.0,0.805,48.5,102.9,38.4,77.4,49.6,8.7,22.1,39.6,17.4,23.0,75.4,8.2,30.4,38.6,23.0,13.9,8.7,5.4,3.2,18.7,20.4,7.9,Miami Heat,82.0,66.0,16.0,3976.0,111.4,103.2,8.2,60.0,1.65,18.4,26.4,67.8,48.5,15.1,55.2,58.8,91.26,56.4,7572.0,Miami Heat,82.0,66.0,16.0,48.5,103.2,30.4,67.8,8.7,5.4,15.7,14.7,11.9,39.9,Miami Heat,82.0,66.0,16.0,48.5,35.6,80.9,44.0,7.6,21.7,35.0,16.2,21.2,76.6,11.2,28.9,40.1,20.2,15.6,7.9,3.2,5.4,20.4,18.7,95.0,-7.9,Miami Heat,40.0,32.0,8.0,80.0,4.4,10.7,3.5,7.2,48.8,0.9,2.6,32.7,2.8,3.7,75.0,1.0,3.2,4.1,2.2,1.0,0.7,0.8,0.5,1.6,2.7,3.3,Miami Heat,40.0,32.0,8.0,176.0,118.3,89.4,28.9,62.4,2.2,17.6,37.0,71.7,55.3,11.1,54.7,60.3,94.43,75.6,Miami Heat,40.0,32.0,8.0,4.4,2.6,6.9,36.8,0.6,2.1,29.4,1.7,2.3,73.6,0.9,2.5,3.3,1.3,1.4,0.6,0.5,0.8,2.7,1.6,7.4,-3.3
Oklahoma City Thunder,82.0,60.0,22.0,0.732,48.4,105.7,38.1,79.3,48.1,7.3,19.4,37.7,22.2,26.8,82.8,10.4,33.2,43.6,21.4,15.3,8.3,7.6,3.9,20.2,20.7,9.2,Oklahoma City Thunder,82.0,60.0,22.0,3966.0,111.0,101.2,9.9,56.1,1.4,16.6,29.1,70.2,51.3,16.0,52.7,58.0,94.58,57.0,7808.0,Oklahoma City Thunder,82.0,60.0,22.0,48.4,101.2,33.2,70.2,8.3,7.6,16.7,13.6,12.5,40.7,Oklahoma City Thunder,82.0,60.0,22.0,48.4,36.2,85.0,42.5,7.4,21.5,34.6,16.7,21.6,77.4,12.0,28.7,40.7,20.5,14.8,8.2,3.9,7.6,20.7,20.2,96.5,-9.2,Oklahoma City Thunder,37.0,21.0,16.0,56.8,3.9,9.1,2.4,6.1,39.8,0.6,1.6,36.7,3.6,4.0,90.5,1.0,2.8,3.8,1.0,1.1,0.6,0.7,0.3,2.1,2.6,1.2,Oklahoma City Thunder,37.0,21.0,16.0,145.0,109.1,100.0,9.1,41.1,0.9,9.6,31.0,71.1,52.2,13.4,44.7,57.6,98.89,58.4,Oklahoma City Thunder,37.0,21.0,16.0,3.9,2.5,6.5,38.3,0.6,1.8,35.4,2.3,2.9,80.2,0.9,2.4,3.3,1.5,0.9,0.7,0.3,0.7,2.6,2.1,7.9,-1.2
San Antonio Spurs,82.0,58.0,24.0,0.707,48.5,103.0,39.1,81.4,48.1,8.1,21.5,37.6,16.6,21.0,79.1,8.1,33.2,41.3,25.1,14.7,8.5,5.4,4.9,17.4,19.1,6.4,San Antonio Spurs,82.0,58.0,24.0,3976.0,107.0,100.3,6.7,64.1,1.71,19.1,24.3,71.5,49.3,15.3,53.1,56.8,95.31,55.1,7892.0,San Antonio Spurs,82.0,58.0,24.0,48.5,100.3,33.2,71.5,8.5,5.4,16.4,12.5,14.2,40.0,San Antonio Spurs,82.0,58.0,24.0,48.5,37.5,84.9,44.2,6.3,17.9,35.3,15.2,20.0,76.0,11.1,31.4,42.5,21.4,14.9,8.2,4.9,5.4,19.1,17.4,96.6,-6.4,San Antonio Spurs,43.0,28.0,15.0,65.1,4.2,8.9,3.0,7.2,41.8,0.7,2.3,31.0,2.1,2.8,75.8,0.9,2.9,3.7,1.8,1.0,0.6,0.6,0.4,2.0,2.3,1.0,San Antonio Spurs,43.0,28.0,15.0,180.0,101.1,97.4,3.7,59.2,1.83,15.3,27.6,66.7,47.3,11.1,46.8,52.5,96.49,56.6,San Antonio Spurs,43.0,28.0,15.0,4.2,2.6,6.9,37.9,0.6,2.1,28.1,2.0,2.5,80.4,1.0,3.0,4.0,1.5,1.1,0.6,0.4,0.6,2.3,2.0,7.8,-1.0
Denver Nuggets,82.0,57.0,25.0,0.695,48.5,106.1,40.7,85.2,47.8,6.4,18.5,34.3,18.4,26.2,70.1,13.3,31.7,45.0,24.4,15.3,9.3,6.5,6.8,20.5,21.6,5.1,Denver Nuggets,82.0,57.0,25.0,3981.0,109.3,104.2,5.1,60.0,1.6,17.8,34.5,67.5,51.3,15.7,51.5,54.9,95.92,53.8,7960.0,Denver Nuggets,82.0,57.0,25.0,48.5,104.2,31.7,67.5,9.3,6.5,17.3,14.8,12.2,40.7,Denver Nuggets,82.0,57.0,25.0,48.5,38.1,85.7,44.4,8.4,23.1,36.3,16.6,22.7,73.1,12.4,29.2,41.6,23.6,15.9,8.0,6.8,6.5,21.6,20.5,101.1,-5.1,Denver Nuggets,47.0,29.0,18.0,61.7,4.5,10.5,3.6,7.6,46.9,0.5,1.6,32.4,2.9,4.3,68.5,1.2,2.8,4.0,1.6,1.0,0.9,0.3,0.9,2.4,2.8,1.3,Denver Nuggets,47.0,29.0,18.0,211.0,112.8,100.9,11.8,45.5,1.55,13.0,36.2,67.6,51.9,11.2,50.3,55.7,98.94,56.8,Denver Nuggets,47.0,29.0,18.0,4.5,3.0,7.3,41.3,0.7,2.3,32.1,2.5,3.3,75.5,1.0,2.7,3.7,1.8,1.4,0.6,0.9,0.3,2.8,2.4,9.3,-1.3
Los Angeles Clippers,82.0,56.0,26.0,0.683,48.1,101.1,38.5,80.6,47.8,7.6,21.4,35.8,16.4,23.0,71.1,11.4,30.2,41.6,23.9,14.6,9.6,5.6,4.1,20.9,20.9,6.5,Los Angeles Clippers,82.0,56.0,26.0,3946.0,109.8,102.8,6.9,62.0,1.64,18.4,32.3,69.7,51.2,15.9,52.6,55.7,91.83,54.8,7552.0,Los Angeles Clippers,82.0,56.0,26.0,48.1,102.8,30.2,69.7,9.6,5.6,16.0,13.0,12.3,37.2,Los Angeles Clippers,82.0,56.0,26.0,48.1,34.6,78.0,44.3,7.6,20.5,37.3,17.9,23.9,74.9,10.9,28.2,39.1,22.1,16.1,7.4,4.1,5.6,20.9,20.9,94.6,-6.5,Los Angeles Clippers,32.0,17.0,15.0,53.1,4.0,9.6,2.9,6.1,47.4,0.6,1.9,31.7,3.3,4.2,78.2,0.9,2.3,3.3,1.4,1.2,0.5,0.7,0.2,2.5,2.8,0.1,Los Angeles Clippers,32.0,17.0,15.0,128.0,117.2,116.5,0.7,50.0,1.21,13.3,35.4,73.0,54.0,14.5,52.3,60.8,98.42,50.8,Los Angeles Clippers,32.0,17.0,15.0,4.0,3.0,6.2,48.5,0.7,1.6,44.2,2.8,3.4,81.7,0.5,1.9,2.4,1.9,1.0,0.5,0.2,0.7,2.8,2.5,9.5,-0.1
Memphis Grizzlies,82.0,56.0,26.0,0.683,48.3,93.4,36.1,81.5,44.4,4.7,13.5,34.5,16.5,21.3,77.3,12.9,29.8,42.7,20.9,14.0,8.6,5.3,5.5,20.2,20.0,4.1,Memphis Grizzlies,82.0,56.0,26.0,3961.0,103.6,99.1,4.5,57.9,1.5,16.5,34.4,70.2,52.0,15.5,47.2,51.4,89.56,53.1,7394.0,Memphis Grizzlies,82.0,56.0,26.0,48.3,99.1,29.8,70.2,8.6,5.3,14.9,11.9,12.4,38.0,Memphis Grizzlies,82.0,56.0,26.0,48.3,33.5,77.0,43.5,6.1,18.2,33.8,16.1,21.5,74.8,10.3,28.8,39.1,19.5,15.5,7.3,5.5,5.3,20.0,20.2,89.3,-4.1,Memphis Grizzlies,45.0,27.0,18.0,60.0,3.8,7.6,2.3,6.0,38.7,0.3,1.1,26.0,2.7,3.4,78.1,1.3,2.6,3.9,1.1,1.2,0.5,0.5,0.5,2.1,2.3,1.1,Memphis Grizzlies,45.0,27.0,18.0,172.0,100.0,92.5,7.5,47.1,0.88,10.7,41.5,71.2,56.1,16.4,41.1,50.7,92.25,59.4,Memphis Grizzlies,45.0,27.0,18.0,3.8,1.9,5.6,34.4,0.4,1.8,24.4,2.2,2.9,75.8,0.8,2.1,2.9,1.1,0.9,0.6,0.5,0.5,2.3,2.1,6.5,-1.1
New York Knicks,82.0,54.0,28.0,0.659,48.1,100.0,36.5,81.6,44.8,10.9,28.9,37.6,16.0,21.1,75.9,10.9,29.7,40.6,19.3,12.0,8.2,3.6,4.0,20.1,19.2,4.2,New York Knicks,82.0,54.0,28.0,3946.0,109.8,105.4,4.5,52.7,1.6,15.6,29.1,70.8,49.4,13.2,51.5,55.0,90.68,51.2,7462.0,New York Knicks,82.0,54.0,28.0,48.1,105.4,29.7,70.8,8.2,3.6,13.5,12.4,12.1,39.7,New York Knicks,82.0,54.0,28.0,48.1,35.6,77.6,45.8,7.8,21.8,35.7,16.8,22.2,75.7,10.0,31.6,41.6,19.3,15.1,6.4,4.0,3.6,19.2,20.1,95.7,-4.2,New York Knicks,39.0,22.0,17.0,56.4,3.5,6.8,2.2,5.7,38.0,0.6,2.0,28.6,2.0,2.5,77.8,1.1,2.3,3.4,0.9,0.9,0.5,0.5,0.3,1.8,2.0,0.6,New York Knicks,39.0,22.0,17.0,138.0,100.4,90.0,10.4,41.7,1.0,9.9,35.8,71.2,53.0,13.2,43.0,50.5,93.36,56.6,New York Knicks,39.0,22.0,17.0,3.5,1.8,5.1,36.0,0.4,1.6,25.0,2.1,2.6,81.4,0.7,2.2,2.9,0.8,1.1,0.6,0.3,0.5,2.0,1.8,6.2,-0.6
Indiana Pacers,81.0,49.0,32.0,0.605,48.4,94.7,35.1,80.6,43.6,6.9,19.7,34.7,17.6,23.6,74.6,12.9,33.0,45.9,20.3,15.1,7.2,6.3,5.7,20.0,21.9,4.0,Indiana Pacers,81.0,49.0,32.0,3918.0,103.4,99.0,4.4,57.8,1.34,16.0,33.6,70.1,52.2,16.5,47.9,52.1,90.9,53.7,7420.0,Indiana Pacers,81.0,49.0,32.0,48.4,99.0,33.0,70.1,7.2,6.3,16.0,12.9,10.1,35.5,Indiana Pacers,81.0,49.0,32.0,48.4,34.5,82.2,42.0,5.4,16.6,32.7,16.2,21.3,76.0,11.2,29.6,40.9,19.2,13.5,7.5,5.7,6.3,21.9,20.0,90.7,-4.0,Indiana Pacers,43.0,23.0,20.0,53.5,3.9,7.8,2.4,6.3,38.4,0.6,1.6,34.3,2.4,3.3,73.4,1.4,2.9,4.3,1.3,1.2,0.6,0.8,0.4,1.7,2.2,0.9,Indiana Pacers,43.0,23.0,20.0,167.0,100.3,90.3,10.0,52.9,1.1,12.1,40.4,68.4,54.8,14.9,42.8,50.5,95.73,60.6,Indiana Pacers,43.0,23.0,20.0,3.9,2.4,6.6,36.9,0.3,1.2,26.9,1.7,2.4,71.4,1.0,2.4,3.4,1.3,1.0,0.6,0.4,0.8,2.2,1.7,6.9,-0.9
Brooklyn Nets,82.0,49.0,33.0,0.598,48.4,96.9,35.9,79.8,45.0,7.7,21.5,35.7,17.5,23.9,73.1,12.8,30.0,42.8,20.3,14.7,7.3,4.8,4.8,18.3,21.4,1.8,Brooklyn Nets,82.0,49.0,33.0,3971.0,106.9,104.8,2.0,56.7,1.38,16.1,34.3,70.1,52.0,16.2,49.8,53.6,89.88,50.9,7433.0,Brooklyn Nets,82.0,49.0,33.0,48.4,104.8,30.0,70.1,7.3,4.8,16.9,12.4,13.9,43.4,Brooklyn Nets,82.0,49.0,33.0,48.4,37.4,80.7,46.4,6.3,17.3,36.6,14.0,19.2,73.1,10.7,28.5,39.2,21.4,13.4,7.5,4.8,4.8,21.4,18.3,95.1,-1.8,Brooklyn Nets,40.0,26.0,14.0,65.0,4.3,8.6,2.4,6.4,38.2,0.5,1.7,28.8,3.3,4.1,79.9,1.1,2.6,3.6,1.0,1.3,0.7,0.5,0.5,2.6,2.8,0.1,Brooklyn Nets,40.0,26.0,14.0,174.0,98.6,100.0,-1.4,42.3,0.79,9.3,32.2,62.2,47.8,14.9,41.9,52.7,94.96,50.0,Brooklyn Nets,40.0,26.0,14.0,4.3,2.9,7.1,40.8,0.5,1.8,27.8,2.2,3.3,66.9,1.4,2.8,4.2,1.3,1.1,0.7,0.5,0.5,2.8,2.6,8.5,-0.1
Golden State Warriors,82.0,47.0,35.0,0.573,48.3,101.2,38.2,83.4,45.8,8.0,19.9,40.3,16.8,21.3,79.0,10.8,34.2,45.0,22.5,15.1,6.9,4.2,4.9,21.4,19.2,0.9,Golden State Warriors,82.0,47.0,35.0,3961.0,105.1,104.2,0.9,58.9,1.49,17.1,28.5,71.2,50.6,15.7,50.6,54.5,95.64,50.2,7893.0,Golden State Warriors,82.0,47.0,35.0,48.3,104.2,34.2,71.2,6.9,4.2,17.3,13.9,13.8,40.4,Golden State Warriors,82.0,47.0,35.0,48.3,37.2,84.8,43.9,8.0,23.1,34.7,17.9,23.9,74.8,11.1,31.7,42.7,23.5,13.5,8.2,4.9,4.2,19.2,21.4,100.3,-0.9,Golden State Warriors,40.0,24.0,16.0,60.0,4.1,9.0,2.6,6.5,39.5,0.6,1.9,32.4,3.3,3.9,83.4,0.9,3.1,3.9,1.5,1.0,0.7,0.3,0.4,2.3,2.7,0.9,Golden State Warriors,40.0,24.0,16.0,163.0,103.8,96.7,7.0,58.8,1.5,13.4,27.4,69.6,49.4,11.6,44.2,54.9,100.15,58.8,Golden State Warriors,40.0,24.0,16.0,4.1,2.7,6.7,39.9,0.7,2.3,30.0,2.1,3.1,68.3,1.1,2.9,4.0,1.5,1.3,0.5,0.4,0.3,2.7,2.3,8.1,-0.9
