TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Detroit Pistons,82.0,64.0,18.0,48.4,35.5,78.7,45.2,4.0,12.3,32.5,15.1,20.5,73.6,11.6,29.3,40.9,18.8,14.0,5.9,3.5,6.0,21.0,18.5,90.2,-6.7
San Antonio Spurs,82.0,63.0,19.0,48.3,33.9,78.3,43.3,3.7,10.8,33.9,17.2,23.3,74.0,10.8,29.5,40.3,16.3,13.9,7.3,4.2,5.7,20.8,20.9,88.8,-6.8
Dallas Mavericks,82.0,60.0,22.0,48.5,34.2,77.1,44.3,4.9,13.7,36.1,19.8,26.4,75.2,11.4,26.9,38.3,17.5,14.0,6.5,4.9,6.0,23.9,22.4,93.1,-6.1
Phoenix Suns,82.0,54.0,28.0,48.7,39.5,87.1,45.4,6.3,17.4,36.3,17.4,23.9,73.1,12.5,33.4,45.9,18.9,14.9,7.2,3.4,5.0,19.8,20.5,102.8,-5.5
Miami Heat,82.0,52.0,30.0,48.2,35.0,79.6,44.0,6.0,16.6,36.1,20.0,27.1,73.9,10.1,28.8,38.8,19.5,13.0,6.8,3.6,5.4,23.6,22.8,96.0,-3.9
Cleveland Cavaliers,82.0,50.0,32.0,48.4,36.0,79.0,45.5,5.6,15.7,35.6,17.8,24.0,74.2,9.8,29.5,39.4,20.3,13.2,6.6,4.4,4.8,22.5,21.1,95.4,-2.2
Memphis Grizzlies,82.0,49.0,33.0,48.4,32.8,75.3,43.6,5.0,14.9,33.4,17.9,23.7,75.4,11.3,29.3,40.6,19.6,14.8,7.3,5.6,5.4,22.8,21.4,88.5,-3.7
New Jersey Nets,82.0,49.0,33.0,48.2,33.3,75.9,43.9,5.7,16.3,34.8,20.2,27.2,74.1,9.6,31.7,41.3,20.0,14.4,7.2,4.0,3.4,23.0,23.2,92.4,-1.4
Los Angeles Clippers,82.0,47.0,35.0,48.3,35.2,81.0,43.5,5.8,16.7,34.7,19.4,26.5,73.2,10.5,29.7,40.1,21.5,12.8,7.0,4.3,6.1,21.7,22.8,95.6,-1.6
Los Angeles Lakers,82.0,45.0,37.0,48.4,35.9,79.8,45.0,5.8,16.4,35.3,19.3,25.9,74.7,10.9,29.3,40.1,21.1,14.1,6.5,4.3,4.3,23.5,23.1,96.9,-2.5
