TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
San Antonio Spurs,82.0,62.0,20.0,48.2,101.4,34.0,72.5,7.4,5.1,16.3,12.7,12.8,42.2
Oklahoma City Thunder,82.0,59.0,23.0,48.3,103.0,33.9,72.2,8.3,6.1,17.3,12.3,12.8,39.7
Los Angeles Clippers,82.0,57.0,25.0,48.2,104.0,32.5,69.0,8.6,4.8,15.6,14.2,11.1,44.6
Indiana Pacers,82.0,56.0,26.0,48.2,98.9,34.5,72.1,6.7,5.4,15.4,11.7,11.7,35.7
Houston Rockets,82.0,54.0,28.0,48.4,105.2,34.1,70.0,7.6,5.6,18.0,14.6,13.8,44.0
Miami Heat,82.0,54.0,28.0,48.5,105.0,29.2,68.6,8.9,4.5,17.4,13.3,12.0,41.1
Portland Trail Blazers,82.0,54.0,28.0,48.4,106.2,34.0,71.3,5.5,4.7,15.6,14.0,13.3,45.6
Golden State Warriors,82.0,51.0,31.0,48.4,101.4,34.4,72.4,7.8,5.0,17.0,13.0,13.3,40.7
Memphis Grizzlies,82.0,50.0,32.0,48.3,103.8,30.8,71.8,7.7,4.6,15.6,11.5,13.4,38.6
Dallas Mavericks,82.0,49.0,33.0,48.4,107.2,30.7,69.4,8.6,4.3,16.2,13.5,15.6,43.6
Chicago Bulls,82.0,48.0,34.0,48.6,99.9,32.7,71.3,7.2,5.2,15.6,11.7,12.4,37.0
Phoenix Suns,82.0,48.0,34.0,48.2,105.6,31.7,69.9,8.4,4.6,16.9,14.3,14.1,45.5
Toronto Raptors,82.0,48.0,34.0,48.7,104.6,31.1,70.1,7.0,4.2,16.8,13.1,12.1,42.9
Brooklyn Nets,82.0,44.0,38.0,48.5,106.7,29.4,68.6,8.6,3.8,16.6,12.8,13.0,41.1
Washington Wizards,82.0,44.0,38.0,48.9,103.6,31.4,71.9,8.1,4.6,16.8,12.9,12.3,41.9
Charlotte Bobcats,82.0,43.0,39.0,48.5,103.3,33.2,73.0,6.1,5.1,14.0,12.6,10.2,38.8
Minnesota Timberwolves,82.0,40.0,42.0,48.4,105.2,32.2,71.5,8.8,3.6,15.9,12.9,16.3,46.1
Atlanta Hawks,82.0,38.0,44.0,48.4,105.7,31.3,71.1,8.3,4.0,17.3,13.1,12.4,42.5
New York Knicks,82.0,37.0,45.0,48.4,108.1,29.7,70.5,7.7,4.5,15.0,12.7,11.7,39.5
Denver Nuggets,82.0,36.0,46.0,48.2,107.3,33.1,70.3,7.5,5.6,17.6,14.1,13.5,45.3
New Orleans Pelicans,82.0,34.0,48.0,48.4,109.1,30.3,69.4,7.9,6.4,16.1,12.9,13.5,43.8
Cleveland Cavaliers,82.0,33.0,49.0,48.6,107.0,32.1,71.1,7.1,3.7,16.6,12.6,12.1,38.9
Detroit Pistons,82.0,29.0,53.0,48.2,109.0,30.8,69.3,8.4,4.8,16.9,14.0,14.1,44.3
Sacramento Kings,82.0,28.0,54.0,48.4,107.8,32.4,72.5,7.2,3.9,17.1,11.9,15.3,41.9
Los Angeles Lakers,82.0,27.0,55.0,48.1,109.3,32.0,67.6,7.5,5.4,18.3,15.8,16.7,49.2
Boston Celtics,82.0,25.0,57.0,48.1,106.5,30.5,70.8,7.1,4.2,16.5,13.8,13.3,44.8
Utah Jazz,82.0,25.0,57.0,48.2,110.1,30.2,70.8,7.0,4.5,17.4,12.3,15.6,45.8
Orlando Magic,82.0,23.0,59.0,48.7,106.6,32.4,71.4,7.7,4.3,16.7,13.0,13.2,39.9
Philadelphia 76ers,82.0,19.0,63.0,48.4,109.0,31.2,68.4,9.3,4.0,19.2,14.1,16.6,44.2
Milwaukee Bucks,82.0,15.0,67.0,48.5,110.2,29.3,67.8,6.6,4.9,17.8,13.2,12.9,42.4
