TEAM,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
Atlanta Hawks,82.0,48.0,34.0,241.8,102.8,19.4,43.9,32.5,38.7,13.1,36.5,18.7,62.2,5.5,44.7,6.0,53.6,51.6
Boston Celtics,81.0,47.0,34.0,241.2,105.6,19.9,43.1,27.3,35.4,16.3,35.9,20.7,58.4,4.5,38.1,6.5,53.6,48.8
Brooklyn Nets,82.0,21.0,61.0,240.9,98.6,16.0,44.1,24.3,38.5,15.7,36.9,19.7,57.9,9.5,46.8,10.5,52.5,49.2
Charlotte Hornets,82.0,48.0,34.0,242.1,103.4,18.6,43.3,31.3,38.7,17.9,35.9,15.8,60.0,6.1,43.6,5.9,53.7,50.2
Chicago Bulls,82.0,42.0,40.0,242.7,101.6,20.2,43.2,29.4,40.8,16.8,36.1,19.3,56.3,7.2,39.7,6.5,51.4,48.7
Cleveland Cavaliers,82.0,57.0,25.0,242.1,104.3,17.6,44.2,29.6,39.1,18.6,36.5,18.8,60.3,7.0,46.5,5.5,57.7,52.4
Dallas Mavericks,82.0,42.0,40.0,244.0,102.3,18.8,46.3,31.8,38.3,17.1,36.9,16.7,62.7,7.2,45.9,6.2,50.5,50.2
Denver Nuggets,82.0,33.0,49.0,241.8,101.9,16.5,39.0,24.2,36.7,15.8,36.1,24.1,59.0,6.1,42.9,7.8,51.8,48.9
Detroit Pistons,82.0,44.0,38.0,242.4,102.0,19.6,44.2,24.1,36.5,19.9,37.7,21.9,56.4,7.4,41.7,4.8,48.8,49.1
Golden State Warriors,82.0,73.0,9.0,242.4,114.9,15.6,48.6,34.7,42.1,21.6,42.6,21.9,60.3,5.7,44.3,7.1,50.8,56.3
Houston Rockets,82.0,41.0,41.0,241.8,106.5,19.1,43.4,26.3,36.8,16.0,35.1,21.4,61.0,4.7,42.9,6.1,57.7,51.6
Indiana Pacers,82.0,45.0,37.0,242.4,102.2,14.7,42.7,26.5,36.9,19.2,36.7,20.4,61.4,5.5,42.5,7.9,53.0,49.7
LA Clippers,82.0,53.0,29.0,241.8,104.5,16.5,46.2,27.9,39.9,23.5,38.9,18.7,65.4,3.2,41.7,6.5,54.0,52.4
Los Angeles Lakers,82.0,17.0,65.0,240.6,97.3,18.0,42.9,21.5,34.5,22.4,35.2,16.6,56.1,5.5,36.6,6.1,49.4,46.0
Memphis Grizzlies,82.0,42.0,40.0,241.8,99.1,17.5,42.3,24.2,36.9,14.0,37.5,20.7,54.9,12.0,43.2,7.1,51.9,47.7
Miami Heat,82.0,48.0,34.0,241.8,100.0,21.4,47.9,23.8,38.2,15.2,37.6,22.9,63.3,6.8,44.9,7.7,53.5,50.8
Milwaukee Bucks,82.0,33.0,49.0,241.8,99.0,18.2,43.9,19.7,36.9,13.1,36.8,24.2,60.5,8.3,44.4,6.7,48.8,49.9
Minnesota Timberwolves,82.0,29.0,53.0,242.4,102.4,16.8,44.7,23.1,39.5,15.2,34.6,23.7,61.3,9.6,44.5,9.3,51.3,49.8
New Orleans Pelicans,82.0,30.0,52.0,241.2,102.7,21.1,44.5,24.6,38.7,21.0,38.5,17.2,58.7,6.1,40.0,6.8,51.8,49.8
New York Knicks,82.0,32.0,50.0,241.5,98.4,11.9,42.3,29.3,38.5,18.8,38.5,20.2,56.3,13.2,44.0,9.3,44.6,48.3
Oklahoma City Thunder,82.0,55.0,27.0,241.8,110.2,18.0,45.8,26.5,40.0,20.4,39.5,22.8,61.8,5.6,52.0,8.0,55.8,52.4
Orlando Magic,81.0,35.0,46.0,242.5,102.0,18.8,43.0,30.9,39.5,14.1,36.2,19.3,59.6,7.1,48.2,5.8,52.0,50.0
Philadelphia 76ers,82.0,10.0,72.0,241.5,97.4,19.6,42.0,27.2,35.6,13.0,32.8,18.9,61.3,5.9,46.9,6.6,46.8,48.7
Phoenix Suns,82.0,23.0,59.0,240.3,100.9,16.9,43.0,26.9,36.9,17.0,35.5,20.7,57.6,6.5,37.9,6.0,49.9,48.7
Portland Trail Blazers,82.0,44.0,38.0,241.5,105.1,19.7,43.5,27.8,38.5,23.5,40.5,16.4,59.4,2.1,40.6,7.0,53.6,51.1
Sacramento Kings,81.0,33.0,48.0,241.5,106.7,18.7,43.0,26.0,38.0,13.8,37.2,23.4,59.8,6.2,45.5,8.3,56.9,51.1
San Antonio Spurs,82.0,67.0,15.0,240.3,103.5,16.6,46.5,28.0,41.3,18.2,40.6,21.8,63.8,12.8,48.9,5.5,52.0,52.6
Toronto Raptors,81.0,55.0,26.0,240.9,102.7,25.6,45.3,25.4,38.9,17.1,37.2,16.4,57.9,4.4,43.9,4.5,58.3,50.4
Utah Jazz,82.0,40.0,42.0,243.4,97.7,20.8,42.4,24.6,37.7,17.8,37.6,17.1,58.7,3.2,44.3,7.8,51.4,50.1
Washington Wizards,82.0,41.0,41.0,240.9,104.1,16.4,44.8,29.7,38.6,17.9,37.6,20.0,60.6,5.0,46.1,7.3,53.8,51.1
