TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Dallas Mavericks,50.0,34.0,16.0,156.0,117.2,91.1,26.1,57.4,1.35,14.7,35.1,72.5,56.4,14.5,53.6,63.4,98.86,73.1
Oklahoma City Thunder,51.0,34.0,17.0,245.0,109.6,97.4,12.2,43.1,1.57,10.9,32.3,67.2,50.9,9.0,44.6,54.5,98.06,65.2
Chicago Bulls,44.0,31.0,13.0,180.0,111.2,94.3,16.9,48.5,1.36,12.7,37.4,71.1,54.9,12.5,47.8,56.0,99.28,64.7
New Orleans Hornets,47.0,29.0,18.0,208.0,104.6,94.5,10.1,48.2,1.5,12.2,33.8,66.4,50.6,10.7,44.3,52.5,94.12,63.3
Boston Celtics,48.0,28.0,20.0,189.0,102.4,99.5,2.9,65.6,1.67,15.6,31.3,65.8,48.7,12.7,45.4,53.2,94.89,57.0
Portland Trail Blazers,47.0,28.0,19.0,183.0,106.9,94.2,12.7,55.3,1.74,13.3,37.8,73.3,54.0,10.4,44.6,53.3,96.54,63.3
Charlotte Bobcats,48.0,26.0,22.0,174.0,110.8,98.6,12.1,60.3,1.85,15.8,36.3,63.7,51.2,11.6,49.3,56.7,98.9,60.8
San Antonio Spurs,38.0,26.0,12.0,143.0,103.3,96.8,6.5,50.0,1.12,12.3,25.7,70.3,49.8,14.0,47.5,56.5,97.6,59.5
Denver Nuggets,47.0,25.0,22.0,141.0,108.9,104.0,4.9,58.8,1.36,14.8,31.1,69.5,51.6,14.4,51.2,58.6,100.43,55.0
Phoenix Suns,47.0,24.0,23.0,221.0,109.2,108.3,0.9,61.3,1.61,15.8,30.0,65.3,47.3,13.2,48.9,56.4,97.26,47.4
Utah Jazz,42.0,24.0,18.0,192.0,114.3,105.7,8.6,57.6,1.63,16.0,35.2,61.3,49.6,13.5,50.7,57.9,97.75,56.6
Los Angeles Lakers,38.0,23.0,15.0,157.0,109.9,101.6,8.3,44.6,1.46,12.1,41.7,65.0,52.8,11.5,47.0,53.1,96.34,54.0
Atlanta Hawks,41.0,22.0,19.0,121.0,111.8,103.3,8.4,61.1,2.2,15.6,36.3,66.9,51.2,9.8,48.1,56.2,98.48,57.7
Los Angeles Clippers,45.0,22.0,23.0,153.0,110.6,111.0,-0.4,60.7,1.41,14.9,43.7,61.5,52.9,14.7,49.0,56.3,97.65,53.0
Miami Heat,42.0,22.0,20.0,143.0,112.8,105.8,6.9,36.2,1.26,8.9,26.7,64.3,45.3,8.6,46.7,58.5,101.62,58.3
Milwaukee Bucks,47.0,22.0,25.0,190.0,94.1,97.9,-3.8,47.7,0.8,10.4,31.7,72.8,52.1,16.8,40.3,49.7,96.57,45.6
Orlando Magic,43.0,22.0,21.0,173.0,111.1,107.7,3.4,40.8,1.04,11.3,39.2,68.0,53.4,14.5,51.7,56.0,97.29,48.7
Golden State Warriors,44.0,21.0,23.0,160.0,114.0,113.3,0.8,46.7,1.73,13.1,27.0,60.7,44.3,9.9,50.9,57.8,103.23,45.5
Houston Rockets,52.0,21.0,31.0,201.0,103.2,113.1,-9.9,56.2,1.64,14.0,31.7,68.4,48.8,11.5,43.5,51.4,99.98,39.2
Memphis Grizzlies,44.0,21.0,23.0,209.0,104.9,110.9,-6.0,40.0,1.0,10.4,34.3,62.7,48.6,13.6,46.4,53.6,95.99,43.1
New Jersey Nets,52.0,21.0,31.0,229.0,101.1,108.2,-7.1,58.3,1.4,13.8,30.4,68.0,50.1,12.9,45.3,53.2,95.4,46.5
New York Knicks,45.0,20.0,25.0,162.0,109.3,115.2,-6.0,50.9,1.46,12.8,29.2,66.9,48.2,11.3,48.0,56.9,101.38,48.6
Philadelphia 76ers,43.0,18.0,25.0,195.0,99.0,109.8,-10.8,48.1,1.49,12.4,28.1,69.0,46.1,10.8,43.4,50.2,97.9,40.2
Detroit Pistons,44.0,17.0,27.0,183.0,103.0,106.0,-3.0,43.0,1.41,11.0,33.3,68.3,49.4,10.2,43.9,51.3,95.29,44.4
Sacramento Kings,51.0,17.0,34.0,202.0,89.4,107.6,-18.2,48.3,0.85,10.3,33.3,64.3,48.5,15.9,37.2,45.7,100.78,31.6
Washington Wizards,39.0,16.0,23.0,162.0,98.5,113.6,-15.1,47.7,1.06,11.9,36.4,68.3,50.3,15.1,43.4,49.8,99.51,35.8
Cleveland Cavaliers,38.0,15.0,23.0,132.0,113.0,104.3,8.7,52.5,1.63,13.8,39.3,67.3,54.0,11.6,48.7,56.5,100.42,54.8
Indiana Pacers,33.0,15.0,18.0,144.0,97.1,106.8,-9.7,44.0,1.05,11.2,29.1,67.4,47.3,13.6,42.9,50.3,93.43,42.1
Toronto Raptors,42.0,15.0,27.0,159.0,92.6,115.9,-23.3,56.0,1.34,12.8,27.3,55.4,41.2,12.3,40.2,48.9,96.21,31.8
Minnesota Timberwolves,42.0,8.0,34.0,148.0,93.7,126.1,-32.5,43.8,0.79,10.5,38.7,68.6,51.0,17.7,41.5,47.9,102.37,19.5
