TEAM,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%
Golden State Warriors,82.0,82.0,100.0,37.0,86.4,42.8,44.8,-2.0
Indiana Pacers,82.0,82.0,100.0,35.9,82.5,43.4,44.6,-1.2
Washington Wizards,82.0,82.0,100.0,36.2,83.5,43.3,44.5,-1.2
Chicago Bulls,82.0,82.0,100.0,37.7,86.5,43.5,44.7,-1.1
Oklahoma City Thunder,82.0,82.0,100.0,37.5,85.3,44.0,44.9,-0.9
Milwaukee Bucks,81.0,81.0,100.0,35.6,81.6,43.7,44.6,-0.9
Portland Trail Blazers,82.0,82.0,100.0,38.2,86.9,43.9,44.9,-0.9
Charlotte Hornets,82.0,82.0,100.0,36.8,83.7,44.0,44.8,-0.8
Houston Rockets,81.0,81.0,100.0,37.7,85.2,44.3,45.0,-0.7
Memphis Grizzlies,82.0,82.0,100.0,36.0,81.5,44.2,44.9,-0.7
Atlanta Hawks,82.0,82.0,100.0,36.4,83.0,43.9,44.6,-0.7
Los Angeles Clippers,82.0,82.0,100.0,36.4,82.2,44.3,44.8,-0.5
San Antonio Spurs,82.0,82.0,100.0,37.1,83.7,44.4,44.8,-0.4
Utah Jazz,82.0,82.0,100.0,35.8,80.3,44.5,44.9,-0.4
Philadelphia 76ers,82.0,82.0,100.0,37.1,82.7,44.9,44.8,0.1
Dallas Mavericks,82.0,82.0,100.0,38.0,84.5,45.0,44.8,0.1
Phoenix Suns,82.0,82.0,100.0,38.4,85.0,45.2,44.9,0.3
Boston Celtics,82.0,82.0,100.0,38.1,84.5,45.0,44.6,0.4
New Orleans Pelicans,82.0,82.0,100.0,37.9,83.1,45.6,44.9,0.7
Sacramento Kings,82.0,82.0,100.0,39.5,86.5,45.6,44.9,0.8
Miami Heat,81.0,81.0,100.0,36.1,79.6,45.4,44.6,0.8
Denver Nuggets,82.0,82.0,100.0,38.6,84.2,45.8,45.0,0.8
Brooklyn Nets,82.0,82.0,100.0,38.4,84.3,45.6,44.6,0.9
Detroit Pistons,82.0,82.0,100.0,37.9,83.1,45.6,44.6,0.9
Cleveland Cavaliers,81.0,81.0,100.0,38.0,83.5,45.5,44.7,0.9
New York Knicks,81.0,81.0,100.0,37.0,80.4,46.0,44.7,1.4
Toronto Raptors,82.0,82.0,100.0,38.0,82.8,45.9,44.5,1.4
Orlando Magic,82.0,82.0,100.0,37.9,81.9,46.3,44.6,1.7
Los Angeles Lakers,82.0,82.0,100.0,38.8,83.1,46.6,45.0,1.7
Minnesota Timberwolves,81.0,81.0,100.0,41.1,84.5,48.7,44.9,3.7
