TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Phoenix Suns,52.0,30.0,22.0,190.0,108.9,90.8,18.0,38.7,0.94,9.6,38.5,68.7,54.4,13.3,45.6,55.6,96.47,66.3
San Antonio Spurs,45.0,29.0,16.0,169.0,106.1,103.7,2.5,51.8,1.21,13.0,31.9,61.5,48.0,14.0,50.2,56.9,94.98,54.3
New York Knicks,58.0,28.0,30.0,208.0,100.5,107.8,-7.3,52.6,1.39,12.6,30.8,64.7,47.0,12.0,44.9,51.8,98.24,40.9
Philadelphia 76ers,49.0,28.0,21.0,202.0,104.6,103.7,0.9,54.9,1.55,13.1,34.3,67.5,50.0,11.3,42.8,52.1,97.69,51.4
Boston Celtics,49.0,27.0,22.0,196.0,95.5,92.8,2.7,53.6,1.25,12.1,29.3,71.3,50.7,12.7,41.3,48.4,91.97,52.5
Minnesota Timberwolves,41.0,27.0,14.0,140.0,108.8,96.5,12.3,59.4,1.75,15.3,29.8,69.7,50.5,11.7,50.0,57.1,100.97,61.3
Detroit Pistons,46.0,26.0,20.0,200.0,104.7,93.9,10.8,50.9,1.39,11.4,32.3,64.4,48.4,10.8,43.7,53.5,93.45,57.4
Los Angeles Lakers,45.0,26.0,19.0,171.0,114.4,102.9,11.5,54.5,1.92,14.9,37.4,70.6,53.4,10.7,50.5,56.3,97.86,58.6
Sacramento Kings,40.0,26.0,14.0,158.0,108.9,105.5,3.4,55.9,1.65,15.4,34.1,59.6,47.4,12.7,49.3,55.2,101.2,56.2
Milwaukee Bucks,50.0,25.0,25.0,220.0,106.0,104.8,1.2,57.7,1.79,13.9,35.6,61.5,48.1,10.7,44.0,52.0,99.58,48.1
New Orleans Hornets,46.0,25.0,21.0,200.0,102.5,97.7,4.8,55.5,1.39,12.8,38.1,65.9,51.8,12.6,41.5,50.1,95.16,57.9
Atlanta Hawks,41.0,23.0,18.0,180.0,104.0,99.7,4.3,53.6,1.22,13.2,27.6,67.7,49.1,14.0,47.3,56.4,93.09,55.3
Dallas Mavericks,38.0,23.0,15.0,156.0,114.6,103.2,11.4,47.0,2.04,12.9,34.2,66.3,50.8,8.4,48.5,56.2,97.46,60.8
Houston Rockets,43.0,23.0,20.0,173.0,115.2,106.3,8.9,51.2,1.32,12.9,39.5,62.9,51.4,13.2,48.4,57.6,95.46,58.3
Portland Trail Blazers,40.0,23.0,17.0,182.0,102.9,100.6,2.4,53.8,1.49,12.5,35.0,68.7,50.4,11.5,41.5,49.8,96.82,48.9
Seattle SuperSonics,48.0,23.0,25.0,197.0,105.2,104.4,0.8,59.1,1.98,15.8,31.3,68.0,50.3,10.7,49.2,54.2,93.24,51.8
Washington Wizards,51.0,23.0,28.0,198.0,103.3,105.4,-2.1,42.1,1.04,10.0,32.1,72.4,52.5,12.3,42.8,54.4,97.91,49.0
Golden State Warriors,49.0,22.0,27.0,149.0,102.4,107.6,-5.2,41.4,0.87,9.3,38.5,60.5,49.3,14.0,43.4,52.6,107.35,47.2
Orlando Magic,45.0,21.0,24.0,169.0,97.1,98.0,-0.8,55.9,1.12,12.5,30.5,68.5,50.5,14.6,43.9,51.5,98.98,50.1
Indiana Pacers,42.0,20.0,22.0,204.0,93.9,101.7,-7.8,60.9,1.03,13.0,29.2,69.8,50.0,16.5,40.8,50.6,93.95,47.4
Utah Jazz,37.0,20.0,17.0,147.0,104.6,100.0,4.6,64.2,1.56,14.6,36.5,67.1,51.8,12.7,44.6,54.0,99.07,59.9
Chicago Bulls,37.0,18.0,19.0,156.0,105.1,106.7,-1.5,44.5,1.11,12.0,34.4,60.6,48.2,14.1,48.6,54.2,96.52,46.4
Memphis Grizzlies,42.0,18.0,24.0,199.0,100.7,106.6,-5.9,46.5,1.18,11.4,31.6,64.7,48.1,12.6,45.0,52.3,98.0,45.3
Los Angeles Clippers,48.0,17.0,31.0,187.0,99.2,117.1,-17.8,56.5,0.95,11.9,33.3,67.6,49.7,16.4,42.6,52.5,103.71,33.4
Toronto Raptors,45.0,17.0,28.0,167.0,102.6,103.4,-0.7,55.9,1.19,12.4,35.6,65.6,50.4,14.1,41.3,51.4,100.22,47.3
New Jersey Nets,37.0,16.0,21.0,143.0,87.1,103.4,-16.3,53.4,0.93,10.3,33.1,59.9,45.9,14.6,34.8,44.3,96.97,37.0
Cleveland Cavaliers,36.0,13.0,23.0,159.0,90.5,98.8,-8.3,57.1,0.81,10.7,34.9,69.6,52.2,17.1,35.7,47.0,97.59,41.7
Miami Heat,41.0,13.0,28.0,167.0,87.3,100.9,-13.6,45.5,0.71,9.4,35.6,67.7,50.4,17.3,36.4,44.6,94.05,28.4
Denver Nuggets,33.0,7.0,26.0,118.0,92.0,110.6,-18.6,66.7,1.21,14.8,32.0,69.0,49.4,16.8,40.9,48.0,97.68,28.9
