TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Dallas Mavericks,46.0,33.0,13.0,71.7,4.0,9.5,3.1,6.6,47.2,0.7,1.5,44.9,2.5,3.0,83.5,0.9,2.5,3.4,1.7,0.7,0.5,0.6,0.2,1.9,2.2,1.9
Cleveland Cavaliers,49.0,34.0,15.0,69.4,3.4,8.6,2.7,5.8,45.6,1.0,2.4,40.2,2.3,3.2,72.0,0.8,2.4,3.2,1.2,0.6,0.5,0.5,0.2,1.5,2.1,2.2
Los Angeles Lakers,33.0,22.0,11.0,66.7,4.5,9.5,3.1,7.7,40.0,0.6,2.1,27.9,2.7,3.6,75.0,1.2,2.4,3.6,1.0,1.1,0.7,0.4,0.5,2.6,2.8,0.9
Boston Celtics,48.0,30.0,18.0,62.5,3.6,7.4,2.3,5.4,43.2,0.4,1.3,31.1,2.3,3.1,74.3,0.7,2.3,3.0,1.4,0.9,0.6,0.4,0.3,1.8,2.3,0.9
Portland Trail Blazers,45.0,27.0,18.0,60.0,4.0,8.3,2.4,6.3,38.5,0.5,1.9,27.9,2.9,3.8,76.7,1.0,2.6,3.6,1.1,0.8,0.4,0.2,0.3,2.1,2.6,0.5
Atlanta Hawks,38.0,22.0,16.0,57.9,4.4,9.1,3.0,7.4,40.4,0.5,1.9,25.0,2.7,3.3,82.4,1.4,2.7,4.1,1.2,0.8,0.4,0.4,0.3,2.2,2.4,0.7
Memphis Grizzlies,45.0,26.0,19.0,57.8,4.4,8.7,2.9,7.5,38.6,0.4,1.6,22.9,2.6,3.5,74.5,1.5,3.0,4.5,1.2,1.3,0.6,0.6,0.6,2.5,2.5,-0.2
Toronto Raptors,42.0,24.0,18.0,57.1,3.7,8.8,2.5,6.0,41.0,0.6,2.0,31.8,3.3,4.0,83.1,1.0,2.3,3.2,1.5,0.6,0.4,0.5,0.5,1.9,2.6,1.0
Utah Jazz,32.0,18.0,14.0,56.3,3.7,8.1,2.6,5.8,44.9,0.4,1.6,28.0,2.4,3.3,75.0,0.8,2.1,3.0,1.7,1.0,0.7,0.4,0.6,2.9,2.2,-0.5
Phoenix Suns,41.0,23.0,18.0,56.1,3.6,9.1,2.8,5.8,48.9,0.8,2.1,37.5,2.7,3.3,82.1,0.8,2.0,2.8,1.5,0.8,0.5,0.3,0.2,2.4,2.2,0.6
Los Angeles Clippers,35.0,19.0,16.0,54.3,3.2,6.9,2.2,4.8,45.2,0.5,1.7,30.0,2.1,2.7,78.5,1.0,2.0,2.9,1.3,1.1,0.5,0.4,0.3,1.7,1.9,1.1
Denver Nuggets,37.0,20.0,17.0,54.1,4.2,9.7,2.9,6.8,43.6,0.7,2.1,34.6,3.1,3.8,80.7,1.3,2.7,4.0,1.2,0.9,0.5,0.4,0.6,2.8,2.2,0.4
New Orleans Hornets,54.0,29.0,25.0,53.7,3.6,8.2,2.7,6.0,44.4,0.5,1.8,29.6,2.3,2.8,82.7,0.9,2.3,3.2,1.4,0.8,0.4,0.3,0.4,2.2,2.1,0.8
Chicago Bulls,43.0,23.0,20.0,53.5,4.1,8.7,3.1,6.8,45.2,0.3,1.2,28.3,2.2,3.2,67.9,0.9,2.8,3.7,1.5,1.1,0.5,0.5,0.7,2.2,2.3,0.5
Milwaukee Bucks,45.0,24.0,21.0,53.3,5.1,10.8,3.4,8.4,40.1,0.9,2.6,34.8,3.1,4.2,74.5,1.2,3.5,4.6,1.5,1.3,0.5,0.7,0.6,2.7,3.4,0.5
Orlando Magic,34.0,18.0,16.0,52.9,3.3,7.4,2.1,5.2,40.3,0.6,2.2,28.0,2.6,3.7,72.0,0.9,2.4,3.2,0.9,0.6,0.5,0.3,0.2,1.7,2.1,0.8
