TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Houston Rockets,35.0,25.0,10.0,71.4,3.1,8.2,2.3,5.2,45.3,0.9,2.4,36.1,2.6,3.5,75.4,0.8,2.0,2.7,1.0,0.5,0.5,0.4,0.3,1.7,2.3,2.0
Cleveland Cavaliers,45.0,30.0,15.0,66.7,3.4,8.8,2.8,6.1,45.3,0.8,2.8,28.9,2.4,3.2,74.8,1.0,2.5,3.5,1.2,0.7,0.4,0.5,0.2,1.8,2.2,1.7
Golden State Warriors,29.0,19.0,10.0,65.5,3.8,9.5,3.0,6.2,48.3,1.0,3.0,32.6,2.6,3.1,81.3,0.6,2.9,3.4,2.0,1.1,0.5,0.8,0.3,2.2,2.2,1.1
Boston Celtics,46.0,29.0,17.0,63.0,3.9,9.2,3.2,6.6,48.2,1.0,2.6,38.1,1.8,2.4,75.2,0.6,2.6,3.2,1.9,1.0,0.5,0.3,0.5,2.0,1.8,0.1
New Orleans Pelicans,50.0,30.0,20.0,60.0,4.5,10.4,3.8,7.8,48.3,0.7,2.1,32.4,2.2,3.0,73.6,0.8,3.2,4.0,2.1,1.0,0.7,0.7,0.4,1.8,2.4,1.2
Indiana Pacers,44.0,26.0,18.0,59.1,3.5,8.4,2.6,6.2,42.3,0.7,2.3,31.0,2.4,3.0,81.1,1.2,2.4,3.6,0.8,1.0,0.7,0.4,0.4,1.8,2.0,1.5
Philadelphia 76ers,45.0,26.0,19.0,57.8,3.3,8.4,2.5,5.0,49.3,0.7,2.0,37.1,2.7,3.7,71.4,0.8,2.7,3.4,1.8,1.2,0.5,0.5,0.3,1.7,2.6,1.2
Toronto Raptors,44.0,25.0,19.0,56.8,3.7,8.7,2.7,6.3,42.6,0.6,1.9,30.6,2.8,3.5,78.2,0.7,2.5,3.1,1.1,1.1,0.6,0.3,0.3,1.8,2.6,0.5
Portland Trail Blazers,45.0,25.0,20.0,55.6,3.9,8.6,2.8,6.6,41.9,0.7,2.1,33.7,2.4,3.2,74.1,0.8,2.8,3.6,1.1,1.0,0.6,0.5,0.6,2.0,2.4,0.2
Milwaukee Bucks,47.0,26.0,21.0,55.3,3.8,8.6,2.8,6.1,45.8,0.5,1.9,26.7,2.4,3.0,81.6,0.7,2.8,3.4,1.4,1.1,0.7,0.6,0.4,2.3,2.2,0.4
