TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Utah Jazz,29.0,16.0,13.0,55.2,3.7,9.0,2.9,6.6,43.5,0.7,2.7,26.9,2.6,3.2,81.5,0.7,2.6,3.3,1.5,1.1,0.6,0.6,0.6,2.0,2.2,1.0
Miami Heat,53.0,29.0,24.0,54.7,4.3,9.6,3.3,6.8,47.8,0.9,2.3,39.2,2.2,2.8,79.7,0.8,3.2,4.0,1.8,1.3,0.5,0.4,0.5,2.4,2.2,0.8
San Antonio Spurs,37.0,20.0,17.0,54.1,3.7,8.7,2.6,6.3,42.1,0.7,2.5,26.9,2.7,3.4,79.5,0.9,2.4,3.3,1.3,1.1,0.5,0.5,0.2,1.8,2.4,0.5
Minnesota Timberwolves,42.0,22.0,20.0,52.4,4.2,9.3,3.0,6.9,42.8,0.7,2.0,33.7,2.7,3.5,77.4,1.0,2.5,3.6,1.4,1.1,0.3,0.5,0.3,2.3,2.5,-0.1
Sacramento Kings,42.0,22.0,20.0,52.4,3.6,8.2,2.8,6.5,43.4,0.6,1.9,34.6,1.9,2.6,73.1,0.9,2.4,3.3,1.3,0.7,0.5,0.3,0.5,2.1,2.2,0.4
Oklahoma City Thunder,46.0,24.0,22.0,52.2,4.1,9.0,3.1,7.6,40.7,0.9,3.0,29.2,1.9,2.9,65.7,1.6,2.8,4.4,1.3,0.9,0.6,0.4,0.4,2.5,2.0,-0.3
Chicago Bulls,41.0,21.0,20.0,51.2,4.4,9.4,3.1,7.6,41.0,0.8,2.6,31.5,2.4,3.0,79.8,0.7,3.5,4.2,1.7,1.3,0.6,0.5,0.7,2.6,2.1,-0.2
LA Clippers,41.0,21.0,20.0,51.2,3.2,7.4,2.2,5.4,41.4,0.7,2.2,33.0,2.2,2.8,79.1,0.8,1.8,2.6,1.0,0.7,0.6,0.3,0.3,1.8,1.9,-0.9
Denver Nuggets,43.0,22.0,21.0,51.2,4.2,8.9,2.7,6.4,42.6,0.7,2.2,30.5,2.7,3.2,85.5,0.9,2.9,3.8,1.6,1.5,0.6,0.3,0.4,2.5,2.5,0.0
Los Angeles Lakers,42.0,20.0,22.0,47.6,4.4,9.3,3.0,7.3,41.8,1.0,2.9,33.1,2.2,3.4,66.7,0.9,3.2,4.1,1.7,1.0,0.4,0.5,0.8,2.9,2.3,-0.6
Washington Wizards,45.0,21.0,24.0,46.7,4.1,9.0,2.8,7.5,37.6,0.7,2.4,29.6,2.6,3.5,75.0,0.8,2.9,3.7,1.7,0.9,0.7,0.3,0.6,2.4,2.5,-0.4
Detroit Pistons,41.0,19.0,22.0,46.3,3.6,7.3,2.5,6.3,40.1,0.6,2.1,30.2,1.7,2.0,82.1,1.0,2.4,3.4,1.2,1.0,0.4,0.5,0.6,2.1,1.4,-0.7
Phoenix Suns,38.0,16.0,22.0,42.1,3.0,6.2,1.8,4.8,38.7,0.5,1.5,32.1,2.1,2.8,74.5,0.9,2.2,3.1,1.0,1.1,0.4,0.5,0.4,1.8,1.8,-1.0
Charlotte Hornets,41.0,16.0,25.0,39.0,3.7,8.0,2.5,6.7,37.0,0.6,2.5,25.0,2.5,3.4,72.9,0.8,3.0,3.8,1.1,0.8,0.6,0.4,0.5,2.0,2.3,-0.1
Atlanta Hawks,44.0,17.0,27.0,38.6,3.4,8.0,2.5,6.2,40.8,0.8,2.1,35.9,2.3,2.8,79.2,0.8,2.2,3.0,1.4,0.8,0.5,0.3,0.5,2.3,2.0,-0.9
Brooklyn Nets,50.0,19.0,31.0,38.0,3.9,8.3,2.6,6.9,38.2,0.8,2.9,29.2,2.2,2.9,75.5,1.3,2.7,3.9,1.3,1.3,0.5,0.4,0.7,2.6,2.1,-0.9
New York Knicks,35.0,12.0,23.0,34.3,4.0,8.1,2.7,7.1,38.9,0.6,2.0,30.4,2.0,2.7,73.4,1.0,2.8,3.7,1.5,0.9,0.5,0.6,0.5,2.5,2.1,-1.1
Orlando Magic,41.0,14.0,27.0,34.1,3.1,6.4,2.0,4.8,42.1,0.7,2.3,29.5,1.7,2.0,81.9,0.6,2.2,2.8,1.1,1.1,0.4,0.4,0.3,2.0,1.7,-1.0
Memphis Grizzlies,41.0,12.0,29.0,29.3,3.6,6.6,1.9,6.0,32.0,0.6,2.4,24.7,2.2,2.8,78.3,0.9,2.3,3.2,1.0,0.8,0.7,0.3,0.3,2.1,2.0,-1.0
Dallas Mavericks,50.0,12.0,38.0,24.0,3.4,6.3,2.1,5.7,37.8,0.7,2.6,25.4,1.4,1.9,73.4,0.6,1.9,2.5,0.9,1.1,0.5,0.4,0.4,2.2,1.6,-2.6
