TEAM,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%
Golden State Warriors,82.0,82.0,100.0,38.8,89.2,43.5,45.6,-2.1
Memphis Grizzlies,82.0,82.0,100.0,34.9,78.8,44.3,45.8,-1.5
San Antonio Spurs,81.0,81.0,100.0,36.9,83.3,44.3,45.7,-1.4
Utah Jazz,82.0,82.0,100.0,36.3,81.9,44.3,45.7,-1.4
Atlanta Hawks,82.0,82.0,100.0,38.7,87.2,44.4,45.6,-1.2
New Orleans Pelicans,82.0,82.0,100.0,40.1,89.0,45.0,45.8,-0.7
Miami Heat,82.0,82.0,100.0,37.9,84.2,45.0,45.6,-0.6
Toronto Raptors,81.0,81.0,100.0,37.2,82.8,44.9,45.6,-0.6
Boston Celtics,82.0,82.0,100.0,38.6,85.8,45.0,45.6,-0.6
Indiana Pacers,81.0,81.0,100.0,37.8,84.2,44.9,45.5,-0.6
LA Clippers,82.0,82.0,100.0,38.6,85.3,45.2,45.7,-0.5
Portland Trail Blazers,82.0,82.0,100.0,39.1,86.1,45.4,45.8,-0.3
New York Knicks,82.0,82.0,100.0,39.7,87.3,45.5,45.6,-0.2
Chicago Bulls,82.0,82.0,100.0,39.5,86.6,45.6,45.7,-0.1
Charlotte Hornets,82.0,82.0,100.0,39.5,86.5,45.6,45.7,0.0
Oklahoma City Thunder,82.0,82.0,100.0,39.1,85.2,45.9,45.8,0.1
Brooklyn Nets,81.0,81.0,100.0,41.6,90.8,45.8,45.7,0.2
Milwaukee Bucks,82.0,82.0,100.0,37.9,82.8,45.8,45.6,0.2
Cleveland Cavaliers,82.0,82.0,100.0,40.6,88.8,45.8,45.5,0.2
Sacramento Kings,82.0,82.0,100.0,38.4,83.2,46.2,45.8,0.4
Philadelphia 76ers,82.0,82.0,100.0,39.6,85.9,46.1,45.6,0.4
Detroit Pistons,82.0,82.0,100.0,38.3,83.3,46.0,45.6,0.4
Houston Rockets,82.0,82.0,100.0,41.1,88.8,46.3,45.7,0.6
Phoenix Suns,80.0,80.0,100.0,40.2,86.2,46.6,45.8,0.9
Orlando Magic,82.0,82.0,100.0,40.2,86.2,46.7,45.6,1.0
Dallas Mavericks,81.0,81.0,100.0,37.0,79.0,46.8,45.8,1.0
Washington Wizards,82.0,82.0,100.0,39.6,85.0,46.6,45.5,1.1
Minnesota Timberwolves,82.0,82.0,100.0,39.6,83.3,47.5,45.7,1.8
Denver Nuggets,81.0,81.0,100.0,42.0,88.2,47.6,45.7,2.0
Los Angeles Lakers,82.0,82.0,100.0,41.5,86.0,48.3,45.8,2.5
