TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Atlanta Hawks,52.0,32.0,20.0,159.0,108.9,97.2,11.7,52.6,1.65,13.5,31.8,65.8,47.5,10.9,50.8,56.5,99.34,56.6
New Orleans Hornets,48.0,31.0,17.0,162.0,125.5,115.6,9.9,49.2,1.97,14.1,31.0,65.3,48.6,9.4,54.4,62.9,94.75,55.2
Los Angeles Lakers,41.0,30.0,11.0,147.0,122.3,106.0,16.2,36.7,1.69,10.7,33.6,74.0,52.2,8.2,50.4,59.9,97.85,63.1
San Antonio Spurs,47.0,30.0,17.0,225.0,108.2,98.6,9.6,48.2,1.56,13.6,27.7,75.7,52.4,11.3,49.9,56.2,95.27,57.6
Boston Celtics,45.0,28.0,17.0,193.0,111.7,102.8,8.9,59.7,1.69,16.2,31.5,67.2,50.7,12.8,53.9,60.9,92.18,62.7
Orlando Magic,41.0,28.0,13.0,147.0,109.7,92.3,17.5,48.4,1.33,11.1,25.0,65.7,48.5,10.4,49.5,59.0,102.64,66.8
Dallas Mavericks,43.0,27.0,16.0,158.0,113.9,99.1,14.8,49.6,2.07,14.0,32.0,68.1,50.6,9.0,50.9,57.8,97.8,62.4
Detroit Pistons,56.0,27.0,29.0,236.0,104.6,107.0,-2.4,49.4,1.4,12.3,39.0,69.0,52.9,12.1,42.0,49.9,92.47,45.3
Miami Heat,49.0,26.0,23.0,216.0,114.5,112.2,2.3,46.5,1.61,12.7,32.9,63.8,48.8,10.2,50.1,58.1,100.84,52.9
Philadelphia 76ers,47.0,26.0,21.0,185.0,112.7,104.3,8.4,43.9,1.41,11.9,32.3,65.4,50.5,10.8,49.1,58.5,96.64,61.3
Portland Trail Blazers,42.0,26.0,16.0,180.0,106.7,102.2,4.5,35.3,1.35,9.3,36.2,71.1,52.8,9.0,42.3,50.5,93.92,48.6
Houston Rockets,47.0,24.0,23.0,166.0,97.3,106.0,-8.7,48.5,1.27,10.9,33.1,64.2,48.5,11.2,40.3,49.6,93.85,47.4
Indiana Pacers,56.0,24.0,32.0,240.0,103.8,109.5,-5.7,40.9,1.0,10.5,29.6,73.0,50.3,13.3,47.0,54.6,101.99,43.2
Phoenix Suns,43.0,24.0,19.0,146.0,114.5,112.9,1.6,56.9,2.0,15.2,25.9,64.6,46.8,10.0,51.6,59.9,98.47,52.8
Cleveland Cavaliers,32.0,23.0,9.0,121.0,127.0,92.8,34.2,54.5,2.39,16.5,30.5,69.7,52.3,9.1,62.2,68.3,96.68,74.3
Chicago Bulls,46.0,22.0,24.0,198.0,108.9,105.9,3.0,41.5,1.19,10.5,36.7,65.1,50.9,11.6,45.2,53.5,97.8,50.3
Denver Nuggets,34.0,21.0,13.0,137.0,114.5,109.6,4.9,54.2,2.0,14.6,28.0,68.3,47.7,9.7,50.5,57.3,94.65,48.3
Milwaukee Bucks,47.0,21.0,26.0,168.0,102.8,111.0,-8.2,51.4,1.19,12.0,33.7,72.3,52.7,13.2,44.5,54.0,101.03,46.1
Utah Jazz,42.0,21.0,21.0,164.0,109.2,104.5,4.7,55.8,1.26,13.8,30.2,72.6,51.5,14.4,47.9,57.6,103.24,51.3
Toronto Raptors,43.0,20.0,23.0,156.0,107.5,108.1,-0.6,53.2,1.45,14.4,27.8,68.3,49.2,13.0,50.8,57.4,96.89,51.2
Charlotte Bobcats,50.0,19.0,31.0,211.0,100.5,102.2,-1.7,56.9,1.64,13.6,35.7,69.5,52.0,11.3,42.0,49.1,92.39,49.2
Golden State Warriors,48.0,19.0,29.0,166.0,96.9,114.3,-17.5,48.1,1.04,10.2,34.3,68.0,50.3,12.6,38.4,49.9,108.5,38.5
New Jersey Nets,44.0,19.0,25.0,174.0,109.5,108.0,1.5,38.9,1.21,11.3,28.3,68.8,47.4,11.8,51.4,57.0,99.13,45.4
New York Knicks,49.0,19.0,30.0,174.0,105.1,116.5,-11.4,49.6,1.51,12.5,28.1,63.9,45.8,10.6,45.4,54.4,101.92,41.0
Minnesota Timberwolves,46.0,17.0,29.0,179.0,102.9,120.8,-17.9,50.4,1.15,13.2,32.2,60.6,45.7,15.2,46.5,52.5,93.24,34.9
Oklahoma City Thunder,43.0,16.0,27.0,155.0,101.9,102.4,-0.5,49.1,1.06,12.6,33.8,68.5,52.0,15.8,46.3,53.7,98.55,50.3
Memphis Grizzlies,38.0,13.0,25.0,157.0,94.3,113.2,-18.9,43.8,0.87,9.9,29.3,66.4,46.6,14.3,41.0,51.0,96.8,34.7
Washington Wizards,40.0,12.0,28.0,134.0,101.9,122.1,-20.2,43.5,0.86,10.6,41.8,67.2,54.2,16.5,43.8,51.5,95.71,34.0
Los Angeles Clippers,32.0,10.0,22.0,148.0,95.8,115.0,-19.2,52.2,1.04,12.9,32.1,70.0,51.1,16.1,45.1,51.6,92.79,35.7
Sacramento Kings,37.0,9.0,28.0,173.0,95.5,107.4,-12.0,51.8,1.36,12.4,29.7,66.5,47.9,11.9,42.7,49.3,99.35,42.0
