TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Cleveland Cavaliers,49.0,34.0,15.0,3.4,2.1,5.4,39.5,0.5,1.8,30.2,1.6,2.3,70.2,0.6,2.1,2.7,1.1,0.9,0.3,0.2,0.5,2.1,1.5,6.4,-2.2
Dallas Mavericks,46.0,33.0,13.0,4.0,2.4,6.5,37.5,0.7,2.2,30.0,2.0,2.6,77.7,1.0,2.7,3.7,1.1,1.0,0.5,0.2,0.6,2.2,1.9,7.6,-1.9
Boston Celtics,48.0,30.0,18.0,3.6,2.3,5.6,40.7,0.4,1.7,25.0,1.5,2.2,69.8,0.9,2.3,3.2,1.0,0.9,0.4,0.3,0.4,2.3,1.8,6.5,-0.9
New Orleans Hornets,54.0,29.0,25.0,3.6,2.2,5.7,39.5,0.4,1.6,28.6,2.4,3.2,76.2,1.0,2.3,3.3,1.1,1.0,0.4,0.4,0.3,2.1,2.2,7.4,-0.8
Portland Trail Blazers,45.0,27.0,18.0,4.0,2.6,6.3,41.5,0.4,1.8,22.9,2.1,3.0,71.1,0.8,2.7,3.5,1.2,0.9,0.3,0.3,0.2,2.6,2.1,7.8,-0.5
Memphis Grizzlies,45.0,26.0,19.0,4.4,2.9,7.7,38.3,0.6,2.4,26.4,2.4,3.3,73.8,1.4,2.9,4.3,1.4,0.9,0.7,0.6,0.6,2.5,2.5,9.0,0.2
Charlotte Bobcats,48.0,24.0,24.0,4.4,2.8,6.9,41.0,0.7,2.4,30.2,2.3,3.0,74.5,1.0,2.6,3.6,1.4,1.2,0.5,0.5,0.5,2.3,2.4,8.6,0.1
Houston Rockets,47.0,24.0,23.0,4.2,2.8,7.1,39.9,0.5,1.6,28.9,2.3,3.0,77.1,1.2,2.4,3.6,1.3,0.8,0.5,0.5,0.4,2.6,2.2,8.4,-0.2
Milwaukee Bucks,45.0,24.0,21.0,5.1,3.5,8.7,39.7,0.5,2.1,25.0,2.8,3.6,76.1,1.6,3.6,5.2,1.7,1.3,0.6,0.6,0.7,3.4,2.7,10.2,-0.5
Toronto Raptors,42.0,24.0,18.0,3.7,2.5,6.1,40.7,0.5,1.8,26.0,2.3,3.0,77.0,1.0,2.5,3.4,1.2,0.9,0.4,0.5,0.5,2.6,1.9,7.8,-1.0
Chicago Bulls,43.0,23.0,20.0,4.1,2.7,6.7,40.5,0.4,1.6,26.9,2.3,3.0,76.3,0.9,2.5,3.5,1.3,0.9,0.4,0.7,0.5,2.3,2.2,8.2,-0.5
Phoenix Suns,41.0,23.0,18.0,3.6,2.5,6.0,41.6,0.7,2.1,31.8,2.9,3.6,79.2,1.1,1.9,3.0,1.2,0.9,0.4,0.2,0.3,2.2,2.4,8.5,-0.6
Atlanta Hawks,38.0,22.0,16.0,4.4,2.8,6.8,41.6,0.6,1.8,34.3,2.2,2.9,73.9,1.1,2.5,3.6,1.4,0.6,0.6,0.3,0.4,2.4,2.2,8.4,-0.7
