TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Boston Celtics,49.0,32.0,17.0,187.0,119.7,107.9,11.7,51.4,1.67,13.6,36.1,69.1,53.6,10.8,52.0,61.7,103.74,60.9
Washington Wizards,55.0,32.0,23.0,210.0,116.0,104.4,11.5,45.8,1.69,12.9,34.0,67.2,51.7,10.0,52.0,59.6,100.8,62.3
San Antonio Spurs,43.0,29.0,14.0,163.0,113.1,91.6,21.5,55.4,1.63,14.1,31.8,69.3,50.4,11.5,50.2,57.7,101.82,68.0
Utah Jazz,45.0,27.0,18.0,143.0,116.4,104.5,11.9,62.4,1.89,17.3,29.6,72.7,53.1,12.3,56.5,62.1,97.15,62.8
Atlanta Hawks,44.0,26.0,18.0,174.0,109.6,97.6,12.0,60.9,1.66,15.5,30.0,68.3,50.3,12.5,50.9,57.9,103.82,60.1
Oklahoma City Thunder,42.0,26.0,16.0,154.0,117.9,95.3,22.6,29.9,1.14,8.9,37.0,69.7,52.9,10.3,50.3,55.7,105.66,61.5
Toronto Raptors,49.0,25.0,24.0,175.0,109.8,97.5,12.3,38.5,1.58,11.7,34.2,75.0,54.7,9.6,49.8,54.7,100.79,59.0
Memphis Grizzlies,46.0,24.0,22.0,190.0,108.4,96.4,12.0,53.3,1.41,14.0,34.0,72.1,52.3,13.4,48.4,54.4,96.55,55.2
Sacramento Kings,49.0,24.0,25.0,210.0,100.2,109.6,-9.4,60.6,1.32,14.6,29.6,65.3,47.9,14.6,46.3,53.3,99.3,44.1
Chicago Bulls,42.0,23.0,19.0,159.0,109.3,101.9,7.4,44.7,1.89,11.5,32.6,68.5,49.3,8.1,43.1,52.3,98.09,55.1
Cleveland Cavaliers,36.0,23.0,13.0,139.0,115.4,104.5,10.9,55.0,1.74,14.8,30.4,74.5,51.6,11.3,54.9,60.4,103.37,56.0
Houston Rockets,41.0,23.0,18.0,135.0,104.5,111.0,-6.5,51.8,1.07,12.0,28.5,67.7,50.3,14.1,48.8,57.0,104.74,47.9
Portland Trail Blazers,47.0,23.0,24.0,233.0,107.4,105.1,2.4,40.0,0.96,10.7,32.8,69.9,52.4,14.2,48.0,55.9,102.49,54.3
Charlotte Hornets,51.0,22.0,29.0,185.0,115.1,123.6,-8.5,57.1,2.1,15.8,32.6,68.2,50.4,10.2,52.9,58.4,101.24,46.9
Indiana Pacers,38.0,22.0,16.0,164.0,103.4,106.3,-2.9,45.9,1.47,12.2,24.8,62.7,44.4,10.4,46.2,53.2,96.61,47.9
Miami Heat,44.0,21.0,23.0,165.0,97.7,106.7,-9.0,46.5,1.02,11.8,33.5,70.8,51.0,15.2,45.1,50.3,99.78,38.8
Milwaukee Bucks,39.0,21.0,18.0,149.0,88.8,102.5,-13.7,50.0,1.04,12.2,23.5,61.7,43.3,14.7,43.0,48.5,101.62,40.9
Philadelphia 76ers,44.0,21.0,23.0,170.0,100.5,110.0,-9.5,52.3,0.79,12.0,34.7,71.1,54.1,19.7,47.0,56.0,105.08,42.4
LA Clippers,34.0,20.0,14.0,116.0,100.4,101.7,-1.3,48.1,1.22,11.3,32.9,74.3,50.8,12.2,45.5,51.4,103.37,53.2
Dallas Mavericks,41.0,19.0,22.0,149.0,103.7,107.8,-4.2,42.9,1.15,12.3,17.9,67.4,42.5,13.0,51.7,57.4,97.72,45.9
New York Knicks,43.0,19.0,24.0,176.0,107.4,108.0,-0.5,45.5,1.45,12.9,37.2,61.8,50.0,12.0,49.0,53.4,95.66,50.5
Orlando Magic,39.0,18.0,21.0,151.0,101.9,112.8,-10.8,49.5,1.67,12.4,28.8,70.4,48.9,9.7,44.2,51.3,99.04,42.5
New Orleans Pelicans,44.0,17.0,27.0,184.0,94.0,96.7,-2.7,52.6,1.25,12.0,29.0,66.7,48.5,12.5,41.1,48.5,101.88,49.6
Phoenix Suns,50.0,17.0,33.0,180.0,103.4,121.4,-17.9,21.9,0.61,6.0,32.8,65.0,48.4,12.1,46.0,53.6,104.74,33.8
Denver Nuggets,40.0,16.0,24.0,127.0,97.6,105.5,-7.9,57.5,1.47,12.9,31.3,76.9,51.4,11.7,40.7,48.7,109.68,44.2
Golden State Warriors,25.0,16.0,9.0,100.0,108.4,101.0,7.4,64.0,1.78,16.1,37.5,67.3,51.4,12.6,47.8,54.8,98.98,56.7
Detroit Pistons,37.0,15.0,22.0,145.0,103.8,114.0,-10.2,41.4,1.48,11.7,34.1,65.8,48.4,10.6,46.5,49.2,98.21,38.9
Minnesota Timberwolves,45.0,15.0,30.0,171.0,98.8,106.3,-7.5,59.8,1.37,14.4,34.4,68.8,50.8,14.5,43.3,49.4,98.43,41.1
Los Angeles Lakers,43.0,14.0,29.0,128.0,108.2,120.0,-11.8,40.9,1.38,11.1,28.3,65.4,46.7,10.2,47.6,54.3,101.41,37.1
Brooklyn Nets,41.0,13.0,28.0,140.0,101.4,116.7,-15.3,47.9,1.24,12.1,28.7,61.4,44.4,12.5,45.7,52.4,105.2,35.4
