TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Cleveland Cavaliers,55.0,35.0,20.0,228.0,118.1,95.5,22.6,50.3,1.96,13.8,38.0,68.1,53.1,9.7,50.6,57.2,97.19,68.4
Golden State Warriors,44.0,26.0,18.0,162.0,122.3,108.4,13.9,52.1,2.11,15.2,36.3,62.7,50.3,9.9,54.0,59.6,105.17,56.8
Portland Trail Blazers,43.0,26.0,17.0,182.0,109.2,109.9,-0.7,48.8,1.55,13.5,33.7,58.5,46.9,11.5,48.2,55.4,90.79,51.3
Phoenix Suns,43.0,25.0,18.0,157.0,114.6,99.4,15.2,60.0,1.4,15.3,35.0,68.4,53.6,14.6,51.7,60.2,98.5,63.8
San Antonio Spurs,39.0,25.0,14.0,146.0,115.1,102.9,12.2,61.1,2.46,17.6,22.8,65.8,46.5,9.4,55.8,61.1,94.82,61.4
Boston Celtics,37.0,24.0,13.0,144.0,102.8,101.4,1.4,48.4,1.19,11.5,32.5,74.6,52.1,12.8,44.6,52.2,96.28,51.1
Los Angeles Lakers,40.0,24.0,16.0,139.0,110.1,109.3,0.8,50.5,1.42,12.6,40.0,66.0,52.4,12.1,46.0,54.3,100.17,52.3
Sacramento Kings,44.0,24.0,20.0,199.0,111.1,106.3,4.8,47.8,0.89,12.2,38.1,64.7,52.2,17.8,51.9,60.2,100.1,53.4
Dallas Mavericks,43.0,23.0,20.0,134.0,113.7,110.0,3.7,52.0,2.08,13.1,34.6,66.9,50.2,8.4,46.3,56.0,103.85,52.2
Milwaukee Bucks,51.0,23.0,28.0,187.0,108.1,114.4,-6.3,53.9,1.17,13.0,35.0,65.8,50.5,14.5,49.7,58.8,103.71,47.5
New Jersey Nets,42.0,23.0,19.0,169.0,112.9,107.7,5.2,59.5,1.76,15.1,34.5,68.0,51.5,11.7,50.9,57.8,99.67,53.6
Philadelphia 76ers,42.0,23.0,19.0,159.0,104.0,92.8,11.2,44.0,1.22,10.5,34.1,64.1,49.4,11.1,43.3,53.0,97.39,60.3
Atlanta Hawks,45.0,21.0,24.0,179.0,97.7,111.0,-13.2,60.0,1.12,11.9,39.3,60.0,49.2,14.4,38.8,49.9,95.24,40.6
Denver Nuggets,37.0,21.0,16.0,176.0,103.6,99.7,3.9,56.5,1.38,13.6,31.9,71.5,51.8,13.2,44.7,52.9,98.15,51.8
Detroit Pistons,38.0,21.0,17.0,131.0,113.5,104.8,8.8,56.7,2.13,14.2,37.7,67.7,52.1,9.3,45.0,54.5,93.4,56.2
New Orleans Hornets,31.0,21.0,10.0,137.0,111.2,101.1,10.1,43.0,2.26,12.1,33.1,72.1,51.3,7.1,46.2,52.7,94.42,54.5
Houston Rockets,35.0,20.0,15.0,120.0,103.3,110.5,-7.2,59.7,1.48,13.6,38.6,68.9,52.7,12.7,42.8,50.5,96.51,47.0
Orlando Magic,36.0,20.0,16.0,140.0,112.6,105.9,6.7,51.6,1.41,12.6,30.9,71.2,51.5,11.6,50.5,58.4,99.59,52.4
Washington Wizards,40.0,19.0,21.0,167.0,111.7,110.3,1.4,45.0,1.02,10.4,39.1,64.0,51.5,13.3,46.1,57.1,101.87,49.6
Charlotte Bobcats,38.0,18.0,20.0,173.0,105.3,103.8,1.5,53.0,1.15,11.3,33.5,67.8,50.7,12.7,44.0,55.2,101.2,52.1
Indiana Pacers,45.0,18.0,27.0,142.0,100.3,109.9,-9.5,58.8,1.47,12.8,28.0,62.6,44.6,11.4,41.1,50.5,103.79,38.2
New York Knicks,42.0,18.0,24.0,177.0,89.6,101.6,-12.0,35.0,0.69,7.8,36.4,67.8,51.2,14.7,36.9,44.7,96.34,34.5
Utah Jazz,34.0,18.0,16.0,114.0,119.5,121.3,-1.8,70.9,1.79,17.8,32.7,66.4,51.2,13.5,55.5,65.3,105.36,53.2
Chicago Bulls,38.0,15.0,23.0,146.0,93.8,116.5,-22.8,64.6,1.33,13.2,29.1,61.2,44.5,13.2,38.2,48.7,100.43,37.4
Los Angeles Clippers,35.0,14.0,21.0,127.0,107.6,121.4,-13.8,62.0,1.4,14.8,30.4,65.8,48.0,13.9,47.8,58.0,97.0,43.8
Toronto Raptors,36.0,14.0,22.0,144.0,114.3,120.4,-6.1,63.8,2.39,17.3,25.4,61.0,43.9,9.6,53.1,60.5,98.64,46.7
Memphis Grizzlies,36.0,13.0,23.0,151.0,110.4,116.3,-5.9,37.9,0.98,10.9,33.3,63.0,48.3,14.2,53.3,58.3,100.33,41.7
Seattle SuperSonics,37.0,13.0,24.0,149.0,106.2,106.0,0.2,55.9,1.46,14.2,31.7,71.4,53.0,12.8,48.1,56.5,100.16,50.3
Miami Heat,44.0,10.0,34.0,176.0,87.6,109.2,-21.6,53.8,1.0,10.6,31.7,58.9,43.7,13.8,35.9,44.3,98.79,26.5
Minnesota Timberwolves,40.0,10.0,30.0,135.0,106.6,121.0,-14.4,50.0,1.13,12.4,42.6,60.6,51.3,15.2,44.2,52.3,95.34,36.5
