TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Brooklyn Nets,81.0,81.0,100.0,41.6,86.1,48.3,54.1,68.4,31.6,58.9,53.8,31.6,10.0,27.2,36.6
Cleveland Cavaliers,82.0,82.0,100.0,40.6,84.8,47.9,54.0,66.2,30.3,56.2,53.9,33.8,10.4,28.6,36.2
Houston Rockets,82.0,82.0,100.0,41.1,84.5,48.7,54.6,65.8,31.1,55.6,56.0,34.2,10.0,28.9,34.6
Denver Nuggets,81.0,81.0,100.0,42.0,84.3,49.9,55.7,69.0,32.2,58.1,55.4,31.0,9.8,26.1,37.6
New Orleans Pelicans,82.0,82.0,100.0,40.1,83.5,48.0,54.3,64.8,29.6,54.1,54.6,35.2,10.5,29.4,35.8
Golden State Warriors,82.0,82.0,100.0,38.8,82.4,47.1,52.5,66.8,29.8,55.0,54.1,33.2,9.0,27.3,32.9
Atlanta Hawks,82.0,82.0,100.0,38.7,82.3,47.0,53.6,63.2,27.8,52.0,53.5,36.8,10.9,30.3,35.9
Los Angeles Lakers,82.0,82.0,100.0,41.5,82.1,50.6,56.7,66.8,31.4,54.9,57.2,33.2,10.1,27.3,37.1
New York Knicks,82.0,82.0,100.0,39.7,81.8,48.6,54.6,65.8,29.9,53.8,55.6,34.2,9.8,28.0,35.1
Chicago Bulls,82.0,82.0,100.0,39.5,81.8,48.2,53.7,68.6,30.6,56.1,54.5,31.4,8.9,25.7,34.7
Charlotte Hornets,82.0,82.0,100.0,39.5,81.7,48.3,55.4,61.8,27.9,50.5,55.2,38.2,11.6,31.3,37.1
Boston Celtics,82.0,82.0,100.0,38.6,81.6,47.3,52.8,67.2,29.7,54.8,54.1,32.8,9.0,26.8,33.4
Orlando Magic,82.0,82.0,100.0,40.2,81.4,49.4,55.4,67.8,30.6,55.2,55.3,32.2,9.7,26.2,37.0
Phoenix Suns,80.0,80.0,100.0,40.2,81.3,49.5,55.6,67.9,30.2,55.2,54.7,32.1,10.0,26.1,38.3
Portland Trail Blazers,82.0,82.0,100.0,39.1,81.2,48.2,54.0,69.3,29.9,56.3,53.1,30.7,9.3,24.9,37.3
LA Clippers,82.0,82.0,100.0,38.6,81.1,47.5,53.2,67.9,29.4,55.1,53.4,32.1,9.2,26.1,35.2
Washington Wizards,82.0,82.0,100.0,39.6,80.9,49.0,55.1,66.9,29.8,54.1,55.0,33.1,9.9,26.8,36.9
Philadelphia 76ers,82.0,82.0,100.0,39.6,80.8,49.0,54.5,69.3,30.7,56.0,54.8,30.7,8.9,24.8,35.9
Oklahoma City Thunder,82.0,82.0,100.0,39.1,80.2,48.8,54.3,69.1,30.3,55.4,54.6,30.9,8.8,24.7,35.7
Detroit Pistons,82.0,82.0,100.0,38.3,79.5,48.2,54.1,68.0,29.0,54.0,53.6,32.0,9.3,25.4,36.8
Sacramento Kings,82.0,82.0,100.0,38.4,79.2,48.5,55.4,62.3,27.5,49.3,55.8,37.7,10.9,29.9,36.6
Indiana Pacers,81.0,81.0,100.0,37.8,79.2,47.7,54.2,63.6,27.5,50.4,54.6,36.4,10.3,28.8,35.7
Minnesota Timberwolves,82.0,82.0,100.0,39.6,78.8,50.2,56.5,66.0,29.7,52.0,57.1,34.0,9.9,26.8,36.9
Miami Heat,82.0,82.0,100.0,37.9,78.5,48.3,53.3,71.3,30.1,55.9,53.8,28.7,7.8,22.6,34.6
Toronto Raptors,81.0,81.0,100.0,37.2,77.9,47.7,53.9,65.4,27.5,50.9,54.0,34.6,9.7,27.0,35.8
Milwaukee Bucks,82.0,82.0,100.0,37.9,77.5,48.9,55.3,64.0,28.0,49.5,56.4,36.0,9.9,27.9,35.6
San Antonio Spurs,81.0,81.0,100.0,36.9,77.4,47.7,53.0,69.6,28.8,53.9,53.5,30.4,8.2,23.5,34.6
Utah Jazz,82.0,82.0,100.0,36.3,77.0,47.2,52.5,70.5,28.1,54.2,51.8,29.5,8.2,22.7,36.0
Dallas Mavericks,81.0,81.0,100.0,37.0,75.3,49.1,55.5,66.4,27.4,50.0,54.8,33.6,9.6,25.3,37.9
Memphis Grizzlies,82.0,82.0,100.0,34.9,74.6,46.8,53.4,62.6,25.0,46.7,53.5,37.4,9.9,27.9,35.5
