TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
Cleveland Cavaliers,82.0,61.0,21.0,3956.0,110.6,103.8,6.8,59.2,1.61,17.7,29.3,72.5,51.9,15.0,53.2,57.0,91.77,55.2,7573.0
Orlando Magic,82.0,59.0,23.0,3946.0,110.7,102.8,7.9,53.7,1.4,15.8,28.0,72.6,51.2,15.2,53.6,57.3,92.54,55.1,7614.0
Los Angeles Lakers,82.0,57.0,25.0,3966.0,107.6,102.7,4.9,55.0,1.58,16.2,31.4,70.8,51.2,14.1,49.6,53.8,93.73,52.9,7749.0
Dallas Mavericks,82.0,55.0,27.0,3976.0,107.8,105.0,2.8,61.1,1.81,18.0,27.9,69.7,49.3,13.7,50.6,55.2,93.6,53.4,7757.0
Phoenix Suns,82.0,54.0,28.0,3946.0,113.9,109.1,4.8,57.3,1.58,17.5,31.1,67.3,50.3,15.2,54.6,58.5,96.43,53.6,7937.0
Atlanta Hawks,82.0,53.0,29.0,3971.0,111.0,106.0,4.9,56.2,1.83,17.1,32.0,68.5,50.2,13.0,50.6,54.5,90.77,52.3,7515.0
Denver Nuggets,82.0,53.0,29.0,3956.0,110.8,106.5,4.4,55.0,1.51,16.1,30.4,68.7,49.8,14.4,50.9,56.1,95.61,52.4,7876.0
Utah Jazz,82.0,53.0,29.0,3951.0,109.7,104.0,5.7,67.8,1.76,19.8,31.3,71.8,52.0,16.0,52.4,56.5,94.68,55.0,7791.0
Boston Celtics,82.0,50.0,32.0,3956.0,106.9,103.2,3.7,63.5,1.58,18.5,27.4,69.7,49.3,16.0,52.2,56.4,92.22,54.0,7609.0
Oklahoma City Thunder,82.0,50.0,32.0,3961.0,107.0,103.5,3.5,53.5,1.34,15.5,32.0,69.4,51.1,15.8,49.4,54.7,94.13,53.2,7774.0
Portland Trail Blazers,82.0,50.0,32.0,3971.0,109.6,106.1,3.5,56.3,1.65,16.6,32.0,70.2,51.0,13.8,49.9,54.7,88.64,52.5,7339.0
San Antonio Spurs,82.0,50.0,32.0,3956.0,109.3,103.9,5.4,58.1,1.64,17.4,30.3,72.0,51.5,14.7,51.5,55.2,92.26,53.2,7605.0
Miami Heat,82.0,47.0,35.0,3976.0,105.7,103.4,2.4,51.9,1.43,15.4,29.4,70.1,50.0,14.4,49.6,53.7,90.3,52.2,7485.0
Milwaukee Bucks,82.0,46.0,36.0,3996.0,104.0,101.9,2.1,57.0,1.6,16.4,29.8,72.6,50.1,14.1,48.2,51.8,92.6,49.5,7698.0
Charlotte Bobcats,82.0,44.0,38.0,3976.0,103.9,102.0,1.9,58.0,1.29,16.1,31.5,69.8,51.0,17.2,49.0,53.8,90.91,51.8,7519.0
Houston Rockets,82.0,42.0,40.0,3981.0,106.8,106.8,0.0,57.9,1.51,16.5,30.9,69.9,49.8,15.1,49.4,53.7,94.91,48.9,7857.0
Chicago Bulls,82.0,41.0,41.0,3981.0,102.6,104.2,-1.6,55.3,1.45,16.0,30.3,70.9,50.9,15.1,47.7,52.0,94.02,50.0,7794.0
Memphis Grizzlies,82.0,40.0,42.0,3981.0,107.5,109.0,-1.5,47.9,1.24,14.4,35.5,69.8,52.3,16.0,49.4,53.6,94.29,48.6,7816.0
Toronto Raptors,82.0,40.0,42.0,3956.0,110.2,112.2,-2.0,56.4,1.64,17.1,28.8,69.2,49.5,14.2,52.1,56.4,93.94,48.9,7746.0
New Orleans Hornets,82.0,37.0,45.0,3966.0,106.5,108.9,-2.4,57.5,1.66,17.3,28.2,69.6,48.6,14.3,50.6,54.3,93.53,48.4,7721.0
Indiana Pacers,82.0,32.0,50.0,3941.0,103.0,106.0,-3.0,57.3,1.4,16.1,25.5,69.0,47.3,15.4,49.1,53.6,97.77,47.6,8024.0
Los Angeles Clippers,82.0,29.0,53.0,3941.0,102.3,109.1,-6.8,60.3,1.41,17.1,30.5,69.7,50.0,16.8,49.1,52.9,93.44,46.5,7670.0
New York Knicks,82.0,29.0,53.0,3976.0,106.4,110.3,-4.0,56.7,1.54,16.6,26.8,69.1,47.6,14.6,50.9,54.7,95.03,47.4,7872.0
Detroit Pistons,82.0,27.0,55.0,3956.0,104.5,110.3,-5.9,54.1,1.45,15.5,34.6,69.7,51.0,14.9,47.4,51.5,89.46,44.8,7379.0
Philadelphia 76ers,82.0,27.0,55.0,3961.0,104.8,108.9,-4.1,55.8,1.45,16.4,31.0,69.3,49.8,15.6,49.6,53.4,92.72,47.8,7648.0
Golden State Warriors,82.0,26.0,56.0,3946.0,107.0,110.3,-3.3,55.2,1.53,16.5,25.4,65.9,45.3,14.4,51.4,55.7,101.52,47.0,8338.0
Washington Wizards,82.0,26.0,56.0,3966.0,103.1,108.3,-5.3,51.8,1.28,15.0,31.7,69.1,50.1,15.9,48.1,52.4,92.6,46.2,7656.0
Sacramento Kings,82.0,25.0,57.0,3976.0,104.4,109.1,-4.7,53.4,1.37,15.7,31.5,70.0,50.4,15.6,49.1,52.8,94.78,46.7,7855.0
Minnesota Timberwolves,82.0,15.0,67.0,3956.0,100.6,110.4,-9.8,52.4,1.22,15.0,30.8,70.5,50.1,16.7,47.8,51.8,97.12,43.2,8002.0
New Jersey Nets,82.0,12.0,70.0,3956.0,99.3,108.9,-9.6,54.7,1.3,15.1,28.5,68.6,47.8,15.5,45.8,50.9,92.65,42.9,7628.0
