TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Toronto Raptors,51.0,32.0,19.0,166.0,109.7,101.7,7.9,37.2,1.18,9.5,33.3,72.1,52.5,10.2,46.9,56.0,103.97,56.2
Golden State Warriors,34.0,30.0,4.0,144.0,118.7,84.6,34.1,57.5,1.67,15.7,34.0,69.8,54.2,12.8,54.1,61.2,100.8,78.2
Indiana Pacers,53.0,30.0,23.0,215.0,100.7,104.3,-3.7,49.0,1.41,12.2,31.8,67.4,48.7,11.2,44.8,51.1,99.79,49.4
Houston Rockets,49.0,28.0,21.0,196.0,107.6,98.0,9.6,50.4,1.35,11.9,28.8,70.7,50.2,11.3,48.0,55.8,99.19,57.6
Chicago Bulls,46.0,27.0,19.0,212.0,98.1,103.5,-5.4,38.0,0.79,9.2,29.1,61.8,47.3,14.5,43.3,52.2,96.91,47.3
Memphis Grizzlies,44.0,26.0,18.0,170.0,109.5,97.4,12.1,52.5,1.54,12.9,36.6,69.5,51.8,11.4,45.4,53.5,98.99,56.8
Boston Celtics,46.0,25.0,21.0,158.0,111.9,107.8,4.1,57.4,1.9,15.4,29.4,68.5,49.2,10.8,49.8,57.4,109.77,50.6
Dallas Mavericks,49.0,25.0,24.0,226.0,113.5,99.6,14.0,56.0,2.69,16.1,20.5,67.2,45.5,7.8,52.8,58.8,96.48,59.2
Denver Nuggets,52.0,25.0,27.0,194.0,94.7,97.3,-2.6,46.7,1.19,11.1,27.7,72.4,50.2,11.8,40.9,49.0,99.7,46.5
Detroit Pistons,42.0,25.0,17.0,172.0,105.4,96.6,8.8,35.0,1.05,8.9,33.5,66.5,49.9,10.8,47.0,53.6,100.51,59.0
LA Clippers,42.0,25.0,17.0,166.0,116.2,107.8,8.4,55.1,1.86,14.3,25.6,60.5,44.8,10.0,52.7,60.5,102.64,56.9
Miami Heat,43.0,25.0,18.0,178.0,112.8,99.2,13.6,54.4,2.39,14.9,31.7,72.4,51.8,8.4,49.2,55.7,97.98,63.0
Atlanta Hawks,44.0,24.0,20.0,166.0,107.1,102.6,4.4,58.2,2.15,14.9,28.1,65.9,46.7,9.3,45.3,53.0,100.95,54.1
Portland Trail Blazers,42.0,23.0,19.0,139.0,107.9,111.2,-3.3,44.8,1.96,11.6,31.3,69.4,49.4,7.6,45.7,54.4,107.23,49.9
Charlotte Hornets,42.0,22.0,20.0,155.0,110.6,98.7,11.8,45.9,1.55,11.6,38.2,68.3,53.3,10.0,45.4,53.7,99.9,60.4
Oklahoma City Thunder,44.0,22.0,22.0,172.0,105.4,111.8,-6.4,40.5,1.18,10.8,36.3,66.1,50.9,12.1,44.5,52.1,104.37,46.3
San Antonio Spurs,30.0,21.0,9.0,106.0,111.2,96.5,14.6,56.3,1.88,15.6,38.4,74.3,55.8,11.6,49.2,55.1,96.4,64.0
Milwaukee Bucks,40.0,20.0,20.0,161.0,100.0,100.3,-0.3,54.8,1.1,13.2,27.5,72.5,51.2,15.5,48.3,55.9,101.08,52.2
Minnesota Timberwolves,50.0,20.0,30.0,207.0,101.9,104.8,-3.0,58.0,1.25,13.1,36.3,69.5,53.3,14.1,41.8,52.0,103.23,47.8
Cleveland Cavaliers,33.0,19.0,14.0,142.0,106.1,100.7,5.5,46.7,1.26,11.3,32.3,70.6,51.3,11.6,44.6,53.2,99.98,51.0
Orlando Magic,44.0,19.0,25.0,198.0,95.5,100.0,-4.5,55.6,1.29,13.5,31.1,70.0,50.4,13.9,42.5,48.6,100.38,46.6
New Orleans Pelicans,46.0,18.0,28.0,172.0,107.0,113.4,-6.5,60.2,1.26,14.7,26.3,69.2,48.8,15.0,49.8,59.4,102.01,47.6
Sacramento Kings,43.0,18.0,25.0,150.0,96.7,108.0,-11.3,58.7,1.2,13.8,31.8,66.5,48.6,15.5,44.0,50.5,107.15,40.9
Washington Wizards,34.0,16.0,18.0,130.0,103.0,104.1,-1.1,52.6,1.35,12.9,30.5,71.1,50.0,12.4,44.8,52.6,109.16,47.6
Brooklyn Nets,41.0,15.0,26.0,141.0,100.0,107.3,-7.3,51.1,1.12,12.5,32.5,73.4,52.4,14.6,43.6,51.8,101.31,42.3
New York Knicks,41.0,15.0,26.0,165.0,104.1,113.8,-9.7,48.6,1.15,12.2,31.6,70.4,51.3,13.8,44.6,53.7,100.24,44.8
Utah Jazz,42.0,14.0,28.0,204.0,102.9,120.0,-17.0,42.3,1.13,11.2,35.9,64.0,49.2,12.9,46.3,51.9,99.29,35.1
Phoenix Suns,39.0,12.0,27.0,126.0,92.1,119.9,-27.7,44.3,0.81,9.9,35.3,66.9,49.3,16.1,39.8,47.3,105.12,25.9
Los Angeles Lakers,33.0,11.0,22.0,115.0,111.7,117.3,-5.6,36.9,1.29,10.0,34.4,68.1,50.2,10.0,48.0,54.9,102.05,41.8
Philadelphia 76ers,35.0,5.0,30.0,133.0,82.1,119.2,-37.1,55.4,0.98,12.1,27.1,67.4,45.6,16.0,39.4,43.8,98.78,15.3
