TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Golden State Warriors,82.0,67.0,15.0,48.1,37.0,86.4,42.8,7.2,21.4,33.7,18.7,24.5,76.3,11.7,32.8,44.5,21.0,16.2,8.3,3.6,6.0,18.8,19.9,99.9,-10.1
Atlanta Hawks,82.0,60.0,22.0,48.1,36.5,83.1,43.9,8.8,25.8,34.1,15.4,20.1,76.4,11.6,32.1,43.6,23.5,16.1,7.4,4.9,4.6,19.6,17.8,97.1,-5.4
Houston Rockets,82.0,56.0,26.0,48.3,37.7,85.2,44.3,7.4,22.9,32.2,17.7,23.6,75.1,11.9,32.0,43.8,21.4,16.4,8.9,5.3,5.0,21.1,22.0,100.5,-3.4
Los Angeles Clippers,82.0,56.0,26.0,48.1,36.4,82.3,44.2,8.3,23.9,34.9,19.0,25.7,74.1,10.6,32.3,42.9,23.2,14.3,6.7,3.0,5.0,21.5,21.3,100.1,-6.6
Memphis Grizzlies,82.0,55.0,27.0,48.5,36.0,81.5,44.2,8.1,23.0,35.1,14.9,20.1,74.2,10.5,31.9,42.4,20.1,15.3,7.4,5.2,4.2,20.3,19.1,95.1,-3.2
San Antonio Spurs,82.0,55.0,27.0,48.7,37.1,83.7,44.4,6.8,18.9,36.0,15.9,21.4,74.5,9.9,32.2,42.1,20.7,14.2,7.9,4.4,5.4,19.7,19.1,97.0,-6.2
Cleveland Cavaliers,82.0,53.0,29.0,48.2,38.1,83.5,45.6,7.7,22.5,34.3,14.8,19.9,74.5,10.8,30.3,41.1,24.1,13.3,7.8,4.5,4.1,20.5,18.4,98.7,-4.5
Portland Trail Blazers,82.0,51.0,31.0,48.4,38.2,86.9,43.9,6.4,18.9,33.8,15.8,20.9,75.8,11.0,33.6,44.6,20.4,12.2,8.0,3.6,4.5,18.7,18.2,98.6,-4.2
Chicago Bulls,82.0,50.0,32.0,48.5,37.7,86.7,43.5,6.6,19.6,33.5,15.7,21.0,74.9,11.7,31.7,43.4,20.2,12.2,7.5,5.4,5.8,21.2,18.2,97.8,-3.0
Dallas Mavericks,82.0,50.0,32.0,48.5,38.0,84.5,45.0,9.0,24.8,36.4,17.3,22.9,75.3,12.3,33.9,46.1,22.3,16.3,7.3,3.8,4.5,22.1,20.0,102.3,-2.9
Toronto Raptors,82.0,49.0,33.0,48.4,38.0,82.8,45.9,7.7,22.3,34.6,17.2,23.5,73.3,11.2,31.2,42.5,22.8,14.4,6.9,5.0,4.4,20.3,20.9,100.9,-3.1
Washington Wizards,82.0,46.0,36.0,48.7,36.2,83.5,43.3,8.0,23.0,34.9,17.5,23.7,73.8,10.0,31.7,41.7,19.9,14.0,8.0,4.3,4.6,19.6,20.8,97.8,-0.7
New Orleans Pelicans,82.0,45.0,37.0,48.2,37.9,83.1,45.6,6.5,19.6,33.5,16.2,21.4,75.9,10.6,30.9,41.5,20.7,12.2,6.8,5.8,6.2,18.7,18.7,98.6,-0.8
Oklahoma City Thunder,82.0,45.0,37.0,48.4,37.6,85.5,44.0,8.3,24.2,34.3,18.2,24.5,74.5,11.2,31.5,42.7,22.1,13.6,7.8,4.6,5.5,20.4,22.3,101.8,-2.2
Milwaukee Bucks,82.0,41.0,41.0,48.6,35.6,81.5,43.7,8.2,24.1,34.2,18.0,24.3,74.2,11.4,31.4,42.9,22.3,17.4,8.6,4.8,4.9,20.1,22.1,97.4,-0.4
Boston Celtics,82.0,40.0,42.0,48.5,38.1,84.7,45.0,7.4,22.0,33.6,17.6,23.3,75.5,10.9,33.8,44.7,21.9,15.1,7.1,5.3,3.6,18.8,21.2,101.2,-0.2
Phoenix Suns,82.0,39.0,43.0,48.5,38.4,85.0,45.2,7.7,21.9,35.2,18.8,24.8,75.9,11.6,33.7,45.3,21.1,15.6,7.9,4.1,4.7,20.3,21.3,103.3,0.9
Brooklyn Nets,82.0,38.0,44.0,48.6,38.4,84.3,45.6,8.5,23.7,35.8,15.6,21.3,73.1,11.4,32.9,44.3,23.7,13.9,7.8,4.5,4.1,20.0,19.3,100.9,2.9
Indiana Pacers,82.0,38.0,44.0,48.4,36.0,82.7,43.5,7.2,20.9,34.5,17.9,23.8,75.3,9.8,33.0,42.7,19.9,12.7,7.5,4.7,4.6,21.4,21.2,97.0,-0.3
Utah Jazz,82.0,38.0,44.0,48.1,35.8,80.3,44.6,7.4,20.4,36.2,16.0,21.5,74.4,9.9,29.3,39.2,19.4,13.1,8.2,4.7,6.0,19.6,19.3,94.9,-0.2
Miami Heat,82.0,37.0,45.0,48.1,36.1,79.5,45.4,8.1,23.0,35.3,17.0,23.2,73.0,10.9,30.1,41.0,21.3,14.8,7.9,4.4,4.5,20.9,20.0,97.3,2.6
Charlotte Hornets,82.0,33.0,49.0,48.5,36.8,83.7,44.0,7.9,22.1,35.7,15.8,20.4,77.2,8.9,35.2,44.1,22.1,12.6,6.1,5.4,5.5,20.8,18.2,97.3,3.2
Detroit Pistons,82.0,32.0,50.0,48.4,37.9,83.1,45.6,7.7,21.8,35.5,16.0,20.7,77.2,10.7,33.4,44.1,23.8,14.0,7.0,4.8,4.7,19.3,19.0,99.5,1.0
Denver Nuggets,82.0,30.0,52.0,48.5,38.6,84.3,45.8,7.7,22.2,34.6,20.1,26.9,74.8,11.0,34.1,45.1,23.1,14.4,7.5,6.1,4.5,20.7,23.0,105.0,3.5
Sacramento Kings,82.0,29.0,53.0,48.4,39.5,86.5,45.6,8.8,25.1,34.9,17.3,23.1,74.8,11.0,30.2,41.2,23.3,12.9,8.7,6.2,4.0,23.9,20.7,105.0,3.7
