TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Indiana Pacers,82.0,61.0,21.0,48.3,96.2,29.9,70.6,8.9,5.0,14.9,11.4,11.7,35.6
Minnesota Timberwolves,82.0,58.0,24.0,48.2,98.5,32.3,69.1,6.8,5.6,13.1,13.1,11.0,35.3
San Antonio Spurs,82.0,57.0,25.0,48.2,93.1,32.5,71.0,8.1,6.5,14.5,11.9,10.6,36.4
Los Angeles Lakers,82.0,56.0,26.0,48.4,100.1,30.9,70.1,8.3,4.6,14.5,13.1,11.0,37.7
Sacramento Kings,82.0,55.0,27.0,48.2,103.2,30.4,67.6,8.7,4.0,15.1,14.1,13.2,42.6
Detroit Pistons,82.0,54.0,28.0,48.2,93.9,30.4,68.6,8.0,7.0,14.6,12.7,10.3,33.7
Dallas Mavericks,82.0,52.0,30.0,48.3,105.9,31.0,68.6,8.0,5.3,13.9,13.2,14.4,44.0
Memphis Grizzlies,82.0,50.0,32.0,48.5,100.8,29.0,65.5,9.7,6.9,15.5,15.0,13.1,41.4
New Jersey Nets,82.0,47.0,35.0,48.1,96.4,30.2,71.1,8.6,3.9,15.5,11.4,11.0,33.1
Houston Rockets,82.0,45.0,37.0,48.6,97.8,32.3,70.8,6.8,5.4,17.1,12.4,10.3,30.3
Denver Nuggets,82.0,43.0,39.0,48.1,101.4,29.1,66.4,9.1,6.3,16.4,14.2,14.0,42.9
Miami Heat,82.0,42.0,40.0,48.2,100.3,30.0,70.7,7.2,3.8,15.2,12.2,9.9,33.5
Utah Jazz,82.0,42.0,40.0,48.2,101.3,27.7,69.1,7.1,6.0,17.0,11.7,11.5,32.2
Milwaukee Bucks,82.0,41.0,41.0,48.2,103.5,30.5,69.0,6.8,4.7,14.8,13.4,13.2,40.6
New Orleans Hornets,82.0,41.0,41.0,48.4,100.6,29.5,68.1,8.6,4.2,16.1,13.1,11.5,37.4
Portland Trail Blazers,82.0,41.0,41.0,48.7,103.5,29.0,67.0,7.5,5.4,16.5,13.8,12.2,38.9
New York Knicks,82.0,39.0,43.0,48.5,101.3,31.0,70.1,7.4,4.8,17.0,12.6,10.7,34.7
Golden State Warriors,82.0,37.0,45.0,48.4,102.6,30.9,69.4,7.0,4.7,15.3,13.4,12.2,38.7
Seattle SuperSonics,82.0,37.0,45.0,48.3,106.4,28.3,65.5,8.1,4.7,17.2,15.2,13.5,39.0
Boston Celtics,82.0,36.0,46.0,48.1,102.2,29.8,65.8,9.4,4.0,17.6,14.7,12.1,35.5
Cleveland Cavaliers,82.0,35.0,47.0,48.4,103.1,31.9,68.8,7.1,6.5,15.7,13.4,13.1,38.1
Philadelphia 76ers,82.0,33.0,49.0,48.4,100.4,29.4,68.1,8.0,4.4,16.8,13.3,11.9,36.6
Toronto Raptors,82.0,33.0,49.0,48.7,98.8,29.5,67.3,7.4,4.9,14.5,13.9,11.3,37.7
Phoenix Suns,82.0,29.0,53.0,48.1,104.2,29.3,66.1,9.0,4.7,17.0,15.0,11.2,40.0
Atlanta Hawks,82.0,28.0,54.0,48.5,103.9,30.6,68.6,7.6,5.0,18.9,14.0,13.7,40.0
Los Angeles Clippers,82.0,28.0,54.0,48.3,106.6,29.5,67.7,7.2,4.6,18.7,14.4,11.1,42.7
Washington Wizards,82.0,25.0,57.0,48.4,102.9,29.2,66.7,8.9,5.0,20.1,13.6,15.9,40.0
Chicago Bulls,82.0,23.0,59.0,48.4,102.1,30.7,67.9,8.0,4.8,17.4,13.2,12.0,36.5
Orlando Magic,82.0,21.0,61.0,48.4,108.8,28.7,65.7,6.7,3.8,16.7,15.4,14.1,44.8
