TEAM,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%
Atlanta Hawks,82.0,82.0,100.0,37.1,86.0,43.2,45.0,-1.8
LA Clippers,82.0,82.0,100.0,36.8,84.7,43.4,45.1,-1.7
Golden State Warriors,82.0,82.0,100.0,38.9,89.4,43.5,44.9,-1.5
Oklahoma City Thunder,82.0,82.0,100.0,38.4,87.7,43.8,45.1,-1.3
San Antonio Spurs,82.0,82.0,100.0,35.7,81.8,43.6,44.9,-1.3
Indiana Pacers,82.0,82.0,100.0,37.4,84.9,44.0,45.1,-1.1
Chicago Bulls,82.0,82.0,100.0,39.4,89.4,44.1,45.1,-1.0
Boston Celtics,81.0,81.0,100.0,37.6,85.1,44.2,45.1,-0.9
New York Knicks,82.0,82.0,100.0,38.0,85.8,44.3,45.1,-0.8
Miami Heat,82.0,82.0,100.0,37.2,84.3,44.2,44.9,-0.8
Charlotte Hornets,82.0,82.0,100.0,37.8,85.0,44.4,45.1,-0.7
Toronto Raptors,81.0,81.0,100.0,36.4,81.9,44.4,45.0,-0.6
Utah Jazz,82.0,82.0,100.0,35.6,79.9,44.6,45.1,-0.5
Dallas Mavericks,82.0,82.0,100.0,38.3,84.9,45.1,45.3,-0.2
Cleveland Cavaliers,82.0,82.0,100.0,36.8,82.1,44.8,45.0,-0.2
Portland Trail Blazers,82.0,82.0,100.0,38.3,84.6,45.3,45.2,0.1
Milwaukee Bucks,82.0,82.0,100.0,37.8,83.1,45.4,44.9,0.5
Memphis Grizzlies,82.0,82.0,100.0,35.9,78.7,45.6,45.2,0.5
Houston Rockets,82.0,82.0,100.0,39.0,85.1,45.9,45.2,0.7
Denver Nuggets,82.0,82.0,100.0,38.8,84.2,46.1,45.2,0.9
Orlando Magic,81.0,81.0,100.0,38.4,83.5,46.1,45.1,1.0
Detroit Pistons,82.0,82.0,100.0,38.8,84.2,46.1,45.1,1.0
Sacramento Kings,81.0,81.0,100.0,40.6,87.8,46.2,45.1,1.2
Washington Wizards,82.0,82.0,100.0,38.7,83.8,46.2,45.0,1.2
Philadelphia 76ers,82.0,82.0,100.0,39.7,85.4,46.4,45.1,1.4
Phoenix Suns,82.0,82.0,100.0,39.1,83.8,46.7,45.2,1.5
New Orleans Pelicans,82.0,82.0,100.0,39.2,83.9,46.8,45.2,1.6
Minnesota Timberwolves,82.0,82.0,100.0,39.9,84.8,47.1,45.0,2.0
Los Angeles Lakers,82.0,82.0,100.0,40.5,85.6,47.3,45.3,2.0
Brooklyn Nets,82.0,82.0,100.0,40.8,85.2,47.9,45.0,2.9
