TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Miami Heat,40.0,32.0,8.0,80.0,4.4,10.7,3.5,7.2,48.8,0.9,2.6,32.7,2.8,3.7,75.0,1.0,3.2,4.1,2.2,1.0,0.7,0.8,0.5,1.6,2.7,3.3
San Antonio Spurs,43.0,28.0,15.0,65.1,4.2,8.9,3.0,7.2,41.8,0.7,2.3,31.0,2.1,2.8,75.8,0.9,2.9,3.7,1.8,1.0,0.6,0.6,0.4,2.0,2.3,1.0
Brooklyn Nets,40.0,26.0,14.0,65.0,4.3,8.6,2.4,6.4,38.2,0.5,1.7,28.8,3.3,4.1,79.9,1.1,2.6,3.6,1.0,1.3,0.7,0.5,0.5,2.6,2.8,0.1
Denver Nuggets,47.0,29.0,18.0,61.7,4.5,10.5,3.6,7.6,46.9,0.5,1.6,32.4,2.9,4.3,68.5,1.2,2.8,4.0,1.6,1.0,0.9,0.3,0.9,2.4,2.8,1.3
Golden State Warriors,40.0,24.0,16.0,60.0,4.1,9.0,2.6,6.5,39.5,0.6,1.9,32.4,3.3,3.9,83.4,0.9,3.1,3.9,1.5,1.0,0.7,0.3,0.4,2.3,2.7,0.9
Memphis Grizzlies,45.0,27.0,18.0,60.0,3.8,7.6,2.3,6.0,38.7,0.3,1.1,26.0,2.7,3.4,78.1,1.3,2.6,3.9,1.1,1.2,0.5,0.5,0.5,2.1,2.3,1.1
Chicago Bulls,49.0,29.0,20.0,59.2,3.8,8.1,2.6,6.6,39.6,0.3,1.4,24.3,2.5,3.4,73.8,1.5,2.3,3.8,1.5,0.8,0.7,0.3,0.6,1.9,2.3,1.0
Milwaukee Bucks,44.0,25.0,19.0,56.8,4.0,8.8,3.1,7.3,41.9,0.7,2.1,35.2,1.9,2.7,70.6,1.2,2.6,3.8,1.5,1.1,0.5,0.8,0.2,1.7,2.2,0.5
Oklahoma City Thunder,37.0,21.0,16.0,56.8,3.9,9.1,2.4,6.1,39.8,0.6,1.6,36.7,3.6,4.0,90.5,1.0,2.8,3.8,1.0,1.1,0.6,0.7,0.3,2.1,2.6,1.2
New York Knicks,39.0,22.0,17.0,56.4,3.5,6.8,2.2,5.7,38.0,0.6,2.0,28.6,2.0,2.5,77.8,1.1,2.3,3.4,0.9,0.9,0.5,0.5,0.3,1.8,2.0,0.6
Los Angeles Lakers,45.0,25.0,20.0,55.6,3.6,7.6,2.3,5.2,44.1,0.6,1.8,33.8,2.4,3.5,69.4,0.5,2.8,3.3,1.4,0.8,0.5,0.4,0.2,1.7,2.3,0.6
Atlanta Hawks,40.0,22.0,18.0,55.0,4.0,8.3,2.7,6.2,43.1,0.7,2.0,33.3,2.3,3.2,70.9,0.9,3.0,3.8,1.7,1.5,0.7,0.4,0.4,2.0,2.5,0.6
Indiana Pacers,43.0,23.0,20.0,53.5,3.9,7.8,2.4,6.3,38.4,0.6,1.6,34.3,2.4,3.3,73.4,1.4,2.9,4.3,1.3,1.2,0.6,0.8,0.4,1.7,2.2,0.9
Utah Jazz,43.0,23.0,20.0,53.5,4.1,8.5,2.8,6.3,43.6,0.5,1.5,33.8,2.5,3.2,78.7,0.8,2.5,3.3,1.5,1.0,0.6,0.6,0.4,2.2,2.4,0.3
Los Angeles Clippers,32.0,17.0,15.0,53.1,4.0,9.6,2.9,6.1,47.4,0.6,1.9,31.7,3.3,4.2,78.2,0.9,2.3,3.3,1.4,1.2,0.5,0.7,0.2,2.5,2.8,0.1
Houston Rockets,44.0,23.0,21.0,52.3,3.5,7.4,2.2,5.5,39.8,0.7,2.0,36.4,2.3,2.8,82.0,0.8,2.3,3.1,1.0,1.0,0.3,0.5,0.6,2.1,1.8,0.2
Boston Celtics,40.0,20.0,20.0,50.0,5.5,10.2,3.4,9.1,37.3,0.8,2.5,31.3,2.7,3.4,79.9,1.1,3.6,4.7,2.3,1.3,0.9,0.4,0.5,2.7,2.8,-0.3
